Wavelength (nm),Pd I (6.4e-02)
360.887,5.629e+8
360.892,9.307e+8
360.897,1.481e+9
360.902,2.267e+9
360.907,3.340e+9
360.912,4.737e+9
360.917,6.463e+9
360.922,8.488e+9
360.927,1.073e+10
360.932,1.305e+10
360.937,1.527e+10
360.942,1.720e+10
360.947,1.864e+10
360.952,1.944e+10
360.957,1.952e+10
360.962,1.886e+10
360.967,1.753e+10
360.972,1.568e+10
360.977,1.350e+10
360.982,1.119e+10
360.987,8.922e+9
360.992,6.846e+9
360.997,5.056e+9
361.002,3.593e+9
361.007,2.457e+9
361.012,1.617e+9
361.017,1.024e+9
361.022,6.244e+8
361.027,3.663e+8
361.032,2.068e+8
361.037,1.123e+8
361.042,5.872e+7
361.047,2.954e+7
361.052,1.430e+7
361.057,6.665e+6
361.062,2.989e+6
361.067,1.290e+6
361.072,5.355e+5
361.077,2.140e+5
361.082,8.231e+4
361.087,3.046e+4
361.092,1.085e+4
361.097,3.719e+3
361.102,1.227e+3
361.107,3.895e+2
361.112,1.190e+2
361.117,3.498e+1
361.122,9.896e+0
361.127,2.694e+0
361.132,7.060e-1
361.137,1.780e-1
361.142,4.320e-2
361.147,1.009e-2
361.152,2.267e-3
361.157,4.903e-4
361.162,1.020e-4
361.167,2.044e-5
361.172,3.940e-6
