Wavelength (nm),Sum,Zn I (1.1e-01),Zn II (8.9e-01)
490.999,1.025e+3,,1.025e+3
491.004,1.986e+3,,1.986e+3
491.009,3.767e+3,,3.767e+3
491.014,7.001e+3,,7.001e+3
491.019,1.274e+4,,1.274e+4
491.024,2.272e+4,,2.272e+4
491.029,3.968e+4,,3.968e+4
491.034,6.787e+4,,6.787e+4
491.039,1.137e+5,,1.137e+5
491.044,1.866e+5,,1.866e+5
491.049,3.000e+5,,3.000e+5
491.054,4.723e+5,,4.723e+5
491.059,7.284e+5,,7.284e+5
491.064,1.100e+6,,1.100e+6
491.069,1.628e+6,,1.628e+6
491.074,2.359e+6,,2.359e+6
491.079,3.348e+6,,3.348e+6
491.084,4.656e+6,,4.656e+6
491.089,6.340e+6,,6.340e+6
491.094,8.457e+6,,8.457e+6
491.099,1.105e+7,,1.105e+7
491.104,1.414e+7,,1.414e+7
491.109,1.772e+7,,1.772e+7
491.114,2.176e+7,,2.176e+7
491.119,2.617e+7,,2.617e+7
491.124,3.082e+7,,3.082e+7
491.129,3.556e+7,,3.556e+7
491.134,4.019e+7,,4.019e+7
491.139,4.449e+7,,4.449e+7
491.144,4.823e+7,,4.823e+7
491.149,5.122e+7,,5.122e+7
491.154,5.328e+7,,5.328e+7
491.159,5.428e+7,,5.428e+7
491.164,5.417e+7,,5.417e+7
491.169,5.295e+7,,5.295e+7
491.174,5.069e+7,,5.069e+7
491.179,4.754e+7,,4.754e+7
491.184,4.366e+7,,4.366e+7
491.189,3.928e+7,,3.928e+7
491.194,3.462e+7,,3.462e+7
491.199,2.988e+7,,2.988e+7
491.204,2.526e+7,,2.526e+7
491.209,2.092e+7,,2.092e+7
491.214,1.697e+7,,1.697e+7
491.219,1.348e+7,,1.348e+7
491.224,1.049e+7,,1.049e+7
491.229,7.997e+6,,7.997e+6
491.234,5.970e+6,,5.970e+6
491.239,4.366e+6,,4.366e+6
491.244,3.127e+6,,3.127e+6
491.249,2.194e+6,,2.194e+6
491.254,1.508e+6,,1.508e+6
491.259,1.015e+6,,1.015e+6
491.264,6.690e+5,,6.690e+5
491.269,4.320e+5,,4.320e+5
491.274,2.733e+5,,2.733e+5
491.279,1.693e+5,,1.693e+5
491.284,1.027e+5,,1.027e+5
491.289,6.107e+4,,6.107e+4
491.294,3.555e+4,,3.555e+4
