Wavelength (nm),Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
245.039,2.550e+3,,2.550e+3,
245.044,6.522e+2,,6.522e+2,
245.049,1.537e+2,,1.537e+2,
245.054,3.336e+1,,3.336e+1,
245.059,6.670e+0,,6.670e+0,
245.064,1.229e+0,,1.229e+0,
245.069,2.084e-1,,2.084e-1,
245.074,3.256e-2,,3.256e-2,
245.079,4.686e-3,,4.686e-3,
245.084,6.209e-4,,6.209e-4,
245.089,7.577e-5,,7.577e-5,
245.094,8.514e-6,,8.514e-6,
245.099,8.809e-7,,8.809e-7,
245.104,8.392e-8,,8.392e-8,
245.109,6.596e-9,,6.596e-9,
246.625,5.898e-30,,,5.898e-30
246.63,6.756e-29,,,6.756e-29
246.635,7.130e-28,,,7.130e-28
246.64,6.931e-27,,,6.931e-27
246.645,6.206e-26,,,6.206e-26
246.65,5.119e-25,,,5.119e-25
246.655,3.890e-24,,,3.890e-24
246.66,2.723e-23,,,2.723e-23
246.665,1.756e-22,,,1.756e-22
246.67,1.043e-21,,,1.043e-21
246.675,5.706e-21,,,5.706e-21
246.68,2.876e-20,,,2.876e-20
246.685,1.335e-19,,,1.335e-19
246.69,5.711e-19,,,5.711e-19
246.695,2.250e-18,,,2.250e-18
246.7,8.166e-18,,,8.166e-18
246.705,2.730e-17,,,2.730e-17
246.71,8.408e-17,,,8.408e-17
246.715,2.385e-16,,,2.385e-16
246.72,6.233e-16,,,6.233e-16
246.725,1.501e-15,,,1.501e-15
246.73,3.328e-15,,,3.328e-15
246.735,6.798e-15,,,6.798e-15
246.74,1.279e-14,,,1.279e-14
246.745,2.217e-14,,,2.217e-14
246.75,3.541e-14,,,3.541e-14
246.755,5.208e-14,,,5.208e-14
246.76,7.057e-14,,,7.057e-14
246.765,8.808e-14,,,8.808e-14
246.77,1.013e-13,,,1.013e-13
246.775,1.073e-13,,,1.073e-13
246.78,1.047e-13,,,1.047e-13
246.785,9.406e-14,,,9.406e-14
246.79,7.787e-14,,,7.787e-14
246.795,5.939e-14,,,5.939e-14
246.8,4.172e-14,,,4.172e-14
246.805,2.700e-14,,,2.700e-14
246.81,1.610e-14,,,1.610e-14
246.815,8.840e-15,,,8.840e-15
246.82,4.472e-15,,,4.472e-15
246.825,2.084e-15,,,2.084e-15
246.83,8.946e-16,,,8.946e-16
246.835,3.537e-16,,,3.537e-16
246.84,1.289e-16,,,1.289e-16
246.845,4.324e-17,,,4.324e-17
246.85,1.336e-17,,,1.336e-17
246.855,3.805e-18,,,3.805e-18
246.86,9.981e-19,,,9.981e-19
246.865,2.412e-19,,,2.412e-19
246.87,5.368e-20,,,5.368e-20
246.875,1.101e-20,,,1.101e-20
246.88,2.079e-21,,,2.079e-21
246.885,3.616e-22,,,3.616e-22
246.89,5.795e-23,,,5.795e-23
246.895,8.556e-24,,,8.556e-24
246.9,1.164e-24,,,1.164e-24
246.905,1.458e-25,,,1.458e-25
246.91,1.682e-26,,,1.682e-26
246.915,1.788e-27,,,1.788e-27
246.92,1.751e-28,,,1.751e-28
246.925,1.580e-29,,,1.580e-29
248.906,2.244e-32,,,2.244e-32
248.911,2.343e-31,,,2.343e-31
248.916,2.257e-30,,,2.257e-30
248.921,2.005e-29,,,2.005e-29
248.926,1.644e-28,,,1.644e-28
248.931,1.243e-27,,,1.243e-27
248.936,8.676e-27,,,8.676e-27
248.941,5.585e-26,,,5.585e-26
248.946,3.316e-25,,,3.316e-25
248.951,1.817e-24,,,1.817e-24
248.956,9.184e-24,,,9.184e-24
248.961,4.282e-23,,,4.282e-23
248.966,1.842e-22,,,1.842e-22
248.971,7.311e-22,,,7.311e-22
248.976,2.677e-21,,,2.677e-21
248.981,9.041e-21,,,9.041e-21
248.986,2.817e-20,,,2.817e-20
248.991,8.099e-20,,,8.099e-20
248.996,2.148e-19,,,2.148e-19
249.001,5.256e-19,,,5.256e-19
249.006,1.186e-18,,,1.186e-18
249.011,2.470e-18,,,2.470e-18
249.016,4.746e-18,,,4.746e-18
249.021,8.412e-18,,,8.412e-18
249.026,1.375e-17,,,1.375e-17
249.031,2.075e-17,,,2.075e-17
249.036,2.888e-17,,,2.888e-17
249.041,3.707e-17,,,3.707e-17
249.046,4.391e-17,,,4.391e-17
249.051,4.798e-17,,,4.798e-17
249.056,4.837e-17,,,4.837e-17
249.061,4.499e-17,,,4.499e-17
249.066,3.860e-17,,,3.860e-17
249.071,3.055e-17,,,3.055e-17
249.076,2.231e-17,,,2.231e-17
249.081,1.503e-17,,,1.503e-17
249.086,9.341e-18,,,9.341e-18
249.091,5.356e-18,,,5.356e-18
249.096,2.833e-18,,,2.833e-18
249.101,1.383e-18,,,1.383e-18
249.106,6.225e-19,,,6.225e-19
249.111,2.586e-19,,,2.586e-19
249.116,9.907e-20,,,9.907e-20
249.121,3.502e-20,,,3.502e-20
249.126,1.142e-20,,,1.142e-20
249.131,3.436e-21,,,3.436e-21
249.136,9.539e-22,,,9.539e-22
249.141,2.443e-22,,,2.443e-22
249.146,5.770e-23,,,5.770e-23
249.151,1.258e-23,,,1.258e-23
249.156,2.529e-24,,,2.529e-24
249.161,4.690e-25,,,4.690e-25
249.166,8.027e-26,,,8.027e-26
249.171,1.267e-26,,,1.267e-26
249.176,1.846e-27,,,1.846e-27
249.181,2.480e-28,,,2.480e-28
249.186,3.074e-29,,,3.074e-29
249.191,3.516e-30,,,3.516e-30
249.196,3.709e-31,,,3.709e-31
249.201,3.610e-32,,,3.610e-32
252.767,5.767e-30,,,5.767e-30
252.772,5.970e-29,,,5.970e-29
252.777,5.715e-28,,,5.715e-28
252.782,5.059e-27,,,5.059e-27
252.787,4.142e-26,,,4.142e-26
252.792,3.137e-25,,,3.137e-25
252.797,2.196e-24,,,2.196e-24
252.802,1.422e-23,,,1.422e-23
252.807,8.519e-23,,,8.519e-23
252.812,4.719e-22,,,4.719e-22
252.817,2.417e-21,,,2.417e-21
252.822,1.145e-20,,,1.145e-20
252.827,5.016e-20,,,5.016e-20
252.832,2.032e-19,,,2.032e-19
252.837,7.616e-19,,,7.616e-19
252.842,2.639e-18,,,2.639e-18
252.847,8.458e-18,,,8.458e-18
252.852,2.507e-17,,,2.507e-17
252.857,6.871e-17,,,6.871e-17
252.862,1.742e-16,,,1.742e-16
252.867,4.083e-16,,,4.083e-16
252.872,8.852e-16,,,8.852e-16
252.877,1.775e-15,,,1.775e-15
252.882,3.291e-15,,,3.291e-15
252.887,5.644e-15,,,5.644e-15
252.892,8.951e-15,,,8.951e-15
252.897,1.313e-14,,,1.313e-14
252.902,1.781e-14,,,1.781e-14
252.907,2.234e-14,,,2.234e-14
252.912,2.591e-14,,,2.591e-14
252.917,2.780e-14,,,2.780e-14
252.922,2.759e-14,,,2.759e-14
252.927,2.531e-14,,,2.531e-14
252.932,2.148e-14,,,2.148e-14
252.937,1.686e-14,,,1.686e-14
252.942,1.224e-14,,,1.224e-14
252.947,8.213e-15,,,8.213e-15
252.952,5.098e-15,,,5.098e-15
252.957,2.927e-15,,,2.927e-15
252.962,1.554e-15,,,1.554e-15
252.967,7.630e-16,,,7.630e-16
252.972,3.465e-16,,,3.465e-16
252.977,1.455e-16,,,1.455e-16
252.982,5.651e-17,,,5.651e-17
252.987,2.030e-17,,,2.030e-17
252.992,6.742e-18,,,6.742e-18
252.997,2.071e-18,,,2.071e-18
253.002,5.884e-19,,,5.884e-19
253.007,1.546e-19,,,1.546e-19
253.012,3.757e-20,,,3.757e-20
253.017,8.441e-21,,,8.441e-21
253.022,1.754e-21,,,1.754e-21
253.027,3.372e-22,,,3.372e-22
253.032,5.993e-23,,,5.993e-23
253.037,9.851e-24,,,9.851e-24
253.042,1.498e-24,,,1.498e-24
253.047,2.105e-25,,,2.105e-25
253.052,2.737e-26,,,2.737e-26
253.057,3.291e-27,,,3.291e-27
253.062,3.660e-28,,,3.660e-28
253.067,3.764e-29,,,3.764e-29
253.072,3.580e-30,,,3.580e-30
261.645,1.155e-32,,,1.155e-32
261.65,1.085e-31,,,1.085e-31
261.655,9.468e-31,,,9.468e-31
261.66,7.683e-30,,,7.683e-30
261.665,5.796e-29,,,5.796e-29
261.67,4.065e-28,,,4.065e-28
261.675,2.650e-27,,,2.650e-27
261.68,1.606e-26,,,1.606e-26
261.685,9.051e-26,,,9.051e-26
261.69,4.741e-25,,,4.741e-25
261.695,2.309e-24,,,2.309e-24
261.7,1.045e-23,,,1.045e-23
261.705,4.399e-23,,,4.399e-23
261.71,1.721e-22,,,1.721e-22
261.715,6.260e-22,,,6.260e-22
