Wavelength (nm),Sum(calc),Cu I (8.6e-2),Cu II (9.1e-1)
202.884,8.671e-6,2.233e-10,8.671e-6
202.889,1.207e-4,2.233e-10,1.207e-4
202.894,1.487e-3,2.232e-10,1.487e-3
202.899,1.624e-2,2.232e-10,1.624e-2
202.905,2.436e-1,2.231e-10,2.436e-1
202.910,2.037e+0,2.231e-10,2.037e+0
202.915,1.508e+1,2.231e-10,1.508e+1
202.920,9.890e+1,2.230e-10,9.890e+1
202.925,5.745e+2,2.230e-10,5.745e+2
202.930,2.956e+3,2.230e-10,2.956e+3
202.935,1.347e+4,2.229e-10,1.347e+4
202.940,5.438e+4,2.229e-10,5.438e+4
202.945,1.944e+5,2.229e-10,1.944e+5
202.950,6.157e+5,2.228e-10,6.157e+5
202.955,1.727e+6,2.228e-10,1.727e+6
202.960,4.291e+6,2.228e-10,4.291e+6
202.965,9.442e+6,2.227e-10,9.442e+6
202.970,1.840e+7,2.227e-10,1.840e+7
202.975,3.177e+7,2.227e-10,3.177e+7
202.980,4.858e+7,2.226e-10,4.858e+7
202.985,6.580e+7,2.226e-10,6.580e+7
202.990,7.893e+7,2.226e-10,7.893e+7
202.995,8.387e+7,2.225e-10,8.387e+7
203.000,7.893e+7,2.225e-10,7.893e+7
203.005,6.580e+7,2.225e-10,6.580e+7
203.010,4.858e+7,2.224e-10,4.858e+7
203.015,3.177e+7,2.224e-10,3.177e+7
203.020,1.840e+7,2.224e-10,1.840e+7
203.025,9.442e+6,2.223e-10,9.442e+6
203.030,4.292e+6,2.223e-10,4.292e+6
203.035,1.735e+6,2.223e-10,1.735e+6
203.040,6.541e+5,2.222e-10,6.541e+5
203.045,3.649e+5,2.222e-10,3.649e+5
203.050,7.251e+5,2.222e-10,7.251e+5
203.055,2.351e+6,2.221e-10,2.351e+6
203.060,7.219e+6,2.221e-10,7.219e+6
203.065,1.973e+7,2.221e-10,1.973e+7
203.070,4.781e+7,2.220e-10,4.781e+7
203.075,1.026e+8,2.220e-10,1.026e+8
203.080,1.950e+8,2.220e-10,1.950e+8
203.085,3.284e+8,2.220e-10,3.284e+8
203.090,4.900e+8,2.219e-10,4.900e+8
203.095,6.475e+8,2.219e-10,6.475e+8
203.100,7.580e+8,2.219e-10,7.580e+8
203.105,7.861e+8,2.218e-10,7.861e+8
203.110,7.221e+8,2.218e-10,7.221e+8
203.115,5.877e+8,2.218e-10,5.877e+8
203.120,4.236e+8,2.217e-10,4.236e+8
203.125,2.705e+8,2.217e-10,2.705e+8
203.130,1.530e+8,2.217e-10,1.530e+8
203.135,7.670e+7,2.216e-10,7.670e+7
203.140,3.405e+7,2.216e-10,3.405e+7
203.145,1.339e+7,2.216e-10,1.339e+7
203.150,4.664e+6,2.215e-10,4.664e+6
203.155,1.439e+6,2.215e-10,1.439e+6
203.161,2.992e+5,2.214e-10,2.992e+5
203.166,7.072e+4,2.214e-10,7.072e+4
203.171,1.481e+4,2.214e-10,1.481e+4
203.176,2.746e+3,2.213e-10,2.746e+3
203.181,4.513e+2,2.213e-10,4.513e+2
203.186,6.568e+1,2.213e-10,6.568e+1
203.191,8.469e+0,2.212e-10,8.469e+0
203.196,9.673e-1,2.212e-10,9.673e-1
203.201,9.787e-2,2.212e-10,9.787e-2
203.206,8.772e-3,2.211e-10,8.772e-3
203.211,6.965e-4,2.211e-10,6.965e-4
203.216,4.899e-5,2.211e-10,4.899e-5
203.221,3.052e-6,2.210e-10,3.052e-6
203.226,1.685e-7,2.210e-10,1.685e-7
203.231,8.237e-9,2.210e-10,8.237e-9
203.236,3.568e-10,2.209e-10,3.568e-10
203.241,1.369e-11,2.209e-10,1.369e-11
203.447,8.378e-10,2.195e-10,8.378e-10
203.452,2.203e-8,2.195e-10,2.203e-8
203.457,5.133e-7,2.195e-10,5.133e-7
203.462,1.060e-5,2.194e-10,1.060e-5
203.467,1.941e-4,2.194e-10,1.941e-4
203.472,3.150e-3,2.194e-10,3.150e-3
203.477,4.530e-2,2.193e-10,4.530e-2
203.482,5.775e-1,2.193e-10,5.775e-1
203.487,6.526e+0,2.193e-10,6.526e+0
203.492,6.536e+1,2.192e-10,6.536e+1
203.497,5.803e+2,2.192e-10,5.803e+2
203.502,4.566e+3,2.192e-10,4.566e+3
203.507,3.184e+4,2.191e-10,3.184e+4
203.512,1.968e+5,2.191e-10,1.968e+5
203.517,1.079e+6,2.191e-10,1.079e+6
203.522,5.238e+6,2.190e-10,5.238e+6
203.527,2.255e+7,2.190e-10,2.255e+7
203.532,8.603e+7,2.190e-10,8.603e+7
203.537,2.910e+8,2.189e-10,2.910e+8
203.542,8.721e+8,2.189e-10,8.721e+8
203.547,2.317e+9,2.189e-10,2.317e+9
203.552,5.457e+9,2.188e-10,5.457e+9
203.557,1.139e+10,2.188e-10,1.139e+10
203.562,2.107e+10,2.188e-10,2.107e+10
