Wavelength (nm),Sum,Pb I (4.4e-02),Pb II (9.5e-01)
368.499,2.319e+2,2.319e+2,
368.504,7.371e+1,7.371e+1,
368.509,2.258e+1,2.258e+1,
368.514,6.669e+0,6.669e+0,
368.519,1.898e+0,1.898e+0,
368.524,5.206e-1,5.206e-1,
368.529,1.376e-1,1.376e-1,
368.534,3.507e-2,3.507e-2,
368.539,8.614e-3,8.614e-3,
368.544,2.039e-3,2.039e-3,
368.549,4.652e-4,4.652e-4,
368.554,1.023e-4,1.023e-4,
368.559,2.168e-5,2.168e-5,
368.564,4.429e-6,4.429e-6,
368.569,8.720e-7,8.720e-7,
373.771,1.311e-6,1.311e-6,
373.776,6.343e-6,6.343e-6,
373.781,2.961e-5,2.961e-5,
373.786,1.334e-4,1.334e-4,
373.791,5.795e-4,5.795e-4,
373.796,2.430e-3,2.430e-3,
373.801,9.832e-3,9.832e-3,
373.806,3.838e-2,3.838e-2,
373.811,1.446e-1,1.446e-1,
373.816,5.255e-1,5.255e-1,
373.821,1.843e+0,1.843e+0,
373.826,6.235e+0,6.235e+0,
373.831,2.036e+1,2.036e+1,
373.836,6.413e+1,6.413e+1,
373.841,1.949e+2,1.949e+2,
373.846,5.717e+2,5.717e+2,
373.851,1.618e+3,1.618e+3,
373.856,4.418e+3,4.418e+3,
373.861,1.164e+4,1.164e+4,
373.866,2.959e+4,2.959e+4,
373.871,7.258e+4,7.258e+4,
373.876,1.718e+5,1.718e+5,
373.881,3.923e+5,3.923e+5,
373.886,8.643e+5,8.643e+5,
373.891,1.838e+6,1.838e+6,
373.896,3.770e+6,3.770e+6,
373.901,7.461e+6,7.461e+6,
373.906,1.425e+7,1.425e+7,
373.911,2.626e+7,2.626e+7,
373.916,4.669e+7,4.669e+7,
373.921,8.011e+7,8.011e+7,
373.926,1.326e+8,1.326e+8,
373.931,2.118e+8,2.118e+8,
373.936,3.264e+8,3.264e+8,
373.941,4.854e+8,4.854e+8,
373.946,6.965e+8,6.965e+8,
373.951,9.643e+8,9.643e+8,
373.956,1.288e+9,1.288e+9,
373.961,1.660e+9,1.660e+9,
373.966,2.065e+9,2.065e+9,
373.971,2.478e+9,2.478e+9,
373.976,2.869e+9,2.869e+9,
373.981,3.205e+9,3.205e+9,
373.986,3.455e+9,3.455e+9,
373.991,3.593e+9,3.593e+9,
373.996,3.606e+9,3.606e+9,
374.001,3.492e+9,3.492e+9,
374.006,3.263e+9,3.263e+9,
374.011,2.941e+9,2.941e+9,
374.016,2.559e+9,2.559e+9,
374.021,2.148e+9,2.148e+9,
374.026,1.739e+9,1.739e+9,
374.031,1.359e+9,1.359e+9,
374.036,1.025e+9,1.025e+9,
374.041,7.454e+8,7.454e+8,
374.046,5.233e+8,5.233e+8,
374.051,3.544e+8,3.544e+8,
374.056,2.316e+8,2.316e+8,
374.061,1.460e+8,1.460e+8,
374.066,8.886e+7,8.886e+7,
374.071,5.216e+7,5.216e+7,
374.076,2.955e+7,2.955e+7,
374.081,1.615e+7,1.615e+7,
374.086,8.516e+6,8.516e+6,
374.091,4.334e+6,4.334e+6,
374.096,2.128e+6,2.128e+6,
374.101,1.008e+6,1.008e+6,
374.106,4.607e+5,4.607e+5,
374.111,2.032e+5,2.032e+5,
374.116,8.647e+4,8.647e+4,
374.121,3.551e+4,3.551e+4,
374.126,1.407e+4,1.407e+4,
374.131,5.378e+3,5.378e+3,
374.136,1.984e+3,1.984e+3,
374.141,7.060e+2,7.060e+2,
374.146,2.424e+2,2.424e+2,
374.151,8.033e+1,8.033e+1,
374.156,2.568e+1,2.568e+1,
374.161,7.923e+0,7.923e+0,
374.166,2.358e+0,2.358e+0,
374.171,6.773e-1,6.773e-1,
374.176,1.877e-1,1.877e-1,
374.181,5.018e-2,5.018e-2,
374.186,1.295e-2,1.295e-2,
374.191,3.223e-3,3.223e-3,
374.196,7.741e-4,7.741e-4,
374.201,1.794e-4,1.794e-4,
374.206,4.012e-5,4.012e-5,
374.211,8.657e-6,8.657e-6,
374.216,1.802e-6,1.802e-6,
401.72,3.556e-8,3.556e-8,
401.725,1.575e-7,1.575e-7,
401.73,6.767e-7,6.767e-7,
401.735,2.818e-6,2.818e-6,
401.74,1.138e-5,1.138e-5,
401.745,4.454e-5,4.454e-5,
