Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
210.060,6.150e-1,,,6.150e-1
210.065,1.085e-1,,,1.085e-1
210.070,1.709e-2,,,1.709e-2
210.075,2.403e-3,,,2.403e-3
210.080,3.017e-4,,,3.017e-4
210.085,3.381e-5,,,3.381e-5
210.090,3.383e-6,,,3.383e-6
210.095,3.023e-7,,,3.023e-7
210.100,2.411e-8,,,2.411e-8
210.105,1.717e-9,,,1.717e-9
210.110,1.092e-10,,,1.092e-10
210.115,6.196e-12,,,6.196e-12
210.120,3.140e-13,,,3.140e-13
210.225,6.937e-15,,,6.937e-15
210.230,1.482e-13,,,1.482e-13
210.235,2.830e-12,,,2.830e-12
210.240,4.824e-11,,,4.824e-11
210.245,7.345e-10,,,7.345e-10
210.250,9.988e-9,,,9.988e-9
210.255,1.213e-7,,,1.213e-7
210.260,1.316e-6,,,1.316e-6
210.265,1.275e-5,,,1.275e-5
210.270,1.104e-4,,,1.104e-4
210.275,8.532e-4,,,8.532e-4
210.280,5.891e-3,,,5.891e-3
210.285,3.632e-2,,,3.632e-2
210.290,2.001e-1,,,2.001e-1
210.295,9.841e-1,,,9.841e-1
210.300,4.324e+0,,,4.324e+0
210.305,1.697e+1,,,1.697e+1
210.310,5.947e+1,,,5.947e+1
210.315,1.862e+2,,,1.862e+2
210.320,5.205e+2,,,5.205e+2
210.325,1.300e+3,,,1.300e+3
210.330,2.899e+3,,,2.899e+3
210.335,5.776e+3,,,5.776e+3
210.340,1.028e+4,,,1.028e+4
210.345,1.633e+4,,,1.633e+4
210.350,2.318e+4,,,2.318e+4
210.355,2.939e+4,,,2.939e+4
210.360,3.328e+4,,,3.328e+4
210.365,3.366e+4,,,3.366e+4
210.370,3.041e+4,,,3.041e+4
210.375,2.453e+4,,,2.453e+4
210.380,1.768e+4,,,1.768e+4
210.385,1.138e+4,,,1.138e+4
210.390,6.540e+3,,,6.540e+3
210.395,3.358e+3,,,3.358e+3
210.400,1.540e+3,,,1.540e+3
210.405,6.308e+2,,,6.308e+2
210.410,2.309e+2,,,2.309e+2
210.415,7.603e+1,,,7.603e+1
210.420,2.493e+1,,,2.493e+1
210.425,1.774e+1,,,1.774e+1
210.430,4.529e+1,,,4.529e+1
210.435,1.441e+2,,,1.441e+2
210.440,4.207e+2,,,4.207e+2
210.445,1.100e+3,,,1.100e+3
210.450,2.572e+3,,,2.572e+3
210.455,5.386e+3,,,5.386e+3
210.460,1.011e+4,,,1.011e+4
210.465,1.709e+4,,,1.709e+4
210.470,2.610e+4,,,2.610e+4
210.475,3.630e+4,,,3.630e+4
210.480,4.654e+4,,,4.654e+4
210.485,5.584e+4,,,5.584e+4
210.490,6.373e+4,,,6.373e+4
210.495,7.006e+4,,,7.006e+4
210.500,7.440e+4,,,7.440e+4
210.505,7.565e+4,,,7.565e+4
210.510,7.254e+4,,,7.254e+4
210.515,6.453e+4,,,6.453e+4
210.520,5.255e+4,,,5.255e+4
210.525,3.880e+4,,,3.880e+4
210.530,2.582e+4,,,2.582e+4
210.535,1.543e+4,,,1.543e+4
210.540,8.265e+3,,,8.265e+3
210.545,3.960e+3,,,3.960e+3
210.550,1.697e+3,,,1.697e+3
210.555,6.498e+2,,,6.498e+2
210.560,2.224e+2,,,2.224e+2
210.565,6.800e+1,,,6.800e+1
210.570,1.857e+1,,,1.857e+1
210.575,4.533e+0,,,4.533e+0
210.580,9.882e-1,,,9.882e-1
210.585,1.924e-1,,,1.924e-1
210.590,3.348e-2,,,3.348e-2
210.595,5.203e-3,,,5.203e-3
210.600,7.223e-4,,,7.223e-4
210.605,8.958e-5,,,8.958e-5
210.610,9.924e-6,,,9.924e-6
210.615,9.821e-7,,,9.821e-7
210.620,8.682e-8,,,8.682e-8
210.625,6.856e-9,,,6.856e-9
210.630,4.837e-10,,,4.837e-10
210.635,3.048e-11,,,3.048e-11
210.640,1.716e-12,,,1.716e-12
210.645,8.629e-14,,,8.629e-14
219.776,1.258e-14,,,1.258e-14
219.781,2.445e-13,,,2.445e-13
219.786,4.284e-12,,,4.284e-12
219.791,6.771e-11,,,6.771e-11
219.796,9.649e-10,,,9.649e-10
219.801,1.240e-8,,,1.240e-8
219.806,1.437e-7,,,1.437e-7
219.811,1.502e-6,,,1.502e-6
219.816,1.416e-5,,,1.416e-5
219.821,1.203e-4,,,1.203e-4
219.826,9.221e-4,,,9.221e-4
219.831,6.373e-3,,,6.373e-3
219.836,3.972e-2,,,3.972e-2
219.841,2.233e-1,,,2.233e-1
219.846,1.132e+0,,,1.132e+0
219.851,5.172e+0,,,5.172e+0
219.856,2.132e+1,,,2.132e+1
219.861,7.924e+1,,,7.924e+1
219.866,2.656e+2,,,2.656e+2
219.871,8.029e+2,,,8.029e+2
219.876,2.189e+3,,,2.189e+3
219.881,5.380e+3,,,5.380e+3
