Wavelength (nm),Sum(calc),Cr I (2.7e-2),Cr II (9.7e-1)
479.733,5.157e+4,5.157e+4,
479.738,3.054e+4,3.054e+4,
479.743,1.770e+4,1.770e+4,
479.748,1.004e+4,1.004e+4,
479.753,5.569e+3,5.569e+3,
479.759,2.669e+3,2.669e+3,
479.764,1.412e+3,1.412e+3,
479.769,7.306e+2,7.306e+2,
479.774,3.700e+2,3.700e+2,
479.779,1.834e+2,1.834e+2,
479.784,8.892e+1,8.892e+1,
479.789,4.219e+1,4.219e+1,
479.794,1.959e+1,1.959e+1,
479.799,8.898e+0,8.898e+0,
479.805,3.355e+0,3.355e+0,
479.810,1.453e+0,1.453e+0,
479.815,6.156e-1,6.156e-1,
479.820,2.553e-1,2.553e-1,
479.825,1.036e-1,1.036e-1,
479.830,4.112e-2,4.112e-2,
479.835,1.598e-2,1.598e-2,
479.840,6.083e-3,6.083e-3,
479.846,1.891e-3,1.891e-3,
479.851,7.991e-4,7.991e-4,
479.856,6.177e-4,6.177e-4,
479.861,1.176e-3,1.176e-3,
479.866,3.105e-3,3.105e-3,
479.871,8.484e-3,8.484e-3,
479.876,2.284e-2,2.284e-2,
479.881,6.022e-2,6.022e-2,
479.887,1.873e-1,1.873e-1,
479.892,4.710e-1,4.710e-1,
479.897,1.159e+0,1.159e+0,
479.902,2.789e+0,2.789e+0,
479.907,6.571e+0,6.571e+0,
479.912,1.515e+1,1.515e+1,
479.917,3.417e+1,3.417e+1,
479.922,7.542e+1,7.542e+1,
479.928,1.895e+2,1.895e+2,
479.933,3.988e+2,3.988e+2,
479.938,8.213e+2,8.213e+2,
479.943,1.655e+3,1.655e+3,
479.948,3.263e+3,3.263e+3,
479.953,6.297e+3,6.297e+3,
479.958,1.189e+4,1.189e+4,
479.963,2.197e+4,2.197e+4,
479.968,3.971e+4,3.971e+4,
479.974,7.855e+4,7.855e+4,
479.979,1.354e+5,1.354e+5,
479.984,2.284e+5,2.284e+5,
479.989,3.769e+5,3.769e+5,
479.994,6.088e+5,6.088e+5,
479.999,9.621e+5,9.621e+5,
480.004,1.488e+6,1.488e+6,
480.009,2.252e+6,2.252e+6,
480.015,3.598e+6,3.598e+6,
480.020,5.191e+6,5.191e+6,
480.025,7.329e+6,7.329e+6,
480.030,1.012e+7,1.012e+7,
480.035,1.369e+7,1.369e+7,
480.040,1.811e+7,1.811e+7,
480.045,2.344e+7,2.344e+7,
480.050,2.969e+7,2.969e+7,
480.056,3.832e+7,3.832e+7,
