Wavelength (nm),Au I (2.0e-01)
406.357,1.415e+3
406.362,3.539e+3
406.367,8.589e+3
406.372,2.022e+4
406.377,4.619e+4
406.382,1.024e+5
406.387,2.201e+5
406.392,4.591e+5
406.397,9.291e+5
406.402,1.824e+6
406.407,3.475e+6
406.412,6.423e+6
406.417,1.152e+7
406.422,2.004e+7
406.427,3.382e+7
406.432,5.538e+7
406.437,8.798e+7
406.442,1.356e+8
406.447,2.028e+8
406.452,2.942e+8
406.457,4.142e+8
406.462,5.656e+8
406.467,7.494e+8
406.472,9.634e+8
406.477,1.202e+9
406.482,1.454e+9
406.487,1.707e+9
406.492,1.944e+9
406.497,2.148e+9
406.502,2.303e+9
406.507,2.395e+9
406.512,2.417e+9
406.517,2.366e+9
406.522,2.248e+9
406.527,2.071e+9
406.532,1.852e+9
406.537,1.606e+9
406.542,1.352e+9
406.547,1.104e+9
406.552,8.745e+8
406.557,6.721e+8
406.562,5.012e+8
406.567,3.625e+8
406.572,2.545e+8
406.577,1.733e+8
406.582,1.145e+8
406.587,7.338e+7
406.592,4.563e+7
406.597,2.753e+7
406.602,1.611e+7
406.607,9.151e+6
406.612,5.042e+6
406.617,2.695e+6
406.622,1.398e+6
406.627,7.034e+5
406.632,3.434e+5
406.637,1.626e+5
406.642,7.473e+4
406.647,3.331e+4
406.652,1.441e+4
406.657,6.047e+3
406.662,2.462e+3
406.667,9.724e+2
406.672,3.726e+2
406.677,1.385e+2
406.682,4.997e+1
406.687,1.749e+1
406.692,5.938e+0
406.697,1.956e+0
406.702,6.252e-1
406.707,1.939e-1
406.712,5.832e-2
406.717,1.702e-2
406.722,4.820e-3
406.727,1.324e-3
406.732,3.529e-4
406.737,9.127e-5
406.742,2.290e-5
406.747,5.574e-6
406.752,1.316e-6
406.757,3.016e-7
478.985,5.625e-7
478.99,1.949e-6
478.995,6.610e-6
479,2.193e-5
479.005,7.121e-5
479.01,2.262e-4
479.015,7.031e-4
479.02,2.138e-3
479.025,6.364e-3
479.03,1.853e-2
479.035,5.279e-2
479.04,1.472e-1
479.045,4.015e-1
479.05,1.071e+0
479.055,2.798e+0
479.06,7.150e+0
479.065,1.788e+1
479.07,4.374e+1
479.075,1.047e+2
479.08,2.452e+2
479.085,5.620e+2
479.09,1.260e+3
479.095,2.765e+3
479.1,5.937e+3
479.105,1.247e+4
479.11,2.563e+4
479.115,5.155e+4
479.12,1.015e+5
479.125,1.953e+5
479.13,3.680e+5
479.135,6.785e+5
479.14,1.224e+6
479.145,2.160e+6
479.15,3.730e+6
479.155,6.303e+6
479.16,1.042e+7
479.165,1.686e+7
479.17,2.669e+7
479.175,4.134e+7
479.18,6.265e+7
479.185,9.290e+7
479.19,1.348e+8
479.195,1.914e+8
479.2,2.658e+8
479.205,3.613e+8
479.21,4.806e+8
479.215,6.254e+8
479.22,7.963e+8
479.225,9.921e+8
479.23,1.209e+9
479.235,1.443e+9
479.24,1.684e+9
479.245,1.923e+9
479.25,2.149e+9
479.255,2.349e+9
479.26,2.513e+9
479.265,2.631e+9
479.27,2.694e+9
479.275,2.700e+9
479.28,2.648e+9
479.285,2.541e+9
479.29,2.385e+9
479.295,2.191e+9
479.3,1.969e+9
479.305,1.732e+9
479.31,1.490e+9
479.315,1.255e+9
479.32,1.034e+9
479.325,8.335e+8
479.33,6.575e+8
479.335,5.074e+8
479.34,3.832e+8
479.345,2.832e+8
479.35,2.047e+8
479.355,1.448e+8
