Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
208.889,4.068e-1,,1.095e-14,4.068e-1
208.894,7.131e-1,,1.084e-14,7.131e-1
208.899,1.115e+0,,1.072e-14,1.115e+0
208.904,1.554e+0,,1.060e-14,1.554e+0
208.909,1.932e+0,,1.048e-14,1.932e+0
208.914,2.142e+0,,1.037e-14,2.142e+0
208.919,2.117e+0,,1.025e-14,2.117e+0
208.924,1.867e+0,,1.013e-14,1.867e+0
208.929,1.468e+0,,1.002e-14,1.468e+0
208.934,1.029e+0,,9.898e-15,1.029e+0
208.939,6.432e-1,,9.781e-15,6.432e-1
208.944,3.586e-1,,9.664e-15,3.586e-1
208.949,1.783e-1,,9.546e-15,1.783e-1
208.954,7.905e-2,,9.429e-15,7.905e-2
208.959,3.126e-2,,9.312e-15,3.126e-2
208.964,1.102e-2,,9.195e-15,1.102e-2
208.969,3.465e-3,,9.078e-15,3.465e-3
208.974,9.715e-4,,8.961e-15,9.715e-4
208.979,2.429e-4,,8.843e-15,2.429e-4
208.984,5.416e-5,,8.726e-15,5.416e-5
208.989,1.077e-5,,8.609e-15,1.077e-5
208.994,1.910e-6,,8.492e-15,1.910e-6
208.999,3.020e-7,,8.375e-15,3.020e-7
209.004,4.258e-8,,8.258e-15,4.258e-8
209.009,5.354e-9,,8.140e-15,5.354e-9
209.014,6.004e-10,,8.023e-15,6.004e-10
209.019,6.003e-11,,7.906e-15,6.003e-11
209.024,5.353e-12,,7.789e-15,5.353e-12
209.029,4.257e-13,,7.672e-15,4.257e-13
209.035,1.754e-14,,7.531e-15,1.754e-14
209.040,1.084e-15,,7.414e-15,1.084e-15
209.045,5.975e-17,,7.297e-15,5.975e-17
209.050,2.937e-18,,7.180e-15,2.937e-18
209.055,1.287e-19,,7.062e-15,1.287e-19
209.060,5.031e-21,,6.945e-15,5.031e-21
209.065,1.754e-22,,6.828e-15,1.754e-22
209.120,1.600e-21,,5.539e-15,1.600e-21
209.125,4.336e-20,,5.422e-15,4.336e-20
209.130,1.048e-18,,5.305e-15,1.048e-18
209.135,2.261e-17,,5.188e-15,2.261e-17
209.140,4.351e-16,,5.071e-15,4.351e-16
209.145,7.469e-15,,4.953e-15,7.469e-15
209.150,1.144e-13,,4.836e-15,1.144e-13
209.155,1.563e-12,,4.719e-15,1.563e-12
209.160,1.905e-11,,4.602e-15,1.905e-11
209.165,2.071e-10,,4.485e-15,2.071e-10
209.170,2.009e-9,,4.367e-15,2.009e-9
209.175,1.738e-8,,4.250e-15,1.738e-8
209.180,1.342e-7,,4.133e-15,1.342e-7
209.185,9.239e-7,,4.016e-15,9.239e-7
209.190,5.676e-6,,3.899e-15,5.676e-6
209.195,3.111e-5,,3.782e-15,3.111e-5
209.200,1.521e-4,,3.664e-15,1.521e-4
