Wavelength (nm),Sum(calc),Fe I (4.4e-2),Fe II (9.5e-1),Fe III (2.2e-3)
274.907,4.257e+10,2.229e+2,4.257e+10,6.292e-27
274.912,5.431e+10,8.875e+2,5.431e+10,6.289e-27
274.917,6.543e+10,3.308e+3,6.543e+10,6.286e-27
274.922,7.444e+10,1.154e+4,7.444e+10,6.284e-27
274.927,7.996e+10,3.768e+4,7.996e+10,6.281e-27
274.932,8.109e+10,1.152e+5,8.109e+10,6.279e-27
274.937,7.764e+10,3.294e+5,7.764e+10,6.276e-27
274.942,7.020e+10,8.822e+5,7.020e+10,6.274e-27
274.947,5.997e+10,2.211e+6,5.996e+10,6.271e-27
274.952,4.841e+10,5.188e+6,4.841e+10,6.269e-27
274.957,3.697e+10,1.139e+7,3.696e+10,6.266e-27
274.962,2.672e+10,2.342e+7,2.670e+10,6.264e-27
274.967,1.831e+10,4.507e+7,1.827e+10,6.261e-27
274.972,1.193e+10,8.117e+7,1.185e+10,6.258e-27
274.977,7.421e+9,1.368e+8,7.285e+9,6.256e-27
274.982,4.466e+9,2.159e+8,4.250e+9,6.253e-27
274.987,2.671e+9,3.189e+8,2.353e+9,6.251e-27
274.992,1.677e+9,4.409e+8,1.236e+9,6.248e-27
274.997,1.186e+9,5.706e+8,6.156e+8,6.246e-27
275.002,9.819e+8,6.912e+8,2.907e+8,6.243e-27
275.007,9.137e+8,7.837e+8,1.300e+8,6.241e-27
275.012,8.868e+8,8.318e+8,5.500e+7,6.238e-27
275.017,8.483e+8,8.263e+8,2.199e+7,6.236e-27
275.022,7.766e+8,7.683e+8,8.305e+6,6.233e-27
275.027,6.717e+8,6.687e+8,2.979e+6,6.230e-27
275.032,5.459e+8,5.448e+8,1.073e+6,6.228e-27
275.037,4.160e+8,4.155e+8,5.479e+5,6.225e-27
275.042,2.973e+8,2.966e+8,7.159e+5,6.223e-27
275.047,1.997e+8,1.981e+8,1.567e+6,6.220e-27
275.052,1.275e+8,1.239e+8,3.574e+6,6.218e-27
275.057,8.027e+7,7.254e+7,7.728e+6,6.215e-27
275.062,5.541e+7,3.975e+7,1.567e+7,6.213e-27
275.067,5.012e+7,2.039e+7,2.973e+7,6.210e-27
275.072,6.261e+7,9.787e+6,5.282e+7,6.208e-27
275.077,9.225e+7,4.398e+6,8.785e+7,6.205e-27
275.082,1.386e+8,1.850e+6,1.368e+8,6.202e-27
275.087,2.000e+8,7.283e+5,1.993e+8,6.200e-27
275.092,2.721e+8,2.684e+5,2.719e+8,6.197e-27
275.097,3.472e+8,9.258e+4,3.471e+8,6.195e-27
275.102,4.150e+8,2.989e+4,4.149e+8,6.192e-27
275.107,4.643e+8,9.035e+3,4.642e+8,6.190e-27
275.112,4.862e+8,2.556e+3,4.862e+8,6.187e-27
275.117,4.767e+8,6.768e+2,4.767e+8,6.185e-27
275.122,4.374e+8,1.677e+2,4.374e+8,6.182e-27
275.127,3.758e+8,3.892e+1,3.758e+8,6.180e-27
275.132,3.022e+8,8.451e+0,3.022e+8,6.177e-27
275.137,2.275e+8,1.718e+0,2.275e+8,6.174e-27
275.142,1.604e+8,3.269e-1,1.604e+8,6.172e-27
275.147,1.061e+8,5.821e-2,1.061e+8,6.169e-27
275.152,6.613e+7,9.704e-3,6.613e+7,6.167e-27
275.157,3.966e+7,1.514e-3,3.966e+7,6.164e-27
275.162,2.445e+7,2.212e-4,2.445e+7,6.162e-27
275.167,1.821e+7,3.023e-5,1.821e+7,6.159e-27
275.172,1.926e+7,3.869e-6,1.926e+7,6.157e-27
275.177,2.668e+7,4.634e-7,2.668e+7,6.154e-27
275.182,4.007e+7,5.196e-8,4.007e+7,6.152e-27
275.187,5.894e+7,5.453e-9,5.894e+7,6.149e-27
275.192,8.216e+7,5.356e-10,8.216e+7,6.146e-27
275.197,1.076e+8,4.925e-11,1.076e+8,6.144e-27
275.202,1.320e+8,4.239e-12,1.320e+8,6.141e-27
275.207,1.516e+8,3.415e-13,1.516e+8,6.139e-27
275.212,1.630e+8,2.575e-14,1.630e+8,6.136e-27
275.217,1.641e+8,1.817e-15,1.641e+8,6.134e-27
275.222,1.546e+8,1.201e-16,1.546e+8,6.131e-27
275.227,1.364e+8,7.426e-18,1.364e+8,6.129e-27
275.232,1.127e+8,7.239e-18,1.127e+8,6.126e-27
275.237,8.733e+7,7.051e-18,8.733e+7,6.124e-27
275.242,6.374e+7,6.864e-18,6.374e+7,6.121e-27
275.247,4.465e+7,6.677e-18,4.465e+7,6.119e-27
275.252,3.210e+7,6.490e-18,3.210e+7,6.116e-27
275.257,2.839e+7,6.303e-18,2.839e+7,6.113e-27
275.262,3.772e+7,6.116e-18,3.772e+7,6.111e-27
275.267,6.870e+7,5.929e-18,6.870e+7,6.108e-27
275.272,1.374e+8,5.742e-18,1.374e+8,6.106e-27
275.277,2.708e+8,5.554e-18,2.708e+8,6.103e-27
275.282,5.083e+8,5.367e-18,5.083e+8,6.101e-27
275.287,9.004e+8,5.180e-18,9.004e+8,6.098e-27
275.292,1.500e+9,4.993e-18,1.500e+9,6.096e-27
275.297,2.347e+9,4.806e-18,2.347e+9,6.093e-27
275.302,3.445e+9,4.619e-18,3.445e+9,6.091e-27
275.307,4.741e+9,4.432e-18,4.741e+9,6.088e-27
275.312,6.114e+9,4.244e-18,6.114e+9,6.085e-27
275.317,7.389e+9,4.057e-18,7.389e+9,6.083e-27
275.322,8.364e+9,3.870e-18,8.364e+9,6.080e-27
275.327,8.867e+9,3.683e-18,8.867e+9,6.078e-27
275.332,8.802e+9,3.496e-18,8.802e+9,6.075e-27
275.337,8.182e+9,3.309e-18,8.182e+9,6.073e-27
275.342,7.121e+9,3.122e-18,7.121e+9,6.070e-27
275.347,5.803e+9,2.935e-18,5.803e+9,6.068e-27
275.351,4.698e+9,2.785e-18,4.698e+9,6.066e-27
275.356,3.400e+9,2.598e-18,3.400e+9,6.063e-27
275.361,2.304e+9,2.411e-18,2.304e+9,6.061e-27
275.366,1.461e+9,2.223e-18,1.461e+9,6.058e-27
275.371,8.679e+8,2.036e-18,8.679e+8,6.055e-27
275.376,4.825e+8,1.849e-18,4.825e+8,6.053e-27
275.381,2.511e+8,1.662e-18,2.511e+8,6.050e-27
275.386,1.224e+8,1.475e-18,1.224e+8,6.048e-27
275.391,5.582e+7,1.288e-18,5.582e+7,6.045e-27
275.396,2.384e+7,1.101e-18,2.384e+7,6.043e-27
275.401,9.545e+6,9.135e-19,9.545e+6,6.040e-27
275.406,3.612e+6,7.264e-19,3.612e+6,6.038e-27
275.411,1.381e+6,5.393e-19,1.381e+6,6.035e-27
275.416,7.649e+5,3.521e-19,7.649e+5,6.033e-27
275.421,1.025e+6,5.928e-18,1.025e+6,6.030e-27
275.426,2.166e+6,9.342e-17,2.166e+6,6.027e-27
275.431,4.737e+6,1.379e-15,4.737e+6,6.025e-27
275.436,9.825e+6,1.905e-14,9.825e+6,6.022e-27
275.441,1.911e+7,2.464e-13,1.911e+7,6.020e-27
275.446,3.480e+7,2.985e-12,3.480e+7,6.017e-27
275.451,5.934e+7,3.386e-11,5.934e+7,6.015e-27
275.456,9.473e+7,3.595e-10,9.473e+7,6.012e-27
275.461,1.416e+8,3.575e-9,1.416e+8,6.010e-27
275.466,1.981e+8,3.328e-8,1.981e+8,6.007e-27
275.471,2.596e+8,2.901e-7,2.596e+8,6.005e-27
275.476,3.186e+8,2.368e-6,3.186e+8,6.002e-27
275.481,3.665e+8,1.809e-5,3.665e+8,5.999e-27
275.486,3.962e+8,1.294e-4,3.962e+8,5.997e-27
275.491,4.052e+8,8.672e-4,4.052e+8,5.994e-27
275.496,4.003e+8,5.439e-3,4.003e+8,5.992e-27
275.501,4.031e+8,3.195e-2,4.031e+8,5.989e-27
275.506,4.593e+8,1.757e-1,4.593e+8,5.987e-27
275.511,6.544e+8,9.044e-1,6.544e+8,5.984e-27
275.516,1.138e+9,4.360e+0,1.138e+9,5.982e-27
275.521,2.149e+9,1.968e+1,2.149e+9,5.979e-27
275.526,4.044e+9,8.317e+1,4.044e+9,5.977e-27
275.531,7.283e+9,3.291e+2,7.283e+9,5.974e-27
275.536,1.237e+10,1.219e+3,1.237e+10,5.971e-27
275.541,1.972e+10,4.230e+3,1.972e+10,5.969e-27
275.546,2.945e+10,1.374e+4,2.945e+10,5.966e-27
275.551,4.120e+10,4.178e+4,4.120e+10,5.964e-27
275.556,5.396e+10,1.190e+5,5.396e+10,5.961e-27
275.561,6.618e+10,3.172e+5,6.618e+10,5.959e-27
275.566,7.600e+10,7.917e+5,7.600e+10,5.956e-27
275.571,8.171e+10,1.850e+6,8.170e+10,5.954e-27
275.576,8.225e+10,4.049e+6,8.224e+10,5.951e-27
275.581,7.752e+10,8.297e+6,7.751e+10,5.949e-27
275.586,6.841e+10,1.592e+7,6.840e+10,5.946e-27
275.591,5.654e+10,2.859e+7,5.651e+10,5.943e-27
275.596,4.376e+10,4.809e+7,4.371e+10,5.941e-27
275.601,3.173e+10,7.574e+7,3.166e+10,5.938e-27
275.606,2.158e+10,1.117e+8,2.147e+10,5.936e-27
275.611,1.378e+10,1.542e+8,1.363e+10,5.933e-27
275.616,8.301e+9,1.993e+8,8.102e+9,5.931e-27
275.621,4.750e+9,2.412e+8,4.509e+9,5.928e-27
275.626,2.623e+9,2.733e+8,2.350e+9,5.926e-27
275.631,1.437e+9,2.900e+8,1.147e+9,5.923e-27
275.636,8.125e+8,2.881e+8,5.244e+8,5.921e-27
275.641,4.937e+8,2.680e+8,2.257e+8,5.918e-27
275.646,3.269e+8,2.334e+8,9.349e+7,5.915e-27
275.651,2.317e+8,1.903e+8,4.141e+7,5.913e-27
275.656,1.721e+8,1.454e+8,2.672e+7,5.910e-27
275.661,1.347e+8,1.041e+8,3.067e+7,5.908e-27
275.666,1.162e+8,6.999e+7,4.625e+7,5.905e-27
275.671,1.159e+8,4.465e+7,7.127e+7,5.903e-27
275.676,1.325e+8,2.789e+7,1.047e+8,5.900e-27
275.681,1.631e+8,1.874e+7,1.444e+8,5.898e-27
275.686,2.027e+8,1.611e+7,1.865e+8,5.895e-27
275.691,2.450e+8,1.923e+7,2.257e+8,5.893e-27
275.696,2.835e+8,2.771e+7,2.558e+8,5.890e-27
275.701,3.127e+8,4.127e+7,2.714e+8,5.888e-27
275.706,3.290e+8,5.934e+7,2.696e+8,5.885e-27
275.711,3.314e+8,8.057e+7,2.508e+8,5.882e-27
275.716,3.211e+8,1.027e+8,2.184e+8,5.880e-27
275.721,3.007e+8,1.226e+8,1.781e+8,5.877e-27
275.726,2.731e+8,1.371e+8,1.360e+8,5.875e-27
275.731,2.408e+8,1.435e+8,9.726e+7,5.872e-27
275.736,2.059e+8,1.407e+8,6.512e+7,5.870e-27
275.741,1.700e+8,1.292e+8,4.082e+7,5.867e-27
275.746,1.350e+8,1.111e+8,2.396e+7,5.865e-27
275.751,1.026e+8,8.940e+7,1.317e+7,5.862e-27
275.756,7.415e+7,6.738e+7,6.776e+6,5.860e-27
275.761,5.081e+7,4.755e+7,3.265e+6,5.857e-27
275.766,3.289e+7,3.142e+7,1.473e+6,5.854e-27
275.771,2.006e+7,1.944e+7,6.223e+5,5.852e-27
275.776,1.151e+7,1.126e+7,2.461e+5,5.849e-27
275.781,6.201e+6,6.110e+6,9.119e+4,5.847e-27
275.786,3.135e+6,3.103e+6,3.171e+4,5.844e-27
275.791,1.487e+6,1.476e+6,1.056e+4,5.842e-27
275.796,6.613e+5,6.573e+5,3.979e+3,5.839e-27
275.801,2.773e+5,2.741e+5,3.232e+3,5.837e-27
275.806,1.133e+5,1.070e+5,6.233e+3,5.834e-27
275.811,5.355e+4,3.913e+4,1.443e+4,5.832e-27
275.816,4.564e+4,1.340e+4,3.225e+4,5.829e-27
275.821,7.202e+4,4.294e+3,6.772e+4,5.826e-27
275.826,1.345e+5,1.289e+3,1.332e+5,5.824e-27
275.831,2.458e+5,3.622e+2,2.454e+5,5.821e-27
275.836,4.235e+5,9.531e+1,4.234e+5,5.819e-27
275.841,6.840e+5,2.348e+1,6.840e+5,5.816e-27
275.846,1.035e+6,5.418e+0,1.035e+6,5.814e-27
275.851,1.466e+6,1.170e+0,1.466e+6,5.811e-27
275.856,1.944e+6,2.368e-1,1.944e+6,5.809e-27
275.861,2.415e+6,4.484e-2,2.415e+6,5.806e-27
275.866,2.810e+6,7.953e-3,2.810e+6,5.804e-27
275.871,3.063e+6,1.321e-3,3.063e+6,5.801e-27
