Wavelength (nm),Sum,Sn I (5.3e-02),Sn II (9.4e-01)
302.243,3.434e-4,,3.434e-4
302.248,1.742e-3,,1.742e-3
302.253,8.367e-3,,8.367e-3
302.258,3.805e-2,,3.805e-2
302.263,1.638e-1,,1.638e-1
302.268,6.679e-1,,6.679e-1
302.273,2.578e+0,,2.578e+0
302.278,9.420e+0,,9.420e+0
302.283,3.259e+1,,3.259e+1
302.288,1.068e+2,,1.068e+2
302.293,3.311e+2,,3.311e+2
302.298,9.722e+2,,9.722e+2
302.303,2.703e+3,,2.703e+3
302.308,7.115e+3,,7.115e+3
302.313,1.773e+4,,1.773e+4
302.318,4.184e+4,,4.184e+4
302.323,9.346e+4,,9.346e+4
302.328,1.977e+5,,1.977e+5
302.333,3.959e+5,,3.959e+5
302.338,7.506e+5,,7.506e+5
302.343,1.347e+6,,1.347e+6
302.348,2.290e+6,,2.290e+6
302.353,3.685e+6,,3.685e+6
302.358,5.614e+6,,5.614e+6
302.363,8.098e+6,,8.098e+6
302.368,1.106e+7,,1.106e+7
302.373,1.430e+7,,1.430e+7
302.378,1.751e+7,,1.751e+7
302.383,2.029e+7,,2.029e+7
302.388,2.227e+7,,2.227e+7
302.393,2.314e+7,,2.314e+7
302.398,2.276e+7,,2.276e+7
302.403,2.120e+7,,2.120e+7
302.408,1.869e+7,,1.869e+7
302.413,1.561e+7,,1.561e+7
302.418,1.234e+7,,1.234e+7
302.423,9.234e+6,,9.234e+6
302.428,6.543e+6,,6.543e+6
302.433,4.390e+6,,4.390e+6
302.438,2.788e+6,,2.788e+6
302.443,1.677e+6,,1.677e+6
302.448,9.547e+5,,9.547e+5
302.453,5.147e+5,,5.147e+5
302.458,2.627e+5,,2.627e+5
302.463,1.269e+5,,1.269e+5
302.468,5.808e+4,,5.808e+4
302.473,2.516e+4,,2.516e+4
302.478,1.032e+4,,1.032e+4
302.483,4.007e+3,,4.007e+3
302.488,1.473e+3,,1.473e+3
302.493,5.128e+2,,5.128e+2
302.498,1.690e+2,,1.690e+2
302.503,5.273e+1,,5.273e+1
302.508,1.558e+1,,1.558e+1
302.513,4.357e+0,,4.357e+0
302.518,1.154e+0,,1.154e+0
302.523,2.893e-1,,2.893e-1
302.528,6.868e-2,,6.868e-2
302.533,1.544e-2,,1.544e-2
302.538,3.285e-3,,3.285e-3
302.543,6.618e-4,,6.618e-4
302.548,1.262e-4,,1.262e-4
302.553,2.280e-5,,2.280e-5
302.558,3.898e-6,,3.898e-6
302.563,6.311e-7,,6.311e-7
302.568,9.674e-8,,9.674e-8
302.573,1.404e-8,,1.404e-8
302.578,1.929e-9,,1.929e-9
303.093,8.634e-8,8.634e-8,
303.098,6.279e-7,6.279e-7,
303.103,4.325e-6,4.325e-6,
303.108,2.822e-5,2.822e-5,
303.113,1.744e-4,1.744e-4,
303.118,1.020e-3,1.020e-3,
303.123,5.654e-3,5.654e-3,
303.128,2.968e-2,2.968e-2,
303.133,1.475e-1,1.475e-1,
303.138,6.946e-1,6.946e-1,
303.143,3.097e+0,3.097e+0,
303.148,1.308e+1,1.308e+1,
303.153,5.232e+1,5.232e+1,
303.158,1.982e+2,1.982e+2,
303.163,7.110e+2,7.110e+2,
303.168,2.416e+3,2.416e+3,
303.173,7.774e+3,7.774e+3,
303.178,2.369e+4,2.369e+4,
303.183,6.839e+4,6.839e+4,
303.188,1.870e+5,1.870e+5,
303.193,4.841e+5,4.841e+5,
303.198,1.187e+6,1.187e+6,
303.203,2.757e+6,2.757e+6,
303.208,6.064e+6,6.064e+6,
303.213,1.263e+7,1.263e+7,
303.218,2.492e+7,2.492e+7,
303.223,4.657e+7,4.657e+7,
303.228,8.241e+7,8.241e+7,
303.233,1.381e+8,1.381e+8,
303.238,2.192e+8,2.192e+8,
303.243,3.296e+8,3.296e+8,
303.248,4.693e+8,4.693e+8,
303.253,6.328e+8,6.328e+8,
303.258,8.082e+8,8.082e+8,
303.263,9.776e+8,9.776e+8,
303.268,1.120e+9,1.120e+9,
303.273,1.215e+9,1.215e+9,
303.278,1.249e+9,1.249e+9,
303.283,1.215e+9,1.215e+9,
303.288,1.120e+9,1.120e+9,
303.293,9.776e+8,9.776e+8,
303.298,8.082e+8,8.082e+8,
303.303,6.329e+8,6.329e+8,
303.308,4.694e+8,4.694e+8,
303.313,3.299e+8,3.299e+8,
303.318,2.200e+8,2.200e+8,
303.323,1.401e+8,1.401e+8,
303.328,8.755e+7,8.755e+7,
303.333,5.890e+7,5.890e+7,
303.338,5.293e+7,5.293e+7,
303.343,7.288e+7,7.288e+7,
303.348,1.288e+8,1.288e+8,
303.353,2.395e+8,2.395e+8,
303.358,4.339e+8,4.339e+8,
303.363,7.493e+8,7.493e+8,
303.368,1.228e+9,1.228e+9,
303.373,1.906e+9,1.906e+9,
303.378,2.803e+9,2.803e+9,
303.383,3.904e+9,3.904e+9,
303.388,5.150e+9,5.150e+9,
303.393,6.434e+9,6.434e+9,
303.398,7.614e+9,7.614e+9,
303.403,8.534e+9,8.534e+9,
303.408,9.059e+9,9.059e+9,
303.413,9.109e+9,9.109e+9,
303.418,8.674e+9,8.674e+9,
303.423,7.824e+9,7.824e+9,
303.428,6.683e+9,6.683e+9,
303.433,5.408e+9,5.408e+9,
303.438,4.144e+9,4.144e+9,
303.443,3.008e+9,3.008e+9,
303.448,2.068e+9,2.068e+9,
303.453,1.346e+9,1.346e+9,
303.458,8.303e+8,8.303e+8,
303.463,4.850e+8,4.850e+8,
303.468,2.683e+8,2.683e+8,
303.473,1.406e+8,1.406e+8,
303.478,6.976e+7,6.976e+7,
303.483,3.279e+7,3.279e+7,
303.488,1.460e+7,1.460e+7,
303.493,6.155e+6,6.155e+6,
303.498,2.458e+6,2.458e+6,
