Wavelength (nm),Sum(calc),Ag I (7.1e-2),Ag II (9.3e-1)
206.83,9.130e+3,2.553e-8,9.130e+3
206.85,1.108e+3,2.598e-8,1.108e+3
206.87,1.137e+2,2.642e-8,1.137e+2
206.88,3.417e+1,2.664e-8,3.417e+1
206.90,2.720e+0,2.708e-8,2.720e+0
206.92,1.830e-1,2.753e-8,1.830e-1
206.93,4.454e-2,2.775e-8,4.454e-2
206.95,2.326e-3,2.819e-8,2.326e-3
206.97,1.026e-4,2.863e-8,1.026e-4
206.98,2.023e-5,2.885e-8,2.023e-5
207.00,6.931e-7,2.930e-8,6.931e-7
207.02,2.006e-8,2.974e-8,2.006e-8
207.12,2.625e-10,3.195e-8,2.625e-10
207.13,1.550e-9,3.217e-8,1.550e-9
207.15,4.769e-8,3.262e-8,4.769e-8
207.17,1.241e-6,3.306e-8,1.241e-6
207.18,5.947e-6,3.328e-8,5.947e-6
207.20,1.205e-4,3.372e-8,1.205e-4
207.21,5.092e-4,3.394e-8,5.092e-4
207.23,8.028e-3,3.439e-8,8.028e-3
207.25,1.071e-1,3.483e-8,1.071e-1
207.26,3.673e-1,3.505e-8,3.673e-1
207.28,3.813e+0,3.549e-8,3.813e+0
207.30,3.348e+1,3.593e-8,3.348e+1
207.31,9.320e+1,3.616e-8,9.320e+1
207.33,6.370e+2,3.660e-8,6.370e+2
207.35,3.684e+3,3.704e-8,3.684e+3
207.36,8.321e+3,3.726e-8,8.321e+3
207.38,3.745e+4,3.771e-8,3.745e+4
207.40,1.426e+5,3.815e-8,1.426e+5
207.41,2.614e+5,3.837e-8,2.614e+5
207.43,7.746e+5,3.881e-8,7.746e+5
207.45,1.942e+6,3.925e-8,1.942e+6
207.46,2.889e+6,3.948e-8,2.889e+6
207.48,5.637e+6,3.992e-8,5.637e+6
207.50,9.307e+6,4.036e-8,9.307e+6
207.51,1.123e+7,4.058e-8,1.123e+7
207.53,1.443e+7,4.102e-8,1.443e+7
207.55,1.569e+7,4.147e-8,1.569e+7
207.56,1.537e+7,4.169e-8,1.537e+7
207.58,1.300e+7,4.213e-8,1.300e+7
207.60,9.307e+6,4.257e-8,9.307e+6
207.61,7.396e+6,4.279e-8,7.396e+6
207.63,4.120e+6,4.324e-8,4.120e+6
207.64,2.889e+6,4.346e-8,2.889e+6
207.66,1.252e+6,4.390e-8,1.252e+6
207.68,4.594e+5,4.434e-8,4.594e+5
207.69,2.614e+5,4.457e-8,2.614e+5
207.71,7.462e+4,4.501e-8,7.462e+4
207.73,1.803e+4,4.545e-8,1.803e+4
207.74,8.321e+3,4.567e-8,8.321e+3
207.76,1.564e+3,4.611e-8,1.564e+3
207.78,2.488e+2,4.656e-8,2.488e+2
207.79,9.320e+1,4.678e-8,9.320e+1
207.81,1.154e+1,4.722e-8,1.154e+1
207.83,1.208e+0,4.766e-8,1.208e+0
207.84,3.673e-1,4.788e-8,3.673e-1
207.86,2.994e-2,4.833e-8,2.994e-2
207.88,2.065e-3,4.877e-8,2.065e-3
207.89,5.092e-4,4.899e-8,5.092e-4
207.91,2.733e-5,4.943e-8,2.733e-5
207.93,1.241e-6,4.988e-8,1.241e-6
207.94,2.484e-7,5.010e-8,2.484e-7
207.96,8.779e-9,5.054e-8,8.779e-9
207.98,2.625e-10,5.098e-8,2.625e-10
210.94,1.701e-7,1.165e-7,1.701e-7
210.95,9.812e-7,1.167e-7,9.812e-7
210.97,2.893e-5,1.171e-7,2.893e-5
210.99,7.261e-4,1.176e-7,7.261e-4
211.00,3.424e-3,1.178e-7,3.424e-3
211.02,6.748e-2,1.183e-7,6.748e-2
211.04,1.132e+0,1.187e-7,1.132e+0
211.05,4.364e+0,1.189e-7,4.364e+0
211.07,5.749e+1,1.194e-7,5.749e+1
211.09,6.447e+2,1.198e-7,6.447e+2
211.10,2.032e+3,1.200e-7,2.032e+3
211.12,1.789e+4,1.205e-7,1.789e+4
211.14,1.341e+5,1.209e-7,1.341e+5
211.15,3.456e+5,1.211e-7,3.456e+5
211.17,2.034e+6,1.216e-7,2.034e+6
211.19,1.019e+7,1.220e-7,1.019e+7
211.20,2.147e+7,1.222e-7,2.147e+7
211.22,8.447e+7,1.227e-7,8.447e+7
211.23,1.577e+8,1.229e-7,1.577e+8
211.25,4.872e+8,1.233e-7,4.872e+8
211.27,1.281e+9,1.238e-7,1.281e+9
211.28,1.956e+9,1.240e-7,1.956e+9
211.30,4.038e+9,1.245e-7,4.038e+9
211.32,7.098e+9,1.249e-7,7.098e+9
211.33,8.859e+9,1.251e-7,8.859e+9
211.35,1.223e+10,1.256e-7,1.223e+10
211.37,1.437e+10,1.260e-7,1.437e+10
211.38,1.466e+10,1.262e-7,1.466e+10
211.40,1.352e+10,1.267e-7,1.352e+10
211.42,1.062e+10,1.271e-7,1.062e+10
211.43,8.859e+9,1.273e-7,8.859e+9
211.45,5.463e+9,1.278e-7,5.463e+9
211.47,2.868e+9,1.282e-7,2.868e+9
211.48,1.956e+9,1.284e-7,1.956e+9
211.50,8.061e+8,1.289e-7,8.061e+8
211.52,2.828e+8,1.293e-7,2.828e+8
211.53,1.577e+8,1.295e-7,1.577e+8
211.55,4.345e+7,1.300e-7,4.345e+7
211.57,1.019e+7,1.304e-7,1.019e+7
211.58,4.645e+6,1.306e-7,4.645e+6
211.60,8.555e+5,1.311e-7,8.555e+5
211.62,1.341e+5,1.315e-7,1.341e+5
211.63,4.998e+4,1.318e-7,4.998e+4
211.65,6.153e+3,1.322e-7,6.153e+3
211.66,2.032e+3,1.324e-7,2.032e+3
211.68,1.965e+2,1.329e-7,1.965e+2
211.70,1.638e+1,1.333e-7,1.638e+1
211.71,5.175e+0,1.335e-7,5.175e+0
211.73,1.080e+1,1.340e-7,1.080e+1
211.75,1.161e+2,1.344e-7,1.161e+2
211.76,3.635e+2,1.346e-7,3.635e+2
211.78,3.157e+3,1.351e-7,3.157e+3
211.80,2.337e+4,1.355e-7,2.337e+4
211.81,5.987e+4,1.357e-7,5.987e+4
211.83,3.485e+5,1.362e-7,3.485e+5
211.85,1.729e+6,1.366e-7,1.729e+6
211.86,3.625e+6,1.368e-7,3.625e+6
211.88,1.414e+7,1.373e-7,1.414e+7
211.90,4.701e+7,1.377e-7,4.701e+7
211.91,8.070e+7,1.379e-7,8.070e+7
211.93,2.110e+8,1.384e-7,2.110e+8
211.95,4.700e+8,1.388e-7,4.700e+8
211.96,6.606e+8,1.391e-7,6.606e+8
211.98,1.157e+9,1.395e-7,1.157e+9
212.00,1.728e+9,1.399e-7,1.728e+9
212.01,1.989e+9,1.402e-7,1.989e+9
212.03,2.337e+9,1.406e-7,2.337e+9
212.05,2.339e+9,1.410e-7,2.339e+9
212.06,2.205e+9,1.413e-7,2.205e+9
212.08,1.738e+9,1.417e-7,1.738e+9
212.09,1.453e+9,1.419e-7,1.453e+9
212.11,9.016e+8,1.424e-7,9.016e+8
212.13,4.773e+8,1.428e-7,4.773e+8
212.14,3.272e+8,1.430e-7,3.272e+8
212.16,1.366e+8,1.435e-7,1.366e+8
212.18,4.872e+7,1.439e-7,4.872e+7
212.19,2.743e+7,1.441e-7,2.743e+7
212.21,7.738e+6,1.446e-7,7.738e+6
212.23,1.870e+6,1.450e-7,1.870e+6
212.24,8.680e+5,1.453e-7,8.680e+5
212.26,1.669e+5,1.457e-7,1.669e+5
212.28,2.771e+4,1.461e-7,2.771e+4
212.29,1.082e+4,1.464e-7,1.082e+4
212.31,2.615e+3,1.468e-7,2.615e+3
212.33,7.084e+3,1.472e-7,7.084e+3
212.34,1.572e+4,1.475e-7,1.572e+4
212.36,7.120e+4,1.479e-7,7.120e+4
212.38,2.759e+5,1.483e-7,2.759e+5
212.39,5.117e+5,1.486e-7,5.117e+5
212.41,1.562e+6,1.490e-7,1.562e+6
212.43,4.063e+6,1.495e-7,4.063e+6
212.44,6.174e+6,1.497e-7,6.174e+6
212.46,1.265e+7,1.501e-7,1.265e+7
212.48,2.210e+7,1.506e-7,2.210e+7
212.49,2.751e+7,1.508e-7,2.751e+7
212.51,3.784e+7,1.512e-7,3.784e+7
212.52,4.180e+7,1.514e-7,4.180e+7
212.54,4.527e+7,1.519e-7,4.527e+7
212.56,4.180e+7,1.523e-7,4.180e+7
212.57,3.784e+7,1.526e-7,3.784e+7
212.59,2.751e+7,1.530e-7,2.751e+7
212.61,1.706e+7,1.534e-7,1.706e+7
212.62,1.265e+7,1.537e-7,1.265e+7
212.64,6.174e+6,1.541e-7,6.174e+6
212.66,2.570e+6,1.545e-7,2.570e+6
212.67,1.562e+6,1.548e-7,1.562e+6
212.69,5.131e+5,1.552e-7,5.131e+5
212.71,1.499e+5,1.557e-7,1.499e+5
212.72,8.570e+4,1.559e-7,8.570e+4
212.74,7.164e+4,1.563e-7,7.164e+4
212.76,1.872e+5,1.568e-7,1.872e+5
212.77,3.161e+5,1.570e-7,3.161e+5
212.79,8.169e+5,1.574e-7,8.169e+5
212.81,1.807e+6,1.579e-7,1.807e+6
212.82,2.533e+6,1.581e-7,2.533e+6
212.84,4.416e+6,1.585e-7,4.416e+6
212.86,6.569e+6,1.590e-7,6.569e+6
212.87,7.549e+6,1.592e-7,7.549e+6
212.89,8.848e+6,1.596e-7,8.848e+6
212.91,8.848e+6,1.601e-7,8.848e+6
212.92,8.337e+6,1.603e-7,8.337e+6
