Wavelength (nm),Sum(calc),Ag I (7.4e-1),Ag II (2.6e-1)
555.49,6.643e+0,,6.643e+0
555.51,4.958e+0,,4.958e+0
555.52,4.334e+0,,4.334e+0
555.54,3.461e+0,,3.461e+0
555.56,3.015e+0,,3.015e+0
555.57,2.927e+0,,2.927e+0
555.59,2.975e+0,,2.975e+0
555.61,3.272e+0,,3.272e+0
555.62,3.496e+0,,3.496e+0
555.64,4.066e+0,,4.066e+0
555.66,4.756e+0,,4.756e+0
555.67,5.130e+0,,5.130e+0
555.69,5.908e+0,,5.908e+0
555.70,6.298e+0,,6.298e+0
555.72,7.052e+0,,7.052e+0
555.74,7.727e+0,,7.727e+0
555.75,8.022e+0,,8.022e+0
555.77,8.498e+0,,8.498e+0
555.79,8.798e+0,,8.798e+0
555.80,8.874e+0,,8.874e+0
555.82,8.873e+0,,8.873e+0
555.84,8.669e+0,,8.669e+0
555.85,8.494e+0,,8.494e+0
555.87,8.013e+0,,8.013e+0
555.89,7.385e+0,,7.385e+0
555.90,7.028e+0,,7.028e+0
555.92,6.255e+0,,6.255e+0
555.94,5.439e+0,,5.439e+0
555.95,5.027e+0,,5.027e+0
555.97,4.221e+0,,4.221e+0
555.99,3.462e+0,,3.462e+0
556.00,3.109e+0,,3.109e+0
556.02,2.462e+0,,2.462e+0
556.04,1.906e+0,,1.906e+0
556.05,1.662e+0,,1.662e+0
556.07,1.242e+0,,1.242e+0
556.09,9.065e-1,,9.065e-1
556.10,7.678e-1,,7.678e-1
556.12,5.413e-1,,5.413e-1
556.13,4.505e-1,,4.505e-1
556.15,3.067e-1,,3.067e-1
556.17,2.040e-1,,2.040e-1
556.18,1.649e-1,,1.649e-1
556.20,1.059e-1,,1.059e-1
556.22,6.645e-2,,6.645e-2
556.23,5.218e-2,,5.218e-2
556.25,3.161e-2,,3.161e-2
556.27,1.871e-2,,1.871e-2
556.28,1.427e-2,,1.427e-2
556.30,8.157e-3,,8.157e-3
556.32,4.555e-3,,4.555e-3
556.33,3.374e-3,,3.374e-3
556.35,1.819e-3,,1.819e-3
556.37,9.585e-4,,9.585e-4
556.38,6.896e-4,,6.896e-4
556.40,3.508e-4,,3.508e-4
556.42,1.743e-4,,1.743e-4
556.43,1.218e-4,,1.218e-4
556.45,5.847e-5,,5.847e-5
556.47,2.742e-5,,2.742e-5
556.48,1.861e-5,,1.861e-5
556.50,8.430e-6,,8.430e-6
556.52,3.739e-6,,3.739e-6
556.53,2.478e-6,,2.478e-6
556.55,1.105e-6,,1.105e-6
556.56,7.693e-7,,7.693e-7
556.58,5.090e-7,,5.090e-7
556.60,6.839e-7,,6.839e-7
556.61,9.655e-7,,9.655e-7
556.63,2.185e-6,,2.185e-6
556.65,5.097e-6,,5.097e-6
556.66,7.748e-6,,7.748e-6
556.68,1.763e-5,,1.763e-5
556.70,3.921e-5,,3.921e-5
556.71,5.797e-5,,5.797e-5
556.73,1.246e-4,,1.246e-4
556.75,2.615e-4,,2.615e-4
556.76,3.756e-4,,3.756e-4
556.78,7.615e-4,,7.615e-4
556.80,1.509e-3,,1.509e-3
556.81,2.105e-3,,2.105e-3
556.83,4.028e-3,,4.028e-3
556.85,7.531e-3,,7.531e-3
556.86,1.021e-2,,1.021e-2
556.88,1.843e-2,,1.843e-2
556.90,3.252e-2,,3.252e-2
556.91,4.283e-2,,4.283e-2
556.93,7.298e-2,,7.298e-2
556.95,1.215e-1,,1.215e-1
556.96,1.554e-1,,1.554e-1
556.98,2.500e-1,,2.500e-1
557.00,3.928e-1,,3.928e-1
557.01,4.881e-1,,4.881e-1
557.03,7.408e-1,,7.408e-1
557.04,9.047e-1,,9.047e-1
557.06,1.326e+0,,1.326e+0
557.08,1.899e+0,,1.899e+0
557.09,2.253e+0,,2.253e+0
557.11,3.117e+0,,3.117e+0
557.13,4.213e+0,,4.213e+0
