Wavelength (nm),Sum(calc),Mg I (9.1e-1),Mg II (9.5e-2),Mg III (7.8e-8),Mg IV (2.8e-53),Mg V (2.4e-117)
205.54,5.724e-30,8.400e-7,,5.724e-30,1.979e-103,1.876e-181
205.56,5.724e-30,8.398e-7,,5.724e-30,1.978e-103,8.706e-182
205.58,4.827e-30,8.395e-7,,4.827e-30,1.976e-103,3.407e-182
205.59,4.158e-30,8.394e-7,,4.158e-30,1.976e-103,2.000e-182
205.61,2.716e-30,8.391e-7,,2.716e-30,1.974e-103,6.060e-183
205.63,1.496e-30,8.389e-7,,1.496e-30,1.973e-103,1.548e-183
205.64,1.041e-30,8.388e-7,,1.041e-30,1.973e-103,7.341e-184
205.66,4.441e-31,8.385e-7,,4.441e-31,1.971e-103,1.452e-184
205.68,1.598e-31,8.383e-7,,1.598e-31,1.970e-103,2.423e-185
205.69,8.989e-32,8.381e-7,,8.989e-32,1.970e-103,9.282e-186
205.71,2.504e-32,8.379e-7,,2.504e-32,1.968e-103,1.199e-186
205.73,5.882e-33,8.376e-7,,5.882e-33,1.967e-103,1.306e-187
205.74,2.674e-33,8.375e-7,,2.674e-33,1.966e-103,4.042e-188
205.76,4.866e-34,8.373e-7,,4.866e-34,1.965e-103,3.408e-189
205.78,7.465e-35,8.370e-7,,7.465e-35,1.964e-103,2.423e-190
205.79,2.743e-35,8.369e-7,,2.743e-35,1.963e-103,6.061e-191
205.81,3.259e-36,8.366e-7,,3.259e-36,1.962e-103,3.336e-192
205.83,3.266e-37,8.364e-7,,3.266e-37,1.961e-103,1.549e-193
205.84,9.697e-38,8.363e-7,,9.697e-38,1.960e-103,3.130e-194
205.86,7.525e-39,8.360e-7,,7.525e-39,1.959e-103,1.125e-195
205.88,4.924e-40,8.358e-7,,4.924e-40,1.958e-103,3.409e-197
205.89,1.182e-40,8.356e-7,,1.182e-40,1.957e-103,3.393e-197
205.91,5.989e-42,8.354e-7,,5.989e-42,1.956e-103,3.361e-197
205.93,2.560e-43,8.351e-7,,2.560e-43,1.955e-103,3.329e-197
205.94,4.964e-44,8.350e-7,,4.964e-44,1.954e-103,3.313e-197
205.96,1.643e-45,8.348e-7,,1.643e-45,1.953e-103,3.281e-197
206.06,3.515e-46,8.335e-7,,3.515e-46,1.947e-103,3.122e-197
206.07,2.114e-45,8.334e-7,,2.114e-45,1.946e-103,3.107e-197
206.09,6.737e-44,8.331e-7,,6.737e-44,1.945e-103,3.075e-197
206.11,1.814e-42,8.329e-7,,1.814e-42,1.944e-103,3.043e-197
206.12,8.832e-42,8.327e-7,,8.832e-42,1.943e-103,3.027e-197
206.14,1.845e-40,8.325e-7,,1.845e-40,1.942e-103,2.995e-197
206.16,3.257e-39,8.322e-7,,3.257e-39,1.941e-103,2.963e-197
206.17,1.284e-38,8.321e-7,,1.284e-38,1.940e-103,2.948e-197
206.19,1.759e-37,8.319e-7,,1.759e-37,1.939e-103,2.916e-197
206.21,2.036e-36,8.316e-7,,2.036e-36,1.938e-103,2.884e-197
206.22,6.500e-36,8.315e-7,,6.500e-36,1.937e-103,2.868e-197
206.24,5.838e-35,8.312e-7,,5.838e-35,1.936e-103,2.836e-197
206.26,4.429e-34,8.310e-7,,4.429e-34,1.934e-103,2.805e-197
206.27,1.145e-33,8.309e-7,,1.145e-33,1.934e-103,2.789e-197
206.29,6.743e-33,8.306e-7,,6.743e-33,1.933e-103,2.757e-197
206.31,3.354e-32,8.304e-7,,3.354e-32,1.931e-103,2.725e-197
206.32,7.021e-32,8.302e-7,,7.021e-32,1.931e-103,2.709e-197
206.34,2.711e-31,8.300e-7,,2.711e-31,1.930e-103,2.677e-197
206.36,8.840e-31,8.297e-7,,8.840e-31,1.928e-103,2.646e-197
206.37,1.498e-30,8.296e-7,,1.498e-30,1.928e-103,2.630e-197
206.39,3.793e-30,8.294e-7,,3.793e-30,1.926e-103,2.598e-197
206.41,8.109e-30,8.291e-7,,8.109e-30,1.925e-103,2.566e-197
206.42,1.113e-29,8.290e-7,,1.113e-29,1.925e-103,2.550e-197
206.44,1.847e-29,8.287e-7,,1.847e-29,1.923e-103,2.518e-197
206.46,2.589e-29,8.285e-7,,2.589e-29,1.922e-103,2.487e-197
206.47,2.877e-29,8.284e-7,,2.877e-29,1.922e-103,2.471e-197
206.49,3.131e-29,8.281e-7,,3.131e-29,1.920e-103,2.439e-197
206.51,2.877e-29,8.279e-7,,2.877e-29,1.919e-103,2.407e-197
206.52,2.589e-29,8.277e-7,,2.589e-29,1.918e-103,2.391e-197
206.54,1.847e-29,8.275e-7,,1.847e-29,1.917e-103,2.359e-197
206.56,1.113e-29,8.272e-7,,1.113e-29,1.916e-103,2.328e-197
206.57,8.109e-30,8.271e-7,,8.109e-30,1.915e-103,2.312e-197
206.59,3.793e-30,8.269e-7,,3.793e-30,1.914e-103,2.280e-197
206.61,1.498e-30,8.266e-7,,1.498e-30,1.913e-103,2.248e-197
206.62,8.840e-31,8.265e-7,,8.840e-31,1.912e-103,2.232e-197
206.64,2.711e-31,8.262e-7,,2.711e-31,1.911e-103,2.201e-197
206.66,7.021e-32,8.260e-7,,7.021e-32,1.910e-103,2.169e-197
206.67,3.354e-32,8.259e-7,,3.354e-32,1.909e-103,2.153e-197
206.69,6.743e-33,8.256e-7,,6.743e-33,1.908e-103,2.121e-197
206.71,1.145e-33,8.254e-7,,1.145e-33,1.907e-103,2.089e-197
206.72,4.429e-34,8.252e-7,,4.429e-34,1.906e-103,2.073e-197
206.74,5.838e-35,8.250e-7,,5.838e-35,1.905e-103,2.042e-197
206.75,1.990e-35,8.249e-7,,1.990e-35,1.904e-103,2.026e-197
206.77,2.036e-36,8.246e-7,,2.036e-36,1.903e-103,1.994e-197
206.79,1.759e-37,8.244e-7,,1.759e-37,1.902e-103,1.962e-197
206.80,4.855e-38,8.242e-7,,4.855e-38,1.901e-103,1.946e-197
206.82,3.257e-39,8.240e-7,,3.257e-39,1.900e-103,1.914e-197
206.84,1.845e-40,8.237e-7,,1.845e-40,1.899e-103,1.883e-197
206.85,4.123e-41,8.236e-7,,4.123e-41,1.898e-103,1.867e-197
206.87,1.814e-42,8.234e-7,,1.814e-42,1.897e-103,1.835e-197
206.89,6.737e-44,8.231e-7,,6.737e-44,1.896e-103,1.803e-197
206.90,1.219e-44,8.230e-7,,1.219e-44,1.895e-103,1.787e-197
207.97,8.646e-199,8.096e-7,,1.762e-45,1.829e-103,8.646e-199
207.98,5.245e-198,8.095e-7,,1.664e-45,1.829e-103,5.245e-198
208.00,1.704e-196,8.092e-7,,1.470e-45,1.828e-103,1.704e-196
208.01,9.130e-196,8.091e-7,,1.372e-45,1.827e-103,9.130e-196
208.03,2.314e-194,8.089e-7,,1.177e-45,1.826e-103,2.314e-194
208.05,4.967e-193,8.086e-7,,9.823e-46,1.824e-103,4.967e-193
208.06,2.163e-192,8.085e-7,,8.848e-46,1.824e-103,2.163e-192
208.08,3.622e-191,8.082e-7,,6.900e-46,1.823e-103,3.622e-191
208.10,5.137e-190,8.080e-7,,4.951e-46,1.821e-103,5.137e-190
208.11,1.818e-189,8.079e-7,,3.976e-46,1.821e-103,1.818e-189
208.13,2.012e-188,8.076e-7,,2.027e-46,1.820e-103,2.012e-188
208.15,7.831e-48,8.074e-7,,7.831e-48,1.818e-103,1.886e-187
208.16,4.735e-47,8.072e-7,,4.735e-47,1.818e-103,5.425e-187
208.18,1.530e-45,8.070e-7,,1.530e-45,1.816e-103,3.965e-186
208.20,4.187e-44,8.067e-7,,4.187e-44,1.815e-103,2.456e-185
208.21,2.059e-43,8.066e-7,,2.059e-43,1.815e-103,5.743e-185
208.23,4.398e-42,8.064e-7,,4.398e-42,1.813e-103,2.774e-184
208.25,7.960e-41,8.061e-7,,7.960e-41,1.812e-103,1.135e-183
208.26,3.183e-40,8.060e-7,,3.183e-40,1.812e-103,2.157e-183
208.28,4.495e-39,8.057e-7,,4.495e-39,1.810e-103,6.885e-183
208.30,5.379e-38,8.055e-7,,5.379e-38,1.809e-103,1.861e-182
208.31,1.749e-37,8.054e-7,,1.749e-37,1.808e-103,2.876e-182
208.33,1.633e-36,8.051e-7,,1.633e-36,1.807e-103,6.064e-182
208.35,1.292e-35,8.049e-7,,1.292e-35,1.806e-103,1.083e-181
208.36,3.416e-35,8.047e-7,,3.416e-35,1.805e-103,1.361e-181
208.38,2.109e-34,8.045e-7,,2.109e-34,1.804e-103,1.895e-181
208.40,1.104e-33,8.042e-7,,1.104e-33,1.803e-103,2.237e-181
208.41,2.372e-33,8.041e-7,,2.372e-33,1.802e-103,2.284e-181
208.43,9.684e-33,8.039e-7,,9.684e-33,1.801e-103,2.102e-181
208.45,3.350e-32,8.036e-7,,3.350e-32,1.800e-103,1.640e-181
208.46,5.857e-32,8.035e-7,,5.857e-32,1.799e-103,1.361e-181
208.48,1.581e-31,8.032e-7,,1.581e-31,1.798e-103,8.275e-182
208.50,3.616e-31,8.030e-7,,3.616e-31,1.797e-103,4.264e-182
208.51,5.139e-31,8.029e-7,,5.139e-31,1.796e-103,2.876e-182
208.53,9.172e-31,8.026e-7,,9.172e-31,1.795e-103,1.156e-182
208.55,1.387e-30,8.024e-7,,1.387e-30,1.794e-103,3.935e-183
208.56,1.603e-30,8.022e-7,,1.603e-30,1.793e-103,2.157e-183
208.58,1.892e-30,8.020e-7,,1.892e-30,1.792e-103,5.728e-184
208.60,1.892e-30,8.017e-7,,1.892e-30,1.791e-103,1.289e-184
208.61,1.778e-30,8.016e-7,,1.778e-30,1.790e-103,5.743e-185
208.63,1.387e-30,8.014e-7,,1.387e-30,1.789e-103,1.007e-185
208.64,1.151e-30,8.012e-7,,1.151e-30,1.788e-103,3.965e-186
208.66,7.009e-31,8.010e-7,,7.009e-31,1.787e-103,5.425e-187
208.68,3.616e-31,8.007e-7,,3.616e-31,1.786e-103,6.288e-188
208.69,2.441e-31,8.006e-7,,2.441e-31,1.785e-103,2.012e-188
208.71,9.823e-32,8.004e-7,,9.823e-32,1.784e-103,1.818e-189
208.73,3.350e-32,8.001e-7,,3.350e-32,1.783e-103,1.393e-190
208.74,1.839e-32,8.000e-7,,1.839e-32,1.782e-103,3.622e-191
208.76,4.893e-33,7.997e-7,,4.893e-33,1.781e-103,2.163e-192
208.78,1.104e-33,7.995e-7,,1.104e-33,1.780e-103,1.094e-193
208.79,4.925e-34,7.994e-7,,4.925e-34,1.779e-103,2.314e-194
208.81,8.666e-35,7.991e-7,,8.666e-35,1.778e-103,9.130e-196
208.83,1.292e-35,7.989e-7,,1.292e-35,1.777e-103,3.052e-197
208.84,4.690e-36,7.987e-7,,4.690e-36,1.776e-103,5.245e-198
208.86,5.462e-37,7.985e-7,,5.462e-37,1.775e-103,8.139e-198
208.88,6.234e-38,7.982e-7,,6.234e-38,1.773e-103,1.103e-197
208.89,4.710e-38,7.981e-7,,4.710e-38,1.773e-103,1.248e-197
208.91,3.696e-37,7.979e-7,,3.696e-37,1.772e-103,1.538e-197
208.93,3.686e-36,7.976e-7,,3.686e-36,1.770e-103,1.827e-197
208.94,1.096e-35,7.975e-7,,1.096e-35,1.770e-103,1.972e-197
208.96,8.572e-35,7.972e-7,,8.572e-35,1.769e-103,2.261e-197
208.98,5.686e-34,7.970e-7,,5.686e-34,1.767e-103,2.551e-197
208.99,1.377e-33,7.969e-7,,1.377e-33,1.767e-103,2.695e-197
209.01,7.134e-33,7.966e-7,,7.134e-33,1.765e-103,2.985e-197
209.03,3.136e-32,7.964e-7,,3.136e-32,1.764e-103,3.274e-197
209.04,6.182e-32,7.962e-7,,6.182e-32,1.764e-103,3.419e-197
209.06,2.123e-31,7.960e-7,,2.123e-31,1.762e-103,3.708e-197
209.08,6.187e-31,7.957e-7,,6.187e-31,1.761e-103,3.998e-197
209.09,9.929e-31,7.956e-7,,9.929e-31,1.761e-103,4.143e-197
209.11,2.260e-30,7.954e-7,,2.260e-30,1.759e-103,4.432e-197
209.13,4.365e-30,7.951e-7,,4.365e-30,1.758e-103,4.721e-197
209.14,5.702e-30,7.950e-7,,5.702e-30,1.757e-103,4.866e-197
209.16,8.604e-30,7.947e-7,,8.604e-30,1.756e-103,5.156e-197
209.18,1.101e-29,7.945e-7,,1.101e-29,1.755e-103,5.445e-197
209.19,1.171e-29,7.944e-7,,1.171e-29,1.754e-103,5.590e-197
209.21,1.171e-29,7.941e-7,,1.171e-29,1.753e-103,5.879e-197
209.23,9.936e-30,7.939e-7,,9.936e-30,1.752e-103,6.169e-197
209.24,8.604e-30,7.937e-7,,8.604e-30,1.751e-103,6.313e-197
209.26,5.702e-30,7.935e-7,,5.702e-30,1.750e-103,6.603e-197
209.27,4.365e-30,7.934e-7,,4.365e-30,1.749e-103,6.748e-197
209.29,2.260e-30,7.931e-7,,2.260e-30,1.748e-103,7.037e-197
209.31,9.929e-31,7.929e-7,,9.929e-31,1.747e-103,7.326e-197
209.32,6.187e-31,7.927e-7,,6.187e-31,1.746e-103,7.471e-197
209.34,2.123e-31,7.925e-7,,2.123e-31,1.745e-103,7.761e-197
209.36,6.182e-32,7.922e-7,,6.182e-32,1.744e-103,8.050e-197
209.37,3.136e-32,7.921e-7,,3.136e-32,1.743e-103,8.195e-197
209.39,7.134e-33,7.919e-7,,7.134e-33,1.742e-103,8.484e-197
209.41,1.377e-33,7.916e-7,,1.377e-33,1.741e-103,8.774e-197
209.42,5.686e-34,7.915e-7,,5.686e-34,1.740e-103,8.918e-197
209.44,8.572e-35,7.912e-7,,8.572e-35,1.739e-103,9.208e-197
209.46,1.096e-35,7.910e-7,,1.096e-35,1.738e-103,9.497e-197
209.47,3.689e-36,7.909e-7,,3.689e-36,1.737e-103,9.642e-197
209.49,4.048e-37,7.906e-7,,4.048e-37,1.736e-103,9.932e-197
209.51,4.219e-37,7.904e-7,,4.219e-37,1.735e-103,1.022e-196
209.52,1.211e-36,7.902e-7,,1.211e-36,1.734e-103,1.037e-196
209.54,1.009e-35,7.900e-7,,1.009e-35,1.733e-103,1.066e-196
209.56,7.184e-35,7.897e-7,,7.184e-35,1.732e-103,1.094e-196
209.57,1.803e-34,7.896e-7,,1.803e-34,1.731e-103,1.109e-196
209.59,1.004e-33,7.894e-7,,1.004e-33,1.730e-103,1.138e-196
209.61,4.752e-33,7.891e-7,,4.752e-33,1.729e-103,1.167e-196
209.62,9.721e-33,7.890e-7,,9.721e-33,1.728e-103,1.181e-196
209.64,3.598e-32,7.887e-7,,3.598e-32,1.727e-103,1.210e-196
209.66,1.131e-31,7.885e-7,,1.131e-31,1.725e-103,1.239e-196
209.67,1.885e-31,7.884e-7,,1.885e-31,1.725e-103,1.254e-196
209.69,4.636e-31,7.881e-7,,4.636e-31,1.724e-103,1.283e-196
209.71,9.679e-31,7.879e-7,,9.679e-31,1.722e-103,1.312e-196
209.72,1.315e-30,7.877e-7,,1.315e-30,1.722e-103,1.326e-196
209.74,2.149e-30,7.875e-7,,2.149e-30,1.721e-103,1.355e-196
209.76,2.980e-30,7.872e-7,,2.980e-30,1.719e-103,1.384e-196
209.77,3.301e-30,7.871e-7,,3.301e-30,1.719e-103,1.398e-196
209.79,3.583e-30,7.869e-7,,3.583e-30,1.717e-103,1.427e-196
209.81,3.301e-30,7.866e-7,,3.301e-30,1.716e-103,1.456e-196
209.82,2.980e-30,7.865e-7,,2.980e-30,1.716e-103,1.471e-196
209.84,2.149e-30,7.862e-7,,2.149e-30,1.714e-103,1.500e-196
209.86,1.315e-30,7.860e-7,,1.315e-30,1.713e-103,1.529e-196
