Wavelength (nm),Sum(calc),Mg I (2.8e-1),Mg II (7.2e-1),Mg III (6.2e-4),Mg IV (3.2e-34),Mg V (1.0e-77)
206.78,4.189e-22,1.087e-5,,4.189e-22,3.220e-71,1.620e-135
206.80,3.327e-23,1.087e-5,,3.327e-23,3.218e-71,1.619e-135
206.81,8.801e-24,1.087e-5,,8.801e-24,3.217e-71,1.618e-135
206.83,5.426e-25,1.086e-5,,5.426e-25,3.215e-71,1.618e-135
206.85,2.826e-26,1.086e-5,,2.826e-26,3.213e-71,1.617e-135
206.86,6.052e-27,1.086e-5,,6.052e-27,3.212e-71,1.616e-135
206.88,2.446e-28,1.085e-5,,2.446e-28,3.210e-71,1.615e-135
206.90,8.352e-30,1.085e-5,,8.352e-30,3.208e-71,1.614e-135
206.91,1.449e-30,1.085e-5,,1.449e-30,3.207e-71,1.614e-135
207.98,1.565e-135,1.067e-5,,2.456e-31,3.096e-71,1.565e-135
207.99,9.107e-135,1.067e-5,,2.344e-31,3.094e-71,9.107e-135
208.01,2.724e-133,1.067e-5,,2.119e-31,3.092e-71,2.724e-133
208.03,6.903e-132,1.067e-5,,1.894e-31,3.090e-71,6.903e-132
208.04,3.265e-131,1.066e-5,,1.782e-31,3.089e-71,3.265e-131
208.06,6.453e-130,1.066e-5,,1.557e-31,3.087e-71,6.453e-130
208.08,1.081e-128,1.066e-5,,1.332e-31,3.085e-71,1.081e-128
208.09,4.155e-128,1.066e-5,,1.219e-31,3.084e-71,4.155e-128
208.11,5.425e-127,1.065e-5,,9.945e-32,3.082e-71,5.425e-127
208.12,1.842e-126,1.065e-5,,8.821e-32,3.081e-71,1.842e-126
208.14,1.876e-125,1.065e-5,,6.573e-32,3.079e-71,1.876e-125
208.16,4.324e-32,1.064e-5,,4.324e-32,3.077e-71,1.619e-124
208.17,2.509e-31,1.064e-5,,2.509e-31,3.076e-71,4.468e-124
208.19,7.461e-30,1.064e-5,,7.461e-30,3.074e-71,3.006e-123
208.21,1.880e-28,1.064e-5,,1.880e-28,3.072e-71,1.713e-122
208.22,8.871e-28,1.063e-5,,8.871e-28,3.071e-71,3.845e-122
208.24,1.744e-26,1.063e-5,,1.744e-26,3.068e-71,1.709e-121
208.26,2.906e-25,1.063e-5,,2.906e-25,3.066e-71,6.437e-121
208.27,1.115e-24,1.063e-5,,1.115e-24,3.065e-71,1.174e-120
208.29,1.450e-23,1.062e-5,,1.450e-23,3.063e-71,3.448e-120
208.31,1.597e-22,1.062e-5,,1.597e-22,3.061e-71,8.581e-120
208.32,4.982e-22,1.062e-5,,4.982e-22,3.060e-71,1.272e-119
208.34,4.282e-21,1.061e-5,,4.282e-21,3.058e-71,2.469e-119
208.36,3.120e-20,1.061e-5,,3.120e-20,3.056e-71,4.060e-119
208.37,7.913e-20,1.061e-5,,7.913e-20,3.055e-71,4.892e-119
208.39,4.498e-19,1.061e-5,,4.498e-19,3.053e-71,6.273e-119
208.41,2.166e-18,1.060e-5,,2.166e-18,3.051e-71,6.815e-119
208.42,4.468e-18,1.060e-5,,4.468e-18,3.050e-71,6.675e-119
208.44,1.679e-17,1.060e-5,,1.679e-17,3.048e-71,5.655e-119
208.46,5.348e-17,1.059e-5,,5.348e-17,3.046e-71,4.060e-119
208.47,8.969e-17,1.059e-5,,8.969e-17,3.045e-71,3.232e-119
208.49,2.229e-16,1.059e-5,,2.229e-16,3.042e-71,1.809e-119
208.51,4.693e-16,1.059e-5,,4.693e-16,3.040e-71,8.581e-120
208.52,6.400e-16,1.058e-5,,6.400e-16,3.039e-71,5.554e-120
208.54,1.051e-15,1.058e-5,,1.051e-15,3.037e-71,2.054e-120
208.56,1.464e-15,1.058e-5,,1.464e-15,3.035e-71,6.437e-121
208.57,1.623e-15,1.058e-5,,1.623e-15,3.034e-71,3.386e-121
208.59,1.764e-15,1.057e-5,,1.764e-15,3.032e-71,8.276e-122
208.61,1.623e-15,1.057e-5,,1.623e-15,3.030e-71,1.713e-122
208.62,1.464e-15,1.057e-5,,1.464e-15,3.029e-71,7.327e-123
208.64,1.051e-15,1.056e-5,,1.051e-15,3.027e-71,1.183e-123
208.66,6.400e-16,1.056e-5,,6.400e-16,3.025e-71,1.619e-124
208.67,4.693e-16,1.056e-5,,4.693e-16,3.024e-71,5.626e-125
208.69,2.229e-16,1.056e-5,,2.229e-16,3.022e-71,6.002e-126
208.71,8.969e-17,1.055e-5,,8.969e-17,3.020e-71,5.425e-127
208.72,5.348e-17,1.055e-5,,5.348e-17,3.019e-71,1.533e-127
208.74,1.679e-17,1.055e-5,,1.679e-17,3.016e-71,1.081e-128
208.75,8.843e-18,1.055e-5,,8.843e-18,3.015e-71,2.696e-129
208.77,2.166e-18,1.054e-5,,2.166e-18,3.013e-71,1.482e-130
208.79,4.498e-19,1.054e-5,,4.498e-19,3.011e-71,6.903e-132
208.80,1.926e-19,1.054e-5,,1.926e-19,3.010e-71,1.400e-132
208.82,3.120e-20,1.054e-5,,3.120e-20,3.008e-71,5.085e-134
208.84,4.282e-21,1.053e-5,,4.282e-21,3.006e-71,1.565e-135
208.85,1.491e-21,1.053e-5,,1.491e-21,3.005e-71,1.594e-135
208.87,1.613e-22,1.053e-5,,1.613e-22,3.003e-71,1.654e-135
208.89,3.659e-23,1.052e-5,,3.659e-23,3.001e-71,1.713e-135
208.90,8.156e-23,1.052e-5,,8.156e-23,3.000e-71,1.743e-135
208.92,8.419e-22,1.052e-5,,8.419e-22,2.998e-71,1.802e-135
208.94,7.757e-21,1.052e-5,,7.757e-21,2.996e-71,1.861e-135
208.95,2.214e-20,1.051e-5,,2.214e-20,2.995e-71,1.891e-135
208.97,1.594e-19,1.051e-5,,1.594e-19,2.993e-71,1.950e-135
208.99,9.740e-19,1.051e-5,,9.740e-19,2.990e-71,2.009e-135
209.00,2.263e-18,1.051e-5,,2.263e-18,2.989e-71,2.039e-135
209.02,1.080e-17,1.050e-5,,1.080e-17,2.987e-71,2.098e-135
209.04,4.374e-17,1.050e-5,,4.374e-17,2.985e-71,2.157e-135
209.05,8.275e-17,1.050e-5,,8.275e-17,2.984e-71,2.187e-135
209.07,2.618e-16,1.049e-5,,2.618e-16,2.982e-71,2.246e-135
209.09,7.025e-16,1.049e-5,,7.025e-16,2.980e-71,2.306e-135
209.10,1.082e-15,1.049e-5,,1.082e-15,2.979e-71,2.335e-135
209.12,2.268e-15,1.049e-5,,2.268e-15,2.977e-71,2.394e-135
209.14,4.035e-15,1.048e-5,,4.035e-15,2.975e-71,2.454e-135
209.15,5.059e-15,1.048e-5,,5.059e-15,2.974e-71,2.483e-135
209.17,7.030e-15,1.048e-5,,7.030e-15,2.972e-71,2.543e-135
209.19,8.287e-15,1.047e-5,,8.287e-15,2.970e-71,2.602e-135
209.20,8.459e-15,1.047e-5,,8.459e-15,2.969e-71,2.632e-135
209.22,7.791e-15,1.047e-5,,7.791e-15,2.967e-71,2.691e-135
209.24,6.087e-15,1.047e-5,,6.087e-15,2.964e-71,2.750e-135
209.25,5.059e-15,1.046e-5,,5.059e-15,2.963e-71,2.780e-135
209.27,3.088e-15,1.046e-5,,3.088e-15,2.961e-71,2.839e-135
209.29,1.599e-15,1.046e-5,,1.599e-15,2.959e-71,2.898e-135
209.30,1.082e-15,1.046e-5,,1.082e-15,2.958e-71,2.928e-135
209.32,4.377e-16,1.045e-5,,4.377e-16,2.956e-71,2.987e-135
209.34,1.502e-16,1.045e-5,,1.502e-16,2.954e-71,3.046e-135
209.35,8.275e-17,1.045e-5,,8.275e-17,2.953e-71,3.076e-135
209.37,2.219e-17,1.044e-5,,2.219e-17,2.951e-71,3.135e-135
209.38,1.080e-17,1.044e-5,,1.080e-17,2.950e-71,3.165e-135
209.40,2.263e-18,1.044e-5,,2.263e-18,2.948e-71,3.224e-135
209.42,4.023e-19,1.044e-5,,4.023e-19,2.946e-71,3.283e-135
209.43,1.594e-19,1.043e-5,,1.594e-19,2.945e-71,3.313e-135
209.45,2.214e-20,1.043e-5,,2.214e-20,2.943e-71,3.372e-135
209.47,2.610e-21,1.043e-5,,2.610e-21,2.941e-71,3.432e-135
209.48,8.493e-22,1.043e-5,,8.493e-22,2.939e-71,3.461e-135
209.50,1.676e-22,1.042e-5,,1.676e-22,2.937e-71,3.520e-135
209.52,8.963e-22,1.042e-5,,8.963e-22,2.935e-71,3.580e-135
209.53,2.633e-21,1.042e-5,,2.633e-21,2.934e-71,3.609e-135
209.55,2.034e-20,1.041e-5,,2.034e-20,2.932e-71,3.669e-135
209.57,1.334e-19,1.041e-5,,1.334e-19,2.930e-71,3.728e-135
