Wavelength (nm),Sum(calc),Al I (3.9e-2),Al II (7.6e-1),Al III (5.6e-4),Si I (2.2e-2),Si II (1.8e-1),Si III (1.5e-4)
201.563,1.729e+5,,1.729e+5,,,1.776e+0,5.318e-21
201.568,4.595e+5,,4.595e+5,,,2.906e-1,5.371e-21
201.573,1.083e+6,,1.083e+6,,,4.254e-2,5.423e-21
201.578,2.266e+6,,2.266e+6,,,1.022e-2,5.476e-21
201.583,4.222e+6,,4.222e+6,,,4.026e-2,5.528e-21
201.588,7.025e+6,,7.025e+6,,,2.871e-1,5.581e-21
201.593,1.049e+7,,1.049e+7,,,1.837e+0,5.633e-21
201.598,1.417e+7,,1.417e+7,,,1.040e+1,5.686e-21
201.603,1.748e+7,,1.748e+7,,,5.205e+1,5.739e-21
201.608,1.993e+7,,1.993e+7,,,2.304e+2,5.791e-21
201.613,2.127e+7,,2.127e+7,,,9.019e+2,5.844e-21
201.618,2.152e+7,,2.151e+7,,,3.122e+3,5.896e-21
201.623,2.078e+7,,2.077e+7,,,9.557e+3,5.949e-21
201.628,1.916e+7,,1.914e+7,,,2.587e+4,6.001e-21
201.633,1.680e+7,,1.674e+7,,,6.193e+4,6.054e-21
201.638,1.390e+7,,1.377e+7,,,1.311e+5,6.107e-21
201.643,1.079e+7,,1.055e+7,,,2.454e+5,6.159e-21
201.648,7.846e+6,,7.440e+6,,,4.063e+5,6.212e-21
201.653,5.389e+6,,4.794e+6,,,5.948e+5,6.264e-21
201.658,3.572e+6,,2.802e+6,,,7.700e+5,6.317e-21
201.663,2.358e+6,,1.477e+6,,,8.815e+5,6.369e-21
201.668,1.591e+6,,6.986e+5,,,8.924e+5,6.422e-21
201.673,1.094e+6,,2.956e+5,,,7.989e+5,6.475e-21
201.678,7.440e+5,,1.115e+5,,,6.325e+5,6.527e-21
201.683,4.802e+5,,3.743e+4,,,4.428e+5,6.580e-21
201.688,2.853e+5,,1.117e+4,,,2.741e+5,6.632e-21
201.693,1.530e+5,,2.956e+3,,,1.501e+5,6.685e-21
201.698,7.336e+4,,6.937e+2,,,7.266e+4,6.737e-21
201.703,3.125e+4,,1.443e+2,,,3.111e+4,6.790e-21
201.708,1.181e+4,,2.657e+1,,,1.178e+4,6.843e-21
201.713,3.948e+3,,4.332e+0,,,3.944e+3,6.895e-21
201.718,1.168e+3,,6.252e-1,,,1.168e+3,6.948e-21
201.723,3.058e+2,,7.984e-2,,,3.057e+2,7.000e-21
201.728,7.079e+1,,9.021e-3,,,7.078e+1,7.053e-21
201.733,1.449e+1,,9.018e-4,,,1.449e+1,7.105e-21
201.738,2.624e+0,,7.975e-5,,,2.624e+0,7.158e-21
201.743,4.202e-1,,6.239e-6,,,4.202e-1,7.211e-21
201.748,5.949e-2,,4.317e-7,,,5.949e-2,7.263e-21
201.753,7.449e-3,,2.642e-8,,,7.449e-3,7.316e-21
201.758,8.248e-4,,1.430e-9,,,8.248e-4,7.368e-21
201.763,8.076e-5,,6.846e-11,,,8.076e-5,7.421e-21
201.768,6.993e-6,,2.899e-12,,,6.993e-6,7.474e-21
201.773,5.355e-7,,2.913e-12,,,5.355e-7,7.526e-21
201.778,3.626e-8,,2.927e-12,,,3.626e-8,7.579e-21
201.783,2.171e-9,,2.941e-12,,,2.171e-9,7.631e-21
201.788,1.150e-10,,2.955e-12,,,1.150e-10,7.684e-21
201.793,5.384e-12,,2.969e-12,,,5.384e-12,7.736e-21
201.798,2.230e-13,,2.983e-12,,,2.230e-13,7.789e-21
202.077,3.769e-12,,3.769e-12,,,2.245e-13,1.072e-20
202.082,8.732e-11,,8.732e-11,,,2.245e-13,1.078e-20
202.087,1.790e-9,,1.790e-9,,,2.245e-13,1.083e-20
202.092,3.247e-8,,3.247e-8,,,2.245e-13,1.088e-20
202.097,5.213e-7,,5.213e-7,,,2.246e-13,1.093e-20
202.102,7.405e-6,,7.405e-6,,,2.246e-13,1.099e-20
202.107,9.308e-5,,9.308e-5,,,2.246e-13,1.104e-20
202.112,1.035e-3,,1.035e-3,,,2.247e-13,1.109e-20
202.117,1.019e-2,,1.019e-2,,,2.247e-13,1.114e-20
202.122,8.875e-2,,8.875e-2,,,2.247e-13,1.120e-20
202.127,6.840e-1,,6.840e-1,,,2.247e-13,1.125e-20
202.132,4.665e+0,,4.665e+0,,,2.248e-13,1.130e-20
202.137,2.815e+1,,2.815e+1,,,2.248e-13,1.135e-20
202.142,1.504e+2,,1.504e+2,,,2.248e-13,1.141e-20
202.147,7.105e+2,,7.105e+2,,,2.248e-13,1.146e-20
202.152,2.971e+3,,2.971e+3,,,2.249e-13,1.151e-20
202.157,1.100e+4,,1.100e+4,,,2.249e-13,1.156e-20
