Wavelength (nm),Sum(calc),Cu I (8.1e-2),Cu II (8.6e-1),Sn I (2.1e-3),Sn II (3.8e-2),Pb I (8.7e-4),Pb II (1.9e-2)
202.588,5.225e+8,1.753e-10,5.225e+8,,,4.871e-13,
202.593,1.900e+8,1.770e-10,1.900e+8,,,4.878e-13,
202.598,6.117e+7,1.788e-10,6.117e+7,,,4.886e-13,
202.603,1.743e+7,1.805e-10,1.743e+7,,,4.893e-13,
202.608,4.398e+6,1.823e-10,4.398e+6,,,4.901e-13,
202.613,9.823e+5,1.840e-10,9.823e+5,,,4.908e-13,
202.618,1.942e+5,1.858e-10,1.942e+5,,,4.916e-13,
202.623,3.399e+4,1.876e-10,3.399e+4,,,4.923e-13,
202.628,5.270e+3,1.893e-10,5.270e+3,,,4.931e-13,
202.633,7.407e+2,1.911e-10,7.407e+2,,,4.938e-13,
202.638,2.078e+2,1.928e-10,2.078e+2,,,4.946e-13,
202.643,7.106e+2,1.946e-10,7.106e+2,,,4.953e-13,
202.648,3.625e+3,1.963e-10,3.625e+3,,,4.961e-13,
202.653,1.659e+4,1.981e-10,1.659e+4,,,4.968e-13,
202.658,6.721e+4,1.998e-10,6.721e+4,,,4.975e-13,
202.663,2.411e+5,2.016e-10,2.411e+5,,,4.983e-13,
202.668,7.661e+5,2.033e-10,7.661e+5,,,4.990e-13,
202.673,2.155e+6,2.051e-10,2.155e+6,,,4.998e-13,
202.678,5.368e+6,2.069e-10,5.368e+6,,,5.005e-13,
202.683,1.184e+7,2.086e-10,1.184e+7,,,5.013e-13,
202.688,2.312e+7,2.104e-10,2.312e+7,,,5.020e-13,
202.693,3.997e+7,2.121e-10,3.997e+7,,,5.028e-13,
202.698,6.119e+7,2.139e-10,6.119e+7,,,5.035e-13,
202.703,8.294e+7,2.156e-10,8.294e+7,,,5.043e-13,
202.708,9.955e+7,2.174e-10,9.955e+7,,,5.050e-13,
202.713,1.058e+8,2.191e-10,1.058e+8,,,5.058e-13,
202.718,9.955e+7,2.209e-10,9.955e+7,,,5.065e-13,
202.723,8.294e+7,2.227e-10,8.294e+7,,,5.073e-13,
202.728,6.119e+7,2.244e-10,6.119e+7,,,5.080e-13,
202.733,3.997e+7,2.262e-10,3.997e+7,,,5.088e-13,
202.738,2.312e+7,2.279e-10,2.312e+7,,,5.095e-13,
202.743,1.184e+7,2.297e-10,1.184e+7,,,5.102e-13,
202.748,5.368e+6,2.314e-10,5.368e+6,,,5.110e-13,
202.753,2.155e+6,2.332e-10,2.155e+6,,,5.117e-13,
202.758,7.661e+5,2.349e-10,7.661e+5,,,5.125e-13,
202.763,2.411e+5,2.367e-10,2.411e+5,,,5.132e-13,
202.768,6.721e+4,2.384e-10,6.721e+4,,,5.140e-13,
202.773,1.659e+4,2.402e-10,1.659e+4,,,5.147e-13,
202.778,3.624e+3,2.420e-10,3.624e+3,,,5.155e-13,
202.783,7.012e+2,2.437e-10,7.012e+2,,,5.162e-13,
202.788,1.201e+2,2.455e-10,1.201e+2,,,5.170e-13,
202.793,1.822e+1,2.472e-10,1.822e+1,,,5.177e-13,
202.798,2.447e+0,2.490e-10,2.447e+0,,,5.185e-13,
202.803,2.910e-1,2.507e-10,2.910e-1,,,5.192e-13,
202.808,3.064e-2,2.525e-10,3.064e-2,,,5.200e-13,
202.813,2.856e-3,2.542e-10,2.856e-3,,,5.207e-13,
202.818,2.358e-4,2.560e-10,2.358e-4,,,5.214e-13,
202.823,1.723e-5,2.577e-10,1.723e-5,,,5.222e-13,
202.828,1.115e-6,2.595e-10,1.115e-6,,,5.229e-13,
202.833,6.391e-8,2.613e-10,6.391e-8,,,5.237e-13,
202.838,3.243e-9,2.630e-10,3.243e-9,,,5.244e-13,
202.843,1.457e-10,2.648e-10,1.457e-10,,,5.252e-13,
202.859,2.530e-12,2.704e-10,2.530e-12,,,5.276e-13,
202.864,6.459e-11,2.721e-10,6.459e-11,,,5.283e-13,
202.869,1.460e-9,2.739e-10,1.460e-9,,,5.291e-13,
202.874,2.925e-8,2.756e-10,2.925e-8,,,5.298e-13,
202.879,5.188e-7,2.774e-10,5.188e-7,,,5.306e-13,
202.884,8.151e-6,2.792e-10,8.151e-6,,,5.313e-13,
202.889,1.134e-4,2.809e-10,1.134e-4,,,5.321e-13,
202.894,1.398e-3,2.827e-10,1.398e-3,,,5.328e-13,
202.899,1.526e-2,2.844e-10,1.526e-2,,,5.335e-13,
202.904,1.476e-1,2.862e-10,1.476e-1,,,5.343e-13,
202.909,1.264e+0,2.879e-10,1.264e+0,,,5.350e-13,
202.914,9.591e+0,2.897e-10,9.591e+0,,,5.358e-13,
202.919,6.445e+1,2.914e-10,6.445e+1,,,5.365e-13,
202.924,3.836e+2,2.932e-10,3.836e+2,,,5.373e-13,
202.929,2.022e+3,2.949e-10,2.022e+3,,,5.380e-13,
202.934,9.441e+3,2.967e-10,9.441e+3,,,5.388e-13,
202.939,3.905e+4,2.985e-10,3.905e+4,,,5.395e-13,
202.944,1.430e+5,3.002e-10,1.430e+5,,,5.403e-13,
202.949,4.641e+5,3.020e-10,4.641e+5,,,5.410e-13,
202.954,1.334e+6,3.037e-10,1.334e+6,,,5.418e-13,
202.959,3.395e+6,3.055e-10,3.395e+6,,,5.425e-13,
202.964,7.654e+6,3.072e-10,7.654e+6,,,5.433e-13,
202.969,1.528e+7,3.090e-10,1.528e+7,,,5.440e-13,
202.974,2.704e+7,3.107e-10,2.704e+7,,,5.447e-13,
