Wavelength (nm),Sum(calc),Fe I (3.1e-1),Fe II (6.9e-1),Fe III (1.6e-4),Fe IV (1.1e-14),Fe V (3.3e-34)
225.62,3.140e+8,1.577e+0,3.140e+8,1.791e-10,,1.506e-33
225.63,2.725e+8,4.959e+0,2.725e+8,5.068e-10,,1.533e-33
225.65,1.968e+8,4.413e+1,1.968e+8,3.652e-9,,1.428e-33
225.67,1.433e+8,3.411e+2,1.433e+8,2.285e-8,,1.155e-33
225.68,1.264e+8,8.993e+2,1.264e+8,5.422e-8,,9.853e-34
225.70,1.092e+8,5.625e+3,1.091e+8,2.746e-7,,6.446e-34
225.72,1.074e+8,3.056e+4,1.074e+8,1.208e-6,,3.661e-34
225.73,1.095e+8,6.755e+4,1.095e+8,2.402e-6,,2.617e-34
225.75,1.149e+8,2.970e+5,1.146e+8,8.550e-6,,1.202e-34
225.76,1.164e+8,5.906e+5,1.159e+8,1.530e-5,,7.727e-35
225.78,1.144e+8,2.101e+6,1.123e+8,4.407e-5,,2.871e-35
225.80,1.057e+8,6.494e+6,9.918e+7,1.102e-4,,9.261e-36
225.81,1.004e+8,1.083e+7,8.959e+7,1.654e-4,,4.988e-36
225.83,9.462e+7,2.708e+7,6.754e+7,3.348e-4,,1.301e-36
225.85,1.056e+8,5.881e+7,4.680e+7,5.886e-4,,2.948e-37
225.86,1.207e+8,8.221e+7,3.850e+7,7.403e-4,,1.330e-37
225.88,1.721e+8,1.445e+8,2.756e+7,1.053e-3,,2.437e-38
225.90,2.444e+8,2.206e+8,2.377e+7,1.301e-3,,3.877e-39
225.91,2.824e+8,2.586e+8,2.382e+7,1.372e-3,,1.466e-39
225.93,3.452e+8,3.195e+8,2.570e+7,1.372e-3,,1.886e-40
225.94,3.635e+8,3.368e+8,2.668e+7,1.301e-3,,6.415e-41
225.96,3.640e+8,3.368e+8,2.716e+7,1.053e-3,,6.675e-42
225.98,3.173e+8,2.925e+8,2.472e+7,7.405e-4,,6.030e-43
225.99,2.811e+8,2.586e+8,2.249e+7,5.892e-4,,1.719e-43
226.01,1.986e+8,1.817e+8,1.688e+7,3.373e-4,,1.256e-44
226.03,1.221e+8,1.109e+8,1.116e+7,1.751e-4,,7.964e-46
226.04,9.093e+7,8.221e+7,8.711e+6,1.282e-4,,1.902e-46
226.06,4.566e+7,4.062e+7,5.045e+6,9.947e-5,,9.759e-48
226.08,2.046e+7,1.743e+7,3.035e+6,1.637e-4,,4.346e-49
226.09,1.336e+7,1.083e+7,2.532e+6,2.388e-4,,8.698e-50
226.11,5.966e+6,3.760e+6,2.207e+6,5.017e-4,,3.133e-51
226.12,4.379e+6,2.101e+6,2.278e+6,6.986e-4,,5.640e-52
226.14,3.361e+6,5.906e+5,2.770e+6,1.225e-3,,5.642e-52
226.16,4.093e+6,1.441e+5,3.949e+6,1.868e-3,,5.645e-52
226.17,5.120e+6,6.755e+4,5.053e+6,2.188e-3,,5.646e-52
226.19,9.343e+6,1.334e+4,9.329e+6,2.702e-3,,5.648e-52
226.21,1.842e+7,2.289e+3,1.842e+7,2.900e-3,,5.650e-52
226.22,2.562e+7,8.993e+2,2.562e+7,2.851e-3,,5.651e-52
226.24,4.642e+7,1.249e+2,4.641e+7,2.483e-3,,5.654e-52
226.26,7.494e+7,1.506e+1,7.494e+7,1.897e-3,,5.656e-52
226.27,9.075e+7,4.959e+0,9.075e+7,1.591e-3,,5.657e-52
226.29,1.205e+8,4.840e-1,1.205e+8,1.083e-3,,5.659e-52
226.30,1.323e+8,1.434e-1,1.323e+8,9.213e-4,,5.660e-52
226.32,1.454e+8,1.133e-2,1.454e+8,8.476e-4,,5.663e-52
226.34,1.444e+8,7.770e-4,1.444e+8,1.135e-3,,5.665e-52
226.35,1.406e+8,1.930e-4,1.406e+8,1.408e-3,,5.666e-52
226.37,1.332e+8,1.072e-5,1.332e+8,2.151e-3,,5.668e-52
226.39,1.347e+8,5.166e-7,1.347e+8,3.002e-3,,5.670e-52
226.40,1.405e+8,1.076e-7,1.405e+8,3.390e-3,,5.672e-52
226.42,1.592e+8,4.199e-9,1.592e+8,3.930e-3,,5.674e-52
226.44,1.779e+8,1.423e-10,1.779e+8,4.006e-3,,5.676e-52
226.45,1.829e+8,1.458e-10,1.829e+8,3.852e-3,,5.677e-52
226.47,1.785e+8,1.529e-10,1.785e+8,3.234e-3,,5.679e-52
226.48,1.683e+8,1.564e-10,1.683e+8,2.823e-3,,5.680e-52
226.50,1.356e+8,1.634e-10,1.356e+8,1.952e-3,,5.683e-52
226.52,9.525e+7,1.705e-10,9.525e+7,1.185e-3,,5.685e-52
226.53,7.581e+7,1.740e-10,7.581e+7,8.795e-4,,5.686e-52
226.55,4.329e+7,1.810e-10,4.329e+7,4.390e-4,,5.688e-52
226.57,2.163e+7,1.881e-10,2.163e+7,1.921e-4,,5.691e-52
226.58,1.461e+7,1.916e-10,1.461e+7,1.210e-4,,5.692e-52
226.60,6.297e+6,1.986e-10,6.297e+6,4.339e-5,,5.694e-52
226.62,2.856e+6,2.057e-10,2.856e+6,1.362e-5,,5.696e-52
226.63,2.124e+6,2.092e-10,2.124e+6,7.253e-6,,5.697e-52
226.65,1.564e+6,2.162e-10,1.564e+6,1.859e-6,,5.700e-52
226.66,1.486e+6,2.198e-10,1.486e+6,8.948e-7,,5.701e-52
226.68,1.412e+6,2.268e-10,1.412e+6,1.871e-7,,5.703e-52
226.70,1.317e+6,2.338e-10,1.317e+6,3.411e-8,,5.705e-52
226.71,1.265e+6,2.374e-10,1.265e+6,1.383e-8,,5.706e-52
226.73,1.213e+6,2.444e-10,1.213e+6,2.052e-9,,5.709e-52
226.75,1.305e+6,2.515e-10,1.305e+6,2.652e-10,,5.711e-52
226.76,1.419e+6,2.550e-10,1.419e+6,9.049e-11,,5.712e-52
226.78,1.755e+6,2.620e-10,1.755e+6,9.498e-12,,5.714e-52
226.80,2.146e+6,2.691e-10,2.146e+6,8.675e-13,,5.716e-52
226.81,2.316e+6,2.726e-10,2.316e+6,2.488e-13,,5.718e-52
226.83,2.522e+6,2.796e-10,2.522e+6,1.864e-14,,5.720e-52
226.84,2.532e+6,2.831e-10,2.532e+6,5.625e-15,,5.721e-52
226.86,2.357e+6,2.902e-10,2.357e+6,1.428e-14,,5.723e-52
226.88,1.993e+6,2.972e-10,1.993e+6,1.979e-13,,5.725e-52
226.89,1.793e+6,3.007e-10,1.793e+6,7.062e-13,,5.727e-52
226.91,1.498e+6,3.078e-10,1.498e+6,8.100e-12,,5.729e-52
226.93,1.540e+6,3.148e-10,1.540e+6,8.082e-11,,5.731e-52
226.94,1.749e+6,3.184e-10,1.749e+6,2.423e-10,,5.732e-52
226.96,2.603e+6,3.254e-10,2.603e+6,1.961e-9,,5.734e-52
226.98,3.971e+6,3.324e-10,3.971e+6,1.381e-8,,5.737e-52
226.99,4.765e+6,3.360e-10,4.765e+6,3.478e-8,,5.738e-52
227.01,6.290e+6,3.430e-10,6.290e+6,1.987e-7,,5.740e-52
227.02,6.893e+6,3.465e-10,6.893e+6,4.507e-7,,5.741e-52
227.04,7.508e+6,3.536e-10,7.508e+6,2.089e-6,,5.743e-52
227.06,7.190e+6,3.606e-10,7.190e+6,8.421e-6,,5.746e-52
227.07,6.715e+6,3.641e-10,6.715e+6,1.605e-5,,5.747e-52
227.09,5.355e+6,3.712e-10,5.355e+6,5.248e-5,,5.749e-52
227.11,3.818e+6,3.782e-10,3.818e+6,1.493e-4,,5.751e-52
227.12,3.102e+6,2.040e-9,3.102e+6,2.390e-4,,5.752e-52
227.14,1.908e+6,5.347e-8,1.908e+6,5.518e-4,,5.755e-52
227.15,1.448e+6,2.599e-7,1.448e+6,7.956e-4,,5.756e-52
227.17,7.854e+5,5.530e-6,7.854e+5,1.490e-3,,5.758e-52
227.19,3.947e+5,1.024e-4,3.947e+5,2.427e-3,,5.760e-52
227.20,2.737e+5,4.183e-4,2.737e+5,2.940e-3,,5.761e-52
227.22,1.368e+5,6.288e-3,1.368e+5,3.885e-3,,5.764e-52
227.24,1.109e+5,8.227e-2,1.109e+5,4.466e-3,,5.766e-52
227.25,1.405e+5,2.824e-1,1.405e+5,4.545e-3,,5.767e-52
227.27,3.206e+5,3.000e+0,3.206e+5,4.239e-3,,5.769e-52
227.29,7.546e+5,2.773e+1,7.546e+5,3.439e-3,,5.771e-52
227.30,1.112e+6,8.001e+1,1.112e+6,2.940e-3,,5.773e-52
227.32,2.185e+6,6.003e+2,2.184e+6,1.935e-3,,5.775e-52
227.33,2.911e+6,1.561e+3,2.910e+6,1.490e-3,,5.776e-52
227.35,4.669e+6,9.508e+3,4.660e+6,7.956e-4,,5.778e-52
227.37,6.557e+6,5.040e+4,6.506e+6,3.696e-4,,5.780e-52
227.38,7.413e+6,1.101e+5,7.303e+6,2.390e-4,,5.782e-52
227.40,8.777e+6,4.740e+5,8.303e+6,9.008e-5,,5.784e-52
227.42,1.001e+7,1.775e+6,8.232e+6,2.953e-5,,5.786e-52
227.43,1.105e+7,3.260e+6,7.789e+6,1.605e-5,,5.787e-52
227.45,1.622e+7,9.912e+6,6.305e+6,4.268e-6,,5.789e-52
227.47,3.071e+7,2.622e+7,4.490e+6,9.873e-7,,5.792e-52
227.48,4.412e+7,4.049e+7,3.634e+6,4.507e-7,,5.793e-52
227.50,8.924e+7,8.696e+7,2.279e+6,8.459e-8,,5.795e-52
227.51,1.228e+8,1.210e+8,1.828e+6,3.478e-8,,5.796e-52
227.53,2.123e+8,2.109e+8,1.385e+6,5.296e-9,,5.798e-52
227.55,3.215e+8,3.200e+8,1.438e+6,7.015e-10,,5.801e-52
227.56,3.758e+8,3.742e+8,1.584e+6,2.423e-10,,5.802e-52
227.58,4.629e+8,4.610e+8,1.967e+6,2.604e-11,,5.804e-52
227.60,4.964e+8,4.941e+8,2.302e+6,2.434e-12,,5.806e-52
227.61,4.880e+8,4.856e+8,2.405e+6,7.062e-13,,5.807e-52
227.63,4.251e+8,4.226e+8,2.452e+6,5.356e-14,,5.810e-52
227.65,3.224e+8,3.200e+8,2.315e+6,3.533e-15,,5.812e-52
227.66,2.666e+8,2.644e+8,2.200e+6,8.612e-16,,5.813e-52
227.68,1.645e+8,1.625e+8,1.918e+6,4.609e-17,,5.815e-52
227.69,1.227e+8,1.210e+8,1.763e+6,1.012e-17,,5.816e-52
227.71,6.181e+7,6.038e+7,1.438e+6,4.394e-19,,5.819e-52
227.73,2.733e+7,2.622e+7,1.104e+6,1.660e-20,,5.821e-52
227.74,1.735e+7,1.640e+7,9.431e+5,3.061e-21,,5.822e-52
227.76,6.465e+6,5.784e+6,6.806e+5,2.040e-20,,5.824e-52
227.78,2.416e+6,1.775e+6,6.412e+5,3.773e-20,,5.827e-52
227.79,1.756e+6,9.333e+5,8.231e+5,4.640e-20,,5.828e-52
227.81,2.411e+6,2.325e+5,2.179e+6,6.373e-20,,5.830e-52
227.83,6.722e+6,5.040e+4,6.672e+6,8.106e-20,,5.832e-52
227.84,1.135e+7,2.227e+4,1.133e+7,8.973e-20,,5.833e-52
227.86,2.972e+7,3.920e+3,2.971e+7,1.071e-19,,5.836e-52
227.87,4.574e+7,1.561e+3,4.574e+7,1.157e-19,,5.837e-52
227.89,9.774e+7,2.230e+2,9.774e+7,1.331e-19,,5.839e-52
227.91,1.820e+8,2.773e+1,1.820e+8,1.504e-19,,5.841e-52
227.92,2.357e+8,9.279e+0,2.357e+8,1.591e-19,,5.842e-52
227.94,3.567e+8,9.366e-1,3.567e+8,1.764e-19,,5.844e-52
227.96,4.701e+8,8.227e-2,4.701e+8,1.937e-19,,5.847e-52
227.97,5.125e+8,2.314e-2,5.125e+8,2.024e-19,,5.848e-52
227.99,5.492e+8,1.672e-3,5.492e+8,2.197e-19,,5.850e-52
228.01,5.130e+8,4.629e-4,5.130e+8,2.371e-19,,5.852e-52
228.02,4.709e+8,1.433e-3,4.709e+8,2.457e-19,,5.853e-52
228.04,3.583e+8,1.939e-2,3.583e+8,2.631e-19,,5.856e-52
228.05,2.971e+8,6.832e-2,2.971e+8,2.717e-19,,5.857e-52
228.07,1.847e+8,7.646e-1,1.847e+8,2.891e-19,,5.859e-52
228.09,1.008e+8,7.454e+0,1.008e+8,3.064e-19,,5.861e-52
228.10,7.096e+7,2.210e+1,7.096e+7,3.151e-19,,5.862e-52
228.12,3.216e+7,1.752e+2,3.216e+7,3.324e-19,,5.865e-52
228.14,1.312e+7,1.209e+3,1.312e+7,3.497e-19,,5.867e-52
228.15,8.157e+6,3.017e+3,8.154e+6,3.584e-19,,5.868e-52
228.17,3.283e+6,1.694e+4,3.266e+6,3.757e-19,,5.870e-52
228.19,1.992e+6,8.281e+4,1.909e+6,3.931e-19,,5.873e-52
228.20,2.075e+6,1.739e+5,1.901e+6,4.017e-19,,5.874e-52
228.22,3.398e+6,6.912e+5,2.707e+6,4.191e-19,,5.876e-52
228.23,4.784e+6,1.309e+6,3.475e+6,4.277e-19,,5.877e-52
228.25,1.016e+7,4.230e+6,5.931e+6,4.451e-19,,5.879e-52
228.27,2.225e+7,1.191e+7,1.034e+7,4.624e-19,,5.882e-52
228.28,3.266e+7,1.897e+7,1.368e+7,4.711e-19,,5.883e-52
228.30,6.705e+7,4.342e+7,2.362e+7,4.884e-19,,5.885e-52
228.32,1.252e+8,8.658e+7,3.866e+7,5.057e-19,,5.887e-52
228.33,1.640e+8,1.161e+8,4.793e+7,5.144e-19,,5.888e-52
228.35,2.563e+8,1.882e+8,6.818e+7,5.318e-19,,5.891e-52
228.37,3.520e+8,2.657e+8,8.633e+7,5.491e-19,,5.893e-52
228.38,3.925e+8,2.998e+8,9.273e+7,5.578e-19,,5.894e-52
228.40,4.414e+8,3.442e+8,9.723e+7,5.751e-19,,5.896e-52
228.41,4.450e+8,3.502e+8,9.484e+7,5.838e-19,,5.897e-52
228.43,4.087e+8,3.268e+8,8.190e+7,6.011e-19,,5.900e-52
228.45,3.279e+8,2.657e+8,6.223e+7,6.184e-19,,5.902e-52
228.46,2.793e+8,2.275e+8,5.177e+7,6.271e-19,,5.903e-52
228.48,1.832e+8,1.504e+8,3.277e+7,6.444e-19,,5.905e-52
228.50,1.053e+8,8.666e+7,1.860e+7,6.618e-19,,5.907e-52
228.51,7.609e+7,6.256e+7,1.353e+7,6.704e-19,,5.909e-52
228.53,3.666e+7,2.991e+7,6.748e+6,6.878e-19,,5.911e-52
228.55,1.753e+7,1.435e+7,3.187e+6,7.051e-19,,5.913e-52
228.56,1.369e+7,1.153e+7,2.168e+6,7.138e-19,,5.914e-52
228.58,1.551e+7,1.448e+7,1.033e+6,7.311e-19,,5.916e-52
228.59,2.130e+7,2.054e+7,7.574e+5,7.398e-19,,5.918e-52
228.61,4.484e+7,4.427e+7,5.650e+5,7.571e-19,,5.920e-52
228.63,8.818e+7,8.748e+7,7.027e+5,7.744e-19,,5.922e-52
228.64,1.180e+8,1.171e+8,8.646e+5,7.831e-19,,5.923e-52
228.66,1.909e+8,1.896e+8,1.335e+6,8.004e-19,,5.925e-52
228.68,2.693e+8,2.674e+8,1.958e+6,8.178e-19,,5.928e-52
228.69,3.039e+8,3.016e+8,2.315e+6,8.264e-19,,5.929e-52
228.71,3.492e+8,3.461e+8,3.123e+6,8.438e-19,,5.931e-52
228.73,3.502e+8,3.461e+8,4.121e+6,8.611e-19,,5.933e-52
228.74,3.334e+8,3.287e+8,4.734e+6,8.698e-19,,5.934e-52
228.76,2.737e+8,2.674e+8,6.300e+6,8.871e-19,,5.937e-52
228.77,2.363e+8,2.290e+8,7.288e+6,8.958e-19,,5.938e-52
228.79,1.612e+8,1.516e+8,9.678e+6,9.131e-19,,5.940e-52
228.81,9.980e+7,8.740e+7,1.240e+7,9.304e-19,,5.942e-52
228.82,7.676e+7,6.303e+7,1.373e+7,5.065e-18,,5.943e-52
228.84,4.539e+7,2.957e+7,1.582e+7,1.355e-16,,5.946e-52
228.86,2.865e+7,1.209e+7,1.657e+7,3.159e-15,,5.948e-52
228.87,2.362e+7,7.339e+6,1.629e+7,1.449e-14,,5.949e-52
228.89,1.689e+7,2.440e+6,1.445e+7,2.752e-13,,5.951e-52
228.91,1.209e+7,7.072e+5,1.139e+7,4.558e-12,,5.953e-52
228.92,1.002e+7,3.615e+5,9.658e+6,1.762e-11,,5.955e-52
228.94,6.417e+6,8.522e+4,6.332e+6,2.376e-10,,5.957e-52
228.95,4.932e+6,3.929e+4,4.893e+6,8.290e-10,,5.958e-52
228.97,2.667e+6,7.535e+3,2.659e+6,9.104e-9,,5.960e-52
228.99,1.276e+6,1.259e+3,1.275e+6,8.719e-8,,5.962e-52
229.00,8.436e+5,4.888e+2,8.431e+5,2.563e-7,,5.964e-52
229.02,3.403e+5,6.644e+1,3.403e+5,1.999e-6,,5.966e-52
229.04,1.376e+5,7.871e+0,1.376e+5,1.359e-5,,5.968e-52
229.05,1.013e+5,2.573e+0,1.013e+5,3.367e-5,,5.969e-52
229.07,1.120e+5,2.479e-1,1.120e+5,1.865e-4,,5.971e-52
229.09,2.180e+5,2.082e-2,2.180e+5,9.006e-4,,5.974e-52
229.10,3.097e+5,5.728e-3,3.097e+5,1.880e-3,,5.975e-52
229.12,5.803e+5,3.913e-4,5.803e+5,7.393e-3,,5.977e-52
229.13,7.601e+5,9.712e-5,7.601e+5,1.393e-2,,5.978e-52
229.15,1.193e+6,5.397e-6,1.193e+6,4.460e-2,,5.980e-52
229.17,1.674e+6,2.613e-7,1.674e+6,1.246e-1,,5.983e-52
229.18,1.909e+6,5.461e-8,1.909e+6,1.977e-1,,5.984e-52
229.20,2.325e+6,2.151e-9,2.325e+6,4.496e-1,,5.986e-52
229.22,2.626e+6,7.384e-11,2.626e+6,8.917e-1,,5.988e-52
229.23,2.725e+6,6.528e-11,2.725e+6,1.193e+0,,5.989e-52
229.25,2.826e+6,4.816e-11,2.826e+6,1.926e+0,,5.992e-52
229.27,2.844e+6,3.103e-11,2.844e+6,2.713e+0,,5.994e-52
229.28,2.874e+6,1.736e-10,2.874e+6,3.058e+0,,5.995e-52
229.30,3.230e+6,4.904e-9,3.230e+6,3.507e+0,,5.997e-52
229.31,3.743e+6,2.486e-8,3.743e+6,3.567e+0,,5.998e-52
229.33,6.164e+6,5.729e-7,6.164e+6,3.331e+0,,6.001e-52
229.35,1.175e+7,1.153e-5,1.175e+7,2.715e+0,,6.003e-52
229.36,1.624e+7,4.912e-5,1.624e+7,2.330e+0,,6.004e-52
229.38,2.914e+7,8.061e-4,2.914e+7,1.561e+0,,6.006e-52
229.40,4.663e+7,1.155e-2,4.663e+7,9.664e-1,,6.008e-52
229.41,5.619e+7,4.155e-2,5.619e+7,7.846e-1,,6.010e-52
229.43,7.382e+7,4.858e-1,7.382e+7,7.518e-1,,6.012e-52
229.45,8.481e+7,4.964e+0,8.481e+7,1.374e+0,,6.014e-52
229.46,8.648e+7,1.508e+1,8.648e+7,2.057e+0,,6.015e-52
229.48,8.167e+7,1.260e+2,8.167e+7,4.522e+0,,6.017e-52
229.49,7.584e+7,3.461e+2,7.584e+7,6.449e+0,,6.019e-52
229.51,6.064e+7,2.365e+3,6.063e+7,1.190e+1,,6.021e-52
229.53,4.569e+7,1.416e+4,4.567e+7,1.919e+1,,6.023e-52
229.54,3.978e+7,3.296e+4,3.975e+7,2.316e+1,,6.024e-52
229.56,3.228e+7,1.620e+5,3.211e+7,3.044e+1,,6.026e-52
229.58,2.988e+7,6.994e+5,2.918e+7,3.489e+1,,6.029e-52
229.59,3.004e+7,1.385e+6,2.865e+7,3.549e+1,,6.030e-52
229.61,3.258e+7,4.936e+6,2.765e+7,3.315e+1,,6.032e-52
229.62,3.554e+7,8.889e+6,2.665e+7,3.044e+1,,6.033e-52
229.64,4.954e+7,2.627e+7,2.328e+7,2.316e+1,,6.035e-52
229.66,8.741e+7,6.867e+7,1.874e+7,1.537e+1,,6.038e-52
229.67,1.227e+8,1.061e+8,1.656e+7,1.190e+1,,6.039e-52
229.69,2.452e+8,2.315e+8,1.364e+7,6.435e+0,,6.041e-52
229.71,4.629e+8,4.488e+8,1.417e+7,3.036e+0,,6.043e-52
229.72,6.139e+8,5.977e+8,1.617e+7,1.981e+0,,6.044e-52
229.74,9.946e+8,9.707e+8,2.390e+7,7.615e-1,,6.047e-52
229.76,1.437e+9,1.401e+9,3.585e+7,2.553e-1,,6.049e-52
229.77,1.652e+9,1.609e+9,4.264e+7,1.405e-1,,6.050e-52
229.79,1.997e+9,1.942e+9,5.538e+7,3.837e-2,,6.052e-52
229.80,2.098e+9,2.038e+9,6.020e+7,1.905e-2,,6.053e-52
229.82,2.113e+9,2.049e+9,6.445e+7,4.240e-3,,6.056e-52
229.84,1.879e+9,1.819e+9,6.037e+7,8.232e-4,,6.058e-52
229.85,1.690e+9,1.635e+9,5.559e+7,3.446e-4,,6.059e-52
229.87,1.243e+9,1.201e+9,4.272e+7,5.451e-5,,6.061e-52
229.89,8.043e+8,7.753e+8,2.900e+7,7.521e-6,,6.064e-52
229.90,6.164e+8,5.934e+8,2.295e+7,2.654e-6,,6.065e-52
229.92,3.287e+8,3.151e+8,1.361e+7,2.984e-7,,6.067e-52
229.94,1.547e+8,1.467e+8,8.075e+6,2.926e-8,,6.069e-52
229.95,1.017e+8,9.519e+7,6.471e+6,8.706e-9,,6.070e-52
229.97,4.106e+7,3.629e+7,4.779e+6,6.956e-10,,6.073e-52
229.98,2.570e+7,2.131e+7,4.391e+6,1.868e-10,,6.074e-52
230.00,1.063e+7,6.642e+6,3.988e+6,1.216e-11,,6.076e-52
230.02,5.498e+6,1.809e+6,3.689e+6,6.904e-13,,6.078e-52
230.03,4.411e+6,8.978e+5,3.514e+6,1.563e-13,,6.079e-52
230.05,3.306e+6,1.997e+5,3.106e+6,7.231e-15,,6.081e-52
230.07,2.728e+6,3.880e+4,2.689e+6,2.918e-16,,6.084e-52
230.08,2.526e+6,1.625e+4,2.509e+6,5.570e-17,,6.085e-52
230.10,2.265e+6,2.576e+3,2.262e+6,5.498e-17,,6.087e-52
230.12,2.186e+6,3.563e+2,2.186e+6,5.426e-17,,6.089e-52
230.13,2.198e+6,1.259e+2,2.198e+6,5.390e-17,,6.090e-52
230.15,2.254e+6,1.421e+1,2.254e+6,5.319e-17,,6.093e-52
230.16,2.265e+6,4.534e+0,2.265e+6,5.283e-17,,6.094e-52
230.18,2.181e+6,4.170e-1,2.181e+6,5.211e-17,,6.096e-52
230.20,1.931e+6,3.347e-2,1.931e+6,5.139e-17,,6.098e-52
230.21,1.758e+6,9.011e-3,1.758e+6,5.104e-17,,6.099e-52
230.23,1.397e+6,5.896e-4,1.397e+6,5.032e-17,,6.102e-52
230.25,1.171e+6,3.366e-5,1.171e+6,4.960e-17,,6.104e-52
230.26,1.175e+6,7.643e-6,1.175e+6,4.924e-17,,6.105e-52
230.28,1.572e+6,3.557e-7,1.572e+6,4.852e-17,,6.107e-52
230.30,2.762e+6,1.444e-8,2.762e+6,4.781e-17,,6.110e-52
230.31,3.798e+6,2.765e-9,3.798e+6,4.745e-17,,6.111e-52
230.33,7.208e+6,2.654e-9,7.208e+6,4.673e-17,,6.113e-52
230.34,9.839e+6,2.599e-9,9.839e+6,4.637e-17,,6.114e-52
230.36,1.777e+7,2.488e-9,1.777e+7,4.566e-17,,6.116e-52
230.38,3.030e+7,2.377e-9,3.030e+7,4.494e-17,,6.119e-52
230.39,3.849e+7,2.321e-9,3.849e+7,4.458e-17,,6.120e-52
230.41,5.806e+7,2.210e-9,5.806e+7,4.386e-17,,6.122e-52
230.43,7.900e+7,2.099e-9,7.900e+7,4.315e-17,,6.124e-52
230.44,8.830e+7,2.044e-9,8.830e+7,4.279e-17,,6.125e-52
230.46,1.009e+8,1.933e-9,1.009e+8,4.207e-17,,6.128e-52
230.48,1.018e+8,1.821e-9,1.018e+8,4.135e-17,,6.130e-52
230.49,9.767e+7,1.766e-9,9.767e+7,4.099e-17,,6.131e-52
230.51,8.208e+7,1.655e-9,8.208e+7,4.028e-17,,6.133e-52
230.52,7.212e+7,1.599e-9,7.212e+7,3.992e-17,,6.134e-52
230.54,5.196e+7,1.488e-9,5.196e+7,3.920e-17,,6.137e-52
230.56,3.582e+7,1.377e-9,3.582e+7,3.848e-17,,6.139e-52
230.57,3.019e+7,1.322e-9,3.019e+7,3.812e-17,,6.140e-52
230.59,2.414e+7,1.211e-9,2.414e+7,3.741e-17,,6.142e-52
230.61,2.417e+7,1.100e-9,2.417e+7,3.669e-17,,6.144e-52
230.62,2.602e+7,1.044e-9,2.602e+7,3.633e-17,,6.146e-52
230.64,3.256e+7,9.333e-10,3.256e+7,3.561e-17,,6.148e-52
230.66,4.183e+7,8.222e-10,4.183e+7,3.490e-17,,6.150e-52
230.67,4.702e+7,7.667e-10,4.702e+7,3.454e-17,,6.151e-52
230.69,5.711e+7,6.557e-10,5.711e+7,3.382e-17,,6.153e-52
230.70,6.135e+7,6.002e-10,6.135e+7,3.346e-17,,6.155e-52
230.72,6.660e+7,4.892e-10,6.660e+7,3.275e-17,,6.157e-52
230.74,6.635e+7,3.781e-10,6.635e+7,3.203e-17,,6.159e-52
230.75,6.426e+7,3.226e-10,6.426e+7,3.167e-17,,6.160e-52
230.77,5.764e+7,2.116e-10,5.764e+7,3.095e-17,,6.162e-52
230.79,5.073e+7,1.006e-10,5.073e+7,3.024e-17,,6.165e-52
230.80,4.822e+7,4.506e-11,4.822e+7,2.988e-17,,6.166e-52
230.82,4.613e+7,1.303e-9,4.613e+7,2.916e-17,,6.168e-52
230.84,4.748e+7,3.292e-8,4.748e+7,2.844e-17,,6.170e-52
230.85,4.874e+7,1.573e-7,4.874e+7,2.808e-17,,6.171e-52
230.87,5.049e+7,3.249e-6,5.049e+7,2.737e-17,,6.174e-52
230.88,5.031e+7,1.404e-5,5.031e+7,2.701e-17,,6.175e-52
230.90,4.701e+7,2.369e-4,4.701e+7,2.629e-17,,6.177e-52
230.92,4.024e+7,3.495e-3,4.024e+7,2.557e-17,,6.179e-52
230.93,3.610e+7,1.276e-2,3.610e+7,2.521e-17,,6.180e-52
230.95,2.782e+7,1.539e-1,2.782e+7,2.450e-17,,6.183e-52
230.97,2.135e+7,1.621e+0,2.135e+7,2.378e-17,,6.185e-52
230.98,1.934e+7,5.004e+0,1.934e+7,2.342e-17,,6.186e-52
231.00,1.855e+7,4.309e+1,1.855e+7,2.270e-17,,6.188e-52
231.02,2.298e+7,3.244e+2,2.298e+7,2.199e-17,,6.190e-52
231.03,2.740e+7,8.461e+2,2.740e+7,2.163e-17,,6.192e-52
231.05,4.060e+7,5.205e+3,4.059e+7,2.091e-17,,6.194e-52
231.06,4.899e+7,1.227e+4,4.898e+7,2.055e-17,,6.195e-52
231.08,6.728e+7,6.170e+4,6.721e+7,1.984e-17,,6.197e-52
231.10,8.338e+7,2.711e+5,8.311e+7,1.912e-17,,6.199e-52
231.11,8.901e+7,5.403e+5,8.847e+7,1.876e-17,,6.201e-52
231.13,9.367e+7,1.940e+6,9.173e+7,1.804e-17,,6.203e-52
231.15,9.093e+7,6.090e+6,8.484e+7,1.733e-17,,6.205e-52
231.16,8.878e+7,1.026e+7,7.852e+7,1.697e-17,,6.206e-52
231.18,8.977e+7,2.631e+7,6.346e+7,1.625e-17,,6.208e-52
231.20,1.087e+8,5.900e+7,4.966e+7,1.553e-17,,6.211e-52
231.21,1.284e+8,8.399e+7,4.445e+7,1.517e-17,,6.212e-52
231.23,1.922e+8,1.539e+8,3.829e+7,1.446e-17,,6.214e-52
231.24,2.353e+8,1.981e+8,3.724e+7,1.410e-17,,6.215e-52
231.26,3.348e+8,2.966e+8,3.825e+7,1.338e-17,,6.217e-52
231.28,4.298e+8,3.882e+8,4.167e+7,1.266e-17,,6.220e-52
231.29,4.658e+8,4.222e+8,4.361e+7,1.230e-17,,6.221e-52
