Wavelength (nm),Sum(calc),Cr I (8.8e-1),Cr II (1.2e-1),Cr IV (1.2e-23),Cr V (9.8e-51)
236.31,5.562e+6,5.562e+6,7.639e-8,,
236.32,9.161e+6,9.161e+6,7.637e-8,,
236.34,2.257e+7,2.257e+7,7.633e-8,,
236.36,4.890e+7,4.890e+7,7.629e-8,,
236.37,6.860e+7,6.860e+7,7.627e-8,,
236.39,1.227e+8,1.227e+8,7.623e-8,,
236.41,1.933e+8,1.933e+8,7.619e-8,,
236.42,2.316e+8,2.316e+8,7.617e-8,,
236.44,3.037e+8,3.037e+8,7.613e-8,,
236.46,3.553e+8,3.553e+8,7.609e-8,,
236.48,3.769e+8,3.769e+8,7.605e-8,,
236.49,3.773e+8,3.773e+8,7.603e-8,,
236.51,3.661e+8,3.661e+8,7.599e-8,,
236.53,3.539e+8,3.539e+8,7.595e-8,,
236.54,3.517e+8,3.517e+8,7.593e-8,,
236.56,3.574e+8,3.574e+8,7.588e-8,,
236.58,3.715e+8,3.715e+8,7.584e-8,,
236.59,3.786e+8,3.786e+8,7.582e-8,,
236.61,3.877e+8,3.877e+8,7.578e-8,,
236.63,3.864e+8,3.864e+8,7.574e-8,,
236.65,3.726e+8,3.726e+8,7.570e-8,,
236.66,3.604e+8,3.604e+8,7.568e-8,,
236.68,3.245e+8,3.245e+8,7.564e-8,,
236.70,2.730e+8,2.730e+8,7.560e-8,,
236.71,2.427e+8,2.427e+8,7.558e-8,,
236.73,1.784e+8,1.784e+8,7.554e-8,,
236.75,1.178e+8,1.178e+8,7.550e-8,,
236.76,9.166e+7,9.166e+7,7.548e-8,,
236.78,5.075e+7,5.075e+7,7.544e-8,,
236.80,2.484e+7,2.484e+7,7.540e-8,,
236.82,1.073e+7,1.073e+7,7.536e-8,,
236.83,6.725e+6,6.725e+6,7.534e-8,,
236.85,2.401e+6,2.401e+6,7.529e-8,,
236.87,7.544e+5,7.544e+5,7.525e-8,,
236.88,4.030e+5,4.030e+5,7.523e-8,,
236.90,1.045e+5,1.045e+5,7.519e-8,,
236.92,2.383e+4,2.383e+4,7.515e-8,,
236.93,1.084e+4,1.084e+4,7.513e-8,,
236.95,2.039e+3,2.039e+3,7.509e-8,,
236.97,3.372e+2,3.372e+2,7.505e-8,,
236.99,4.905e+1,4.905e+1,7.501e-8,,
237.00,1.782e+1,1.782e+1,7.499e-8,,
237.02,2.138e+0,2.138e+0,7.495e-8,,
237.04,2.255e-1,2.255e-1,7.491e-8,,
237.05,6.979e-2,6.979e-2,7.489e-8,,
237.07,6.074e-3,6.074e-3,7.485e-8,,
237.09,5.194e-4,5.194e-4,7.481e-8,,
237.10,3.295e-4,3.295e-4,7.479e-8,,
237.12,2.668e-3,2.668e-3,7.475e-8,,
237.14,3.007e-2,3.007e-2,7.471e-8,,
237.16,2.992e-1,2.992e-1,7.466e-8,,
237.17,8.997e-1,8.997e-1,7.464e-8,,
237.19,7.391e+0,7.391e+0,7.460e-8,,
237.21,5.345e+1,5.345e+1,7.456e-8,,
237.22,1.370e+2,1.370e+2,7.454e-8,,
237.24,8.181e+2,8.181e+2,7.450e-8,,
237.26,4.300e+3,4.300e+3,7.446e-8,,
237.27,9.397e+3,9.397e+3,7.444e-8,,
237.29,4.078e+4,4.078e+4,7.440e-8,,
237.31,1.558e+5,1.558e+5,7.436e-8,,
237.33,5.237e+5,5.237e+5,7.432e-8,,
237.34,9.154e+5,9.154e+5,7.430e-8,,
237.36,2.542e+6,2.542e+6,7.426e-8,,
237.38,6.210e+6,6.210e+6,7.422e-8,,
237.39,9.254e+6,9.254e+6,7.420e-8,,
237.41,1.867e+7,1.867e+7,7.416e-8,,
237.43,3.317e+7,3.317e+7,7.412e-8,,
237.44,4.213e+7,4.213e+7,7.410e-8,,
237.46,6.179e+7,6.179e+7,7.405e-8,,
237.48,7.976e+7,7.976e+7,7.401e-8,,
237.50,9.062e+7,9.062e+7,7.397e-8,,
237.51,9.208e+7,9.208e+7,7.395e-8,,
237.53,8.638e+7,8.638e+7,7.391e-8,,
237.55,7.133e+7,7.133e+7,7.387e-8,,
237.56,6.179e+7,6.179e+7,7.385e-8,,
237.58,4.213e+7,4.213e+7,7.381e-8,,
237.60,2.529e+7,2.529e+7,7.377e-8,,
237.61,1.867e+7,1.867e+7,7.375e-8,,
237.63,9.254e+6,9.254e+6,7.371e-8,,
237.65,4.037e+6,4.037e+6,7.367e-8,,
237.67,1.550e+6,1.550e+6,7.363e-8,,
237.68,9.154e+5,9.154e+5,7.361e-8,,
237.70,2.902e+5,2.902e+5,7.357e-8,,
237.72,8.098e+4,8.098e+4,7.353e-8,,
237.73,4.078e+4,4.078e+4,7.351e-8,,
237.75,9.397e+3,9.397e+3,7.347e-8,,
237.77,1.906e+3,1.906e+3,7.342e-8,,
237.78,8.181e+2,8.181e+2,7.340e-8,,
237.80,1.370e+2,1.370e+2,7.336e-8,,
237.82,2.020e+1,2.020e+1,7.332e-8,,
237.84,2.620e+0,2.620e+0,7.328e-8,,
237.85,8.997e-1,8.997e-1,7.326e-8,,
237.87,9.638e-2,9.638e-2,7.322e-8,,
237.89,9.125e-3,9.125e-3,7.318e-8,,
237.90,2.807e-3,2.807e-3,7.316e-8,,
237.92,2.308e-3,2.308e-3,7.312e-8,,
237.94,2.652e-2,2.652e-2,7.308e-8,,
237.95,8.979e-2,8.979e-2,7.306e-8,,
237.97,9.367e-1,9.367e-1,7.302e-8,,
237.99,8.610e+0,8.610e+0,7.298e-8,,
238.01,6.971e+1,6.971e+1,7.294e-8,,
238.02,1.892e+2,1.892e+2,7.292e-8,,
238.04,1.266e+3,1.266e+3,7.288e-8,,
238.06,7.469e+3,7.469e+3,7.283e-8,,
238.07,1.730e+4,1.730e+4,7.281e-8,,
238.09,8.435e+4,8.435e+4,7.277e-8,,
238.11,3.624e+5,3.624e+5,7.273e-8,,
238.12,7.163e+5,7.163e+5,7.271e-8,,
238.14,2.544e+6,2.544e+6,7.267e-8,,
238.16,7.962e+6,7.962e+6,7.263e-8,,
238.18,2.195e+7,2.195e+7,7.259e-8,,
238.19,3.475e+7,3.475e+7,7.257e-8,,
238.21,7.921e+7,7.921e+7,7.253e-8,,
238.23,1.591e+8,1.591e+8,7.249e-8,,
238.24,2.149e+8,2.149e+8,7.247e-8,,
238.26,3.569e+8,3.569e+8,7.243e-8,,
238.28,5.220e+8,5.220e+8,7.239e-8,,
238.29,6.020e+8,6.020e+8,7.237e-8,,
238.31,7.281e+8,7.281e+8,7.233e-8,,
238.33,7.758e+8,7.758e+8,7.229e-8,,
238.35,7.282e+8,7.282e+8,7.225e-8,,
238.36,6.729e+8,6.729e+8,7.222e-8,,
238.38,5.229e+8,5.229e+8,7.218e-8,,
238.40,3.596e+8,3.596e+8,7.214e-8,,
238.41,2.860e+8,2.860e+8,7.212e-8,,
238.43,1.710e+8,1.710e+8,7.208e-8,,
238.45,1.064e+8,1.064e+8,7.204e-8,,
238.46,9.236e+7,9.236e+7,7.202e-8,,
238.48,9.546e+7,9.546e+7,7.198e-8,,
238.50,1.299e+8,1.299e+8,7.194e-8,,
238.52,1.808e+8,1.808e+8,7.190e-8,,
238.53,2.068e+8,2.068e+8,7.188e-8,,
238.55,2.488e+8,2.488e+8,7.184e-8,,
238.57,2.647e+8,2.647e+8,7.180e-8,,
238.58,2.605e+8,2.605e+8,7.178e-8,,
238.60,2.295e+8,2.295e+8,7.174e-8,,
238.62,1.782e+8,1.782e+8,7.170e-8,,
238.63,1.498e+8,1.498e+8,7.168e-8,,
238.65,9.619e+7,9.619e+7,7.164e-8,,
238.67,5.445e+7,5.445e+7,7.159e-8,,
238.69,2.720e+7,2.720e+7,7.155e-8,,
238.70,1.839e+7,1.839e+7,7.153e-8,,
238.72,7.941e+6,7.941e+6,7.149e-8,,
238.74,4.065e+6,4.065e+6,7.145e-8,,
238.75,3.875e+6,3.875e+6,7.143e-8,,
238.77,6.778e+6,6.778e+6,7.139e-8,,
238.79,1.537e+7,1.537e+7,7.135e-8,,
238.80,2.267e+7,2.267e+7,7.133e-8,,
238.82,4.526e+7,4.526e+7,7.129e-8,,
238.84,7.981e+7,7.981e+7,7.125e-8,,
238.86,1.241e+8,1.241e+8,7.121e-8,,
238.87,1.476e+8,1.476e+8,7.119e-8,,
238.89,1.900e+8,1.900e+8,7.115e-8,,
238.91,2.155e+8,2.155e+8,7.111e-8,,
238.92,2.189e+8,2.189e+8,7.109e-8,,
238.94,2.055e+8,2.055e+8,7.105e-8,,
238.96,1.701e+8,1.701e+8,7.100e-8,,
238.97,1.476e+8,1.476e+8,7.098e-8,,
238.99,1.011e+8,1.011e+8,7.094e-8,,
239.01,6.104e+7,6.104e+7,7.090e-8,,
239.03,3.249e+7,3.249e+7,7.086e-8,,
239.04,2.261e+7,2.261e+7,7.084e-8,,
239.06,9.959e+6,9.959e+6,7.080e-8,,
