Wavelength (nm),Sum(calc),Cr I (2.2e-1),Cr II (7.8e-1),Cr IV (9.5e-14),Cr V (1.7e-31)
238.23,2.402e+8,2.402e+8,3.109e-6,,
238.24,3.246e+8,3.246e+8,3.108e-6,,
238.26,5.390e+8,5.390e+8,3.106e-6,,
238.28,7.884e+8,7.884e+8,3.104e-6,,
238.29,9.092e+8,9.092e+8,3.104e-6,,
238.31,1.100e+9,1.100e+9,3.102e-6,,
238.33,1.172e+9,1.172e+9,3.100e-6,,
238.35,1.100e+9,1.100e+9,3.098e-6,,
238.36,1.016e+9,1.016e+9,3.098e-6,,
238.38,7.897e+8,7.897e+8,3.096e-6,,
238.40,5.431e+8,5.431e+8,3.094e-6,,
238.41,4.319e+8,4.319e+8,3.093e-6,,
238.43,2.582e+8,2.582e+8,3.092e-6,,
238.45,1.605e+8,1.605e+8,3.090e-6,,
238.46,1.394e+8,1.394e+8,3.089e-6,,
238.48,1.439e+8,1.439e+8,3.087e-6,,
238.50,1.958e+8,1.958e+8,3.086e-6,,
238.52,2.724e+8,2.724e+8,3.084e-6,,
238.53,3.117e+8,3.117e+8,3.083e-6,,
238.55,3.748e+8,3.748e+8,3.081e-6,,
238.57,3.989e+8,3.989e+8,3.080e-6,,
238.58,3.925e+8,3.925e+8,3.079e-6,,
238.60,3.459e+8,3.459e+8,3.077e-6,,
238.62,2.685e+8,2.685e+8,3.075e-6,,
238.63,2.257e+8,2.257e+8,3.074e-6,,
238.65,1.449e+8,1.449e+8,3.073e-6,,
238.67,8.204e+7,8.204e+7,3.071e-6,,
238.69,4.098e+7,4.098e+7,3.069e-6,,
238.70,2.770e+7,2.770e+7,3.069e-6,,
238.72,1.195e+7,1.195e+7,3.067e-6,,
238.74,6.067e+6,6.067e+6,3.065e-6,,
238.75,5.737e+6,5.737e+6,3.064e-6,,
238.77,9.936e+6,9.936e+6,3.063e-6,,
238.79,2.249e+7,2.249e+7,3.061e-6,,
238.80,3.316e+7,3.316e+7,3.060e-6,,
238.82,6.620e+7,6.620e+7,3.058e-6,,
238.84,1.167e+8,1.167e+8,3.057e-6,,
238.86,1.815e+8,1.815e+8,3.055e-6,,
238.87,2.159e+8,2.159e+8,3.054e-6,,
238.89,2.779e+8,2.779e+8,3.052e-6,,
238.91,3.152e+8,3.152e+8,3.051e-6,,
238.92,3.202e+8,3.202e+8,3.050e-6,,
238.94,3.007e+8,3.007e+8,3.048e-6,,
238.96,2.488e+8,2.488e+8,3.046e-6,,
238.97,2.159e+8,2.159e+8,3.045e-6,,
238.99,1.479e+8,1.479e+8,3.044e-6,,
239.01,8.930e+7,8.930e+7,3.042e-6,,
239.03,4.753e+7,4.753e+7,3.040e-6,,
239.04,3.307e+7,3.307e+7,3.039e-6,,
239.06,1.457e+7,1.457e+7,3.038e-6,,
239.08,5.657e+6,5.657e+6,3.036e-6,,
239.09,3.362e+6,3.362e+6,3.035e-6,,
239.11,1.080e+6,1.080e+6,3.034e-6,,
239.13,3.061e+5,3.061e+5,3.032e-6,,
239.14,1.554e+5,1.554e+5,3.031e-6,,
239.16,3.643e+4,3.643e+4,3.029e-6,,
239.18,7.529e+3,7.529e+3,3.028e-6,,
239.20,1.372e+3,1.372e+3,3.026e-6,,
239.21,5.584e+2,5.584e+2,3.025e-6,,
239.23,8.419e+1,8.419e+1,3.023e-6,,
239.25,1.119e+1,1.119e+1,3.022e-6,,
239.26,3.891e+0,3.891e+0,3.021e-6,,
239.28,4.280e-1,4.280e-1,3.019e-6,,
239.30,4.150e-2,4.150e-2,3.017e-6,,
239.31,1.233e-2,1.233e-2,3.016e-6,,
239.33,9.891e-4,9.891e-4,3.015e-6,,
239.35,6.997e-5,6.997e-5,3.013e-6,,
239.37,4.363e-6,4.363e-6,3.011e-6,,
239.38,1.039e-6,1.039e-6,3.010e-6,,
240.37,8.394e-8,8.394e-8,2.926e-6,,
240.39,1.677e-6,1.677e-6,2.924e-6,,
240.40,7.104e-6,7.104e-6,2.923e-6,,
240.42,1.162e-4,1.162e-4,2.922e-6,,
240.44,1.679e-3,1.679e-3,2.920e-6,,
240.45,6.094e-3,6.094e-3,2.919e-6,,
240.47,7.315e-2,7.315e-2,2.917e-6,,
240.49,7.758e-1,7.758e-1,2.916e-6,,
240.50,2.412e+0,2.412e+0,2.915e-6,,
240.52,2.125e+1,2.125e+1,2.913e-6,,
240.54,1.655e+2,1.655e+2,2.911e-6,,
240.56,1.139e+3,1.139e+3,2.910e-6,,
240.57,2.852e+3,2.852e+3,2.909e-6,,
240.59,1.631e+4,1.631e+4,2.907e-6,,
240.61,8.244e+4,8.244e+4,2.905e-6,,
240.62,1.770e+5,1.770e+5,2.905e-6,,
240.64,7.436e+5,7.436e+5,2.903e-6,,
240.66,2.763e+6,2.763e+6,2.901e-6,,
240.67,5.085e+6,5.085e+6,2.900e-6,,
240.69,1.571e+7,1.571e+7,2.899e-6,,
240.71,4.293e+7,4.293e+7,2.897e-6,,
240.73,1.038e+8,1.038e+8,2.895e-6,,
240.74,1.541e+8,1.541e+8,2.894e-6,,
240.76,3.099e+8,3.099e+8,2.893e-6,,
240.78,5.516e+8,5.516e+8,2.891e-6,,
240.79,7.029e+8,7.029e+8,2.890e-6,,
240.81,1.042e+9,1.042e+9,2.888e-6,,
240.83,1.367e+9,1.367e+9,2.887e-6,,
240.84,1.496e+9,1.496e+9,2.886e-6,,
240.86,1.636e+9,1.636e+9,2.884e-6,,
240.88,1.584e+9,1.584e+9,2.882e-6,,
240.90,1.359e+9,1.359e+9,2.881e-6,,
240.91,1.203e+9,1.203e+9,2.880e-6,,
240.93,8.605e+8,8.605e+8,2.878e-6,,
240.95,5.456e+8,5.456e+8,2.876e-6,,
240.96,4.152e+8,4.152e+8,2.876e-6,,
240.98,2.197e+8,2.197e+8,2.874e-6,,
241.00,1.031e+8,1.031e+8,2.872e-6,,
241.01,6.748e+7,6.748e+7,2.871e-6,,
241.03,2.643e+7,2.643e+7,2.870e-6,,
241.05,9.177e+6,9.177e+6,2.868e-6,,
241.07,2.826e+6,2.826e+6,2.866e-6,,
241.08,1.499e+6,1.499e+6,2.865e-6,,
241.10,3.853e+5,3.853e+5,2.864e-6,,
241.12,8.783e+4,8.783e+4,2.862e-6,,
241.13,4.008e+4,4.008e+4,2.861e-6,,
241.15,7.627e+3,7.627e+3,2.859e-6,,
241.17,1.286e+3,1.286e+3,2.858e-6,,
241.18,5.049e+2,5.049e+2,2.857e-6,,
241.20,7.106e+1,7.106e+1,2.855e-6,,
241.22,8.861e+0,8.861e+0,2.853e-6,,
241.24,9.789e-1,9.789e-1,2.852e-6,,
241.25,3.109e-1,3.109e-1,2.851e-6,,
241.27,2.863e-2,2.863e-2,2.849e-6,,
241.29,2.335e-3,2.335e-3,2.847e-6,,
