Wavelength (nm),Sum(calc),Al I (5.1e-3),Al II (9.9e-1),Al III (7.3e-3)
212.33,5.133e+7,5.133e+7,9.181e-10,3.210e-16
212.35,5.133e+7,5.133e+7,9.156e-10,3.202e-16
212.37,4.375e+7,4.375e+7,9.131e-10,3.195e-16
212.38,3.805e+7,3.805e+7,9.119e-10,3.191e-16
212.40,2.552e+7,2.552e+7,9.094e-10,3.183e-16
212.42,1.460e+7,1.460e+7,9.069e-10,3.176e-16
212.43,1.040e+7,1.040e+7,9.056e-10,3.172e-16
212.45,4.678e+6,4.678e+6,9.031e-10,3.164e-16
212.47,1.795e+6,1.795e+6,9.006e-10,3.157e-16
212.48,1.047e+6,1.047e+6,8.994e-10,3.153e-16
212.50,3.160e+5,3.160e+5,8.969e-10,3.145e-16
212.52,8.132e+4,8.132e+4,8.944e-10,3.138e-16
212.53,3.886e+4,3.886e+4,8.932e-10,3.134e-16
212.55,7.869e+3,7.869e+3,8.907e-10,3.126e-16
212.57,1.358e+3,1.358e+3,8.882e-10,3.118e-16
212.58,5.316e+2,5.316e+2,8.869e-10,3.115e-16
212.60,7.222e+1,7.222e+1,8.844e-10,3.107e-16
212.62,8.364e+0,8.364e+0,8.819e-10,3.099e-16
212.63,2.685e+0,2.685e+0,8.807e-10,3.096e-16
212.65,3.045e-1,3.045e-1,8.782e-10,3.088e-16
212.67,7.240e-1,7.240e-1,8.757e-10,3.080e-16
212.68,2.278e+0,2.278e+0,8.745e-10,3.077e-16
212.70,2.098e+1,2.098e+1,8.720e-10,3.069e-16
212.72,1.652e+2,1.652e+2,8.695e-10,3.061e-16
212.73,4.369e+2,4.369e+2,8.682e-10,3.057e-16
212.75,2.712e+3,2.712e+3,8.657e-10,3.050e-16
212.77,1.436e+4,1.436e+4,8.632e-10,3.042e-16
212.78,3.114e+4,3.114e+4,8.620e-10,3.038e-16
212.80,1.299e+5,1.299e+5,8.595e-10,3.031e-16
212.82,4.627e+5,4.627e+5,8.570e-10,3.023e-16
212.83,8.227e+5,8.227e+5,8.558e-10,3.019e-16
212.85,2.309e+6,2.309e+6,8.533e-10,3.012e-16
212.87,5.528e+6,5.528e+6,8.508e-10,3.004e-16
212.88,8.059e+6,8.059e+6,8.495e-10,3.000e-16
212.90,1.521e+7,1.521e+7,8.470e-10,2.993e-16
212.92,2.449e+7,2.449e+7,8.445e-10,2.985e-16
212.93,2.927e+7,2.927e+7,8.433e-10,2.981e-16
212.95,3.714e+7,3.714e+7,8.408e-10,2.974e-16
212.97,4.021e+7,4.021e+7,8.383e-10,2.966e-16
212.98,3.942e+7,3.942e+7,8.371e-10,2.962e-16
213.00,3.364e+7,3.364e+7,8.346e-10,2.955e-16
213.02,2.449e+7,2.449e+7,8.321e-10,2.947e-16
213.03,1.968e+7,1.968e+7,8.308e-10,2.943e-16
213.05,1.129e+7,1.129e+7,8.283e-10,2.935e-16
213.07,5.528e+6,5.528e+6,8.258e-10,2.928e-16
213.08,3.644e+6,3.644e+6,8.246e-10,2.924e-16
213.10,1.406e+6,1.406e+6,8.221e-10,2.916e-16
213.12,4.627e+5,4.627e+5,8.196e-10,2.909e-16
213.13,2.501e+5,2.501e+5,8.184e-10,2.905e-16
213.15,6.488e+4,6.488e+4,8.159e-10,2.897e-16
213.17,1.436e+4,1.436e+4,8.134e-10,2.890e-16
213.18,6.370e+3,6.370e+3,8.121e-10,2.886e-16
213.20,1.152e+3,1.152e+3,8.096e-10,2.878e-16
213.22,4.894e+2,4.894e+2,8.071e-10,2.871e-16
213.23,9.144e+2,9.144e+2,8.059e-10,2.867e-16
213.25,5.282e+3,5.282e+3,8.034e-10,2.859e-16
213.27,2.781e+4,2.781e+4,8.009e-10,2.852e-16
213.28,6.019e+4,6.019e+4,7.997e-10,2.848e-16
213.30,2.505e+5,2.505e+5,7.972e-10,2.840e-16
213.32,8.905e+5,8.905e+5,7.947e-10,2.833e-16
213.33,1.582e+6,1.582e+6,7.934e-10,2.829e-16
213.35,4.441e+6,4.441e+6,7.909e-10,2.821e-16
213.37,1.064e+7,1.064e+7,7.885e-10,2.813e-16
213.38,1.553e+7,1.553e+7,7.872e-10,2.810e-16
213.40,2.939e+7,2.939e+7,7.847e-10,2.802e-16
213.42,4.751e+7,4.751e+7,7.822e-10,2.794e-16
213.43,5.694e+7,5.694e+7,7.810e-10,2.791e-16
213.45,7.266e+7,7.266e+7,7.785e-10,2.783e-16
213.47,7.922e+7,7.922e+7,7.760e-10,2.775e-16
213.48,7.798e+7,7.798e+7,7.747e-10,2.772e-16
213.50,6.714e+7,6.714e+7,7.722e-10,2.764e-16
213.52,4.939e+7,4.939e+7,7.698e-10,2.756e-16
213.53,3.993e+7,3.993e+7,7.685e-10,2.752e-16
213.55,2.320e+7,2.320e+7,7.660e-10,2.745e-16
213.57,1.151e+7,1.151e+7,7.635e-10,2.737e-16
213.58,7.648e+6,7.648e+6,7.623e-10,2.733e-16
213.60,2.999e+6,2.999e+6,7.598e-10,2.726e-16
213.62,1.005e+6,1.005e+6,7.573e-10,2.718e-16
213.63,5.483e+5,5.483e+5,7.560e-10,2.714e-16
213.65,1.451e+5,1.451e+5,7.535e-10,2.707e-16
213.67,3.284e+4,3.284e+4,7.511e-10,2.699e-16
213.68,1.472e+4,1.472e+4,7.498e-10,2.695e-16
213.70,2.632e+3,2.632e+3,7.473e-10,2.688e-16
213.72,4.022e+2,4.022e+2,7.448e-10,2.680e-16
213.73,1.482e+2,1.482e+2,7.436e-10,2.676e-16
213.75,1.790e+1,1.790e+1,7.411e-10,2.669e-16
213.77,1.848e+0,1.848e+0,7.386e-10,2.661e-16
213.78,5.597e-1,5.597e-1,7.373e-10,2.657e-16
213.80,4.567e-2,4.567e-2,7.349e-10,2.650e-16
213.82,3.186e-3,3.186e-3,7.324e-10,2.642e-16
213.83,7.934e-4,7.934e-4,7.311e-10,2.638e-16
213.85,4.375e-5,4.375e-5,7.286e-10,2.630e-16
213.87,2.063e-6,2.063e-6,7.261e-10,2.623e-16
213.88,4.224e-7,4.224e-7,7.249e-10,2.619e-16
213.90,1.575e-8,1.575e-8,7.224e-10,2.611e-16
213.92,5.021e-10,5.021e-10,7.199e-10,2.604e-16
214.10,6.056e-11,6.056e-11,6.975e-10,2.535e-16
214.12,2.044e-9,2.044e-9,6.950e-10,2.528e-16
214.13,1.120e-8,1.120e-8,6.937e-10,2.524e-16
214.15,2.990e-7,2.990e-7,6.912e-10,2.516e-16
214.17,6.826e-6,6.826e-6,6.887e-10,2.508e-16
214.18,3.076e-5,3.076e-5,6.875e-10,2.505e-16
214.20,5.554e-4,5.554e-4,6.850e-10,2.497e-16
214.22,8.576e-3,8.576e-3,6.825e-10,2.489e-16
214.23,3.178e-2,3.178e-2,6.813e-10,2.486e-16
214.25,3.882e-1,3.882e-1,6.788e-10,2.478e-16
214.27,4.054e+0,4.054e+0,6.763e-10,2.470e-16
214.28,1.236e+1,1.236e+1,6.750e-10,2.467e-16
214.30,1.021e+2,1.021e+2,6.725e-10,2.459e-16
214.32,7.210e+2,7.210e+2,6.700e-10,2.451e-16
214.33,1.807e+3,1.807e+3,6.688e-10,2.447e-16
214.35,1.010e+4,1.010e+4,6.663e-10,2.440e-16
214.37,4.825e+4,4.825e+4,6.638e-10,2.432e-16
214.38,9.946e+4,9.946e+4,6.626e-10,2.428e-16
214.40,3.758e+5,3.758e+5,6.601e-10,2.421e-16
214.42,1.215e+6,1.215e+6,6.576e-10,2.413e-16
214.43,2.059e+6,2.059e+6,6.563e-10,2.409e-16
214.45,5.263e+6,5.263e+6,6.538e-10,2.402e-16
214.47,1.151e+7,1.151e+7,6.513e-10,2.394e-16
214.48,1.604e+7,1.604e+7,6.501e-10,2.390e-16
214.50,2.773e+7,2.773e+7,6.476e-10,2.383e-16
214.52,4.100e+7,4.100e+7,6.451e-10,2.375e-16
214.53,4.701e+7,4.701e+7,6.439e-10,2.371e-16
214.55,5.497e+7,5.497e+7,6.414e-10,2.364e-16
214.57,5.497e+7,5.497e+7,6.389e-10,2.356e-16
214.58,5.184e+7,5.184e+7,6.376e-10,2.352e-16
214.60,4.100e+7,4.100e+7,6.351e-10,2.345e-16
214.62,2.773e+7,2.773e+7,6.326e-10,2.337e-16
214.63,2.151e+7,2.151e+7,6.314e-10,2.333e-16
214.65,1.151e+7,1.151e+7,6.289e-10,2.325e-16
214.67,5.263e+6,5.263e+6,6.264e-10,2.318e-16
214.68,3.357e+6,3.357e+6,6.252e-10,2.314e-16
214.70,1.215e+6,1.215e+6,6.227e-10,2.306e-16
214.72,3.758e+5,3.758e+5,6.202e-10,2.299e-16
214.73,1.972e+5,1.972e+5,6.189e-10,2.295e-16
214.75,4.825e+4,4.825e+4,6.164e-10,2.287e-16
214.77,1.010e+4,1.010e+4,6.139e-10,2.280e-16
214.78,4.365e+3,4.365e+3,6.127e-10,2.276e-16
214.80,7.978e+2,7.978e+2,6.102e-10,2.268e-16
214.82,6.828e+2,6.828e+2,6.077e-10,2.261e-16
214.83,1.543e+3,1.543e+3,6.065e-10,2.257e-16
214.85,9.029e+3,9.029e+3,6.040e-10,2.249e-16
214.87,4.627e+4,4.627e+4,6.015e-10,2.242e-16
214.88,9.882e+4,9.882e+4,6.002e-10,2.238e-16
214.90,4.011e+5,4.011e+5,5.977e-10,2.230e-16
214.92,1.393e+6,1.393e+6,5.952e-10,2.223e-16
214.93,2.450e+6,2.450e+6,5.940e-10,2.219e-16
214.95,6.738e+6,6.738e+6,5.915e-10,2.211e-16
214.97,1.586e+7,1.586e+7,5.890e-10,2.203e-16
214.98,2.296e+7,2.296e+7,5.878e-10,2.200e-16
215.00,4.278e+7,4.278e+7,5.853e-10,2.192e-16
215.02,6.825e+7,6.825e+7,5.828e-10,2.184e-16
215.03,8.131e+7,8.131e+7,5.815e-10,2.181e-16
215.05,1.027e+8,1.027e+8,5.790e-10,2.173e-16
215.07,1.110e+8,1.110e+8,5.765e-10,2.165e-16
215.08,1.089e+8,1.089e+8,5.753e-10,2.162e-16
215.10,9.317e+7,9.317e+7,5.728e-10,2.154e-16
215.12,6.825e+7,6.825e+7,5.703e-10,2.146e-16
215.13,5.510e+7,5.510e+7,5.691e-10,2.142e-16
215.15,3.195e+7,3.195e+7,5.666e-10,2.135e-16
215.17,1.586e+7,1.586e+7,5.641e-10,2.127e-16
215.18,1.054e+7,1.054e+7,5.628e-10,2.123e-16
215.20,4.142e+6,4.142e+6,5.603e-10,2.116e-16
215.22,1.393e+6,1.393e+6,5.578e-10,2.108e-16
215.23,7.622e+5,7.622e+5,5.566e-10,2.104e-16
215.25,2.030e+5,2.030e+5,5.541e-10,2.097e-16
215.27,4.627e+4,4.627e+4,5.516e-10,2.089e-16
215.28,2.084e+4,2.084e+4,5.504e-10,2.085e-16
215.30,3.760e+3,3.760e+3,5.479e-10,2.078e-16
215.32,5.807e+2,5.807e+2,5.454e-10,2.070e-16
215.33,2.153e+2,2.153e+2,5.441e-10,2.066e-16
215.35,2.633e+1,2.633e+1,5.416e-10,2.059e-16
215.37,2.755e+0,2.755e+0,5.392e-10,2.051e-16
215.38,8.408e-1,8.408e-1,5.379e-10,2.047e-16
215.40,6.968e-2,6.968e-2,5.354e-10,2.040e-16
215.42,4.942e-3,4.942e-3,5.329e-10,2.032e-16
215.43,1.241e-3,1.241e-3,5.317e-10,2.028e-16
215.45,6.971e-5,6.971e-5,5.292e-10,2.020e-16
215.47,3.350e-6,3.350e-6,5.267e-10,2.013e-16
215.48,6.927e-7,6.927e-7,5.254e-10,2.009e-16
215.50,2.636e-8,2.636e-8,5.229e-10,2.001e-16
215.52,8.584e-10,8.584e-10,5.205e-10,1.994e-16
216.42,2.191e-10,2.191e-10,4.083e-10,1.651e-16
216.43,1.250e-9,1.250e-9,4.070e-10,1.647e-16
216.45,3.625e-8,3.625e-8,4.045e-10,1.639e-16
216.47,9.021e-7,9.021e-7,4.020e-10,1.632e-16
216.48,4.250e-6,4.250e-6,4.008e-10,1.628e-16
216.50,8.407e-5,8.407e-5,3.983e-10,1.620e-16
216.52,1.427e-3,1.427e-3,3.958e-10,1.613e-16
216.53,5.552e-3,5.552e-3,3.946e-10,1.609e-16
216.55,7.491e-2,7.491e-2,3.921e-10,1.601e-16
216.57,8.672e-1,8.672e-1,3.896e-10,1.593e-16
216.58,2.786e+0,2.786e+0,3.883e-10,1.590e-16
216.60,2.564e+1,2.564e+1,3.858e-10,1.582e-16
216.62,2.025e+2,2.025e+2,3.833e-10,1.574e-16
216.63,5.372e+2,5.372e+2,3.821e-10,1.571e-16
216.65,3.372e+3,3.372e+3,3.796e-10,1.563e-16
216.67,1.816e+4,1.816e+4,3.771e-10,1.555e-16
