Wavelength (nm),Sum(calc),Al I (1.0e-2),Al II (9.9e-1),Al III (8.0e-4)
211.67,1.936e+5,1.936e+5,1.440e-10,2.702e-18
211.68,3.605e+5,3.605e+5,1.438e-10,2.699e-18
211.70,1.108e+6,1.108e+6,1.435e-10,2.693e-18
211.72,2.902e+6,2.902e+6,1.431e-10,2.687e-18
211.73,4.423e+6,4.423e+6,1.430e-10,2.684e-18
211.75,9.104e+6,9.104e+6,1.426e-10,2.678e-18
211.77,1.596e+7,1.596e+7,1.422e-10,2.672e-18
211.78,1.991e+7,1.991e+7,1.421e-10,2.669e-18
211.80,2.744e+7,2.744e+7,1.417e-10,2.663e-18
211.82,3.221e+7,3.221e+7,1.413e-10,2.657e-18
211.83,3.286e+7,3.286e+7,1.412e-10,2.654e-18
211.85,3.033e+7,3.033e+7,1.408e-10,2.648e-18
211.87,2.384e+7,2.384e+7,1.404e-10,2.642e-18
211.88,1.991e+7,1.991e+7,1.403e-10,2.639e-18
211.90,1.230e+7,1.230e+7,1.399e-10,2.634e-18
211.92,6.474e+6,6.474e+6,1.396e-10,2.628e-18
211.93,4.423e+6,4.423e+6,1.394e-10,2.625e-18
211.95,1.830e+6,1.830e+6,1.390e-10,2.619e-18
211.97,6.449e+5,6.449e+5,1.387e-10,2.613e-18
211.98,3.605e+5,3.605e+5,1.385e-10,2.610e-18
212.00,9.986e+4,9.986e+4,1.381e-10,2.604e-18
212.02,2.356e+4,2.356e+4,1.378e-10,2.598e-18
212.03,1.078e+4,1.078e+4,1.376e-10,2.595e-18
212.05,2.002e+3,2.002e+3,1.372e-10,2.589e-18
212.07,3.467e+2,3.467e+2,1.369e-10,2.583e-18
212.08,2.071e+2,2.071e+2,1.367e-10,2.580e-18
212.10,6.691e+2,6.691e+2,1.363e-10,2.574e-18
212.12,4.108e+3,4.108e+3,1.360e-10,2.568e-18
212.13,9.688e+3,9.688e+3,1.358e-10,2.565e-18
212.15,4.783e+4,4.783e+4,1.354e-10,2.559e-18
212.17,2.013e+5,2.013e+5,1.351e-10,2.553e-18
212.18,3.890e+5,3.890e+5,1.349e-10,2.550e-18
212.20,1.289e+6,1.289e+6,1.345e-10,2.544e-18
212.22,3.639e+6,3.639e+6,1.342e-10,2.538e-18
212.23,5.759e+6,5.759e+6,1.340e-10,2.535e-18
212.25,1.280e+7,1.280e+7,1.337e-10,2.530e-18
212.27,2.424e+7,2.424e+7,1.333e-10,2.524e-18
212.28,3.142e+7,3.142e+7,1.331e-10,2.521e-18
212.30,4.684e+7,4.684e+7,1.328e-10,2.515e-18
212.32,5.952e+7,5.952e+7,1.324e-10,2.509e-18
212.33,6.319e+7,6.319e+7,1.322e-10,2.506e-18
212.35,6.319e+7,6.319e+7,1.319e-10,2.500e-18
