Wavelength (nm),Sum,Al I (3.4e-01),Al II (6.6e-01),Al III (4.9e-05)
296.4,2.293e-7,,,2.293e-7
296.41,1.251e-7,,,1.251e-7
296.43,3.504e-8,,,3.504e-8
296.45,9.039e-9,,,9.039e-9
296.46,4.452e-9,,,4.452e-9
296.48,1.015e-9,,,1.015e-9
296.5,2.133e-10,,,2.133e-10
296.51,9.480e-11,,,9.480e-11
296.53,1.761e-11,,,1.761e-11
296.55,3.013e-12,,,3.013e-12
296.56,1.208e-12,,,1.208e-12
296.58,1.828e-13,,,1.828e-13
296.6,2.547e-14,,,2.547e-14
296.61,9.219e-15,,,9.219e-15
296.63,1.136e-15,,,1.136e-15
296.65,1.289e-16,,,1.289e-16
296.66,4.210e-17,,,4.210e-17
296.68,4.224e-18,,,4.224e-18
296.7,3.903e-19,,,3.903e-19
296.71,1.151e-19,,,1.151e-19
298.95,2.177e-11,,2.177e-11,
298.96,7.183e-11,,7.183e-11,
298.98,7.360e-10,,7.360e-10,
299,6.960e-9,,6.960e-9,
299.01,2.077e-8,,2.077e-8,
299.03,1.741e-7,,1.741e-7,
299.05,1.347e-6,,1.347e-6,
299.06,3.637e-6,,3.637e-6,
299.08,2.495e-5,,2.495e-5,
299.1,1.580e-4,,1.580e-4,
299.11,3.857e-4,,3.857e-4,
299.13,2.165e-3,,2.165e-3,
299.15,1.121e-2,,1.121e-2,
299.16,2.477e-2,,2.477e-2,
299.18,1.138e-1,,1.138e-1,
299.2,4.822e-1,,4.822e-1,
299.21,9.634e-1,,9.634e-1,
299.23,3.621e+0,,3.621e+0,
299.25,1.256e+1,,1.256e+1,
299.26,2.270e+1,,2.270e+1,
299.28,6.979e+1,,6.979e+1,
299.3,1.981e+2,,1.981e+2,
299.31,3.238e+2,,3.238e+2,
299.33,8.147e+2,,8.147e+2,
299.35,1.892e+3,,1.892e+3,
299.36,2.798e+3,,2.798e+3,
299.38,5.760e+3,,5.760e+3,
299.4,1.094e+4,,1.094e+4,
299.41,1.464e+4,,1.464e+4,
299.43,2.466e+4,,2.466e+4,
299.45,3.834e+4,,3.834e+4,
299.46,4.639e+4,,4.639e+4,
299.48,6.395e+4,,6.395e+4,
299.5,8.137e+4,,8.137e+4,
299.51,8.906e+4,,8.906e+4,
299.53,1.005e+5,,1.005e+5,
299.55,1.048e+5,,1.048e+5,
299.56,1.039e+5,,1.039e+5,
299.58,9.649e+4,,9.649e+4,
299.6,8.371e+4,,8.371e+4,
299.61,7.641e+4,,7.641e+4,
299.63,6.262e+4,,6.262e+4,
299.65,5.337e+4,,5.337e+4,
299.66,5.155e+4,,5.155e+4,
299.68,5.509e+4,,5.509e+4,
299.7,6.900e+4,,6.900e+4,
299.71,7.966e+4,,7.966e+4,
299.73,1.068e+5,,1.068e+5,
299.75,1.379e+5,,1.379e+5,
299.76,1.530e+5,,1.530e+5,
299.78,1.787e+5,,1.787e+5,
299.8,1.932e+5,,1.932e+5,
299.81,1.951e+5,,1.951e+5,
299.83,1.874e+5,,1.874e+5,
299.85,1.661e+5,,1.661e+5,
299.86,1.518e+5,,1.518e+5,
299.88,1.194e+5,,1.194e+5,
299.9,8.665e+4,,8.665e+4,
299.91,7.164e+4,,7.164e+4,
299.93,4.611e+4,,4.611e+4,
299.95,2.740e+4,,2.740e+4,
299.96,2.049e+4,,2.049e+4,
299.98,1.080e+4,,1.080e+4,
300,5.251e+3,,5.251e+3,
300.01,3.553e+3,,3.553e+3,
300.03,1.532e+3,,1.532e+3,
300.05,6.100e+2,,6.100e+2,
300.06,3.735e+2,,3.735e+2,
300.08,1.318e+2,,1.318e+2,
300.1,4.296e+1,,4.296e+1,
300.11,2.379e+1,,2.379e+1,
300.13,6.875e+0,,6.875e+0,
300.15,1.834e+0,,1.834e+0,
300.16,9.189e-1,,9.189e-1,
300.18,2.173e-1,,2.173e-1,
300.2,4.744e-2,,4.744e-2,
300.21,2.151e-2,,2.151e-2,
300.23,4.164e-3,,4.164e-3,
300.25,7.441e-4,,7.441e-4,
300.26,3.052e-4,,3.052e-4,
300.28,4.837e-5,,4.837e-5,
300.3,7.074e-6,,7.074e-6,
300.31,2.625e-6,,2.625e-6,
300.33,3.405e-7,,3.405e-7,
300.35,4.077e-8,,4.077e-8,
300.36,1.369e-8,,1.369e-8,
300.38,1.453e-9,,1.453e-9,
300.4,1.424e-10,,1.424e-10,
300.41,4.326e-11,,4.326e-11,
301.8,1.177e-11,,1.177e-11,
301.81,3.873e-11,,3.873e-11,
301.83,3.951e-10,,3.951e-10,
301.85,3.726e-9,,3.726e-9,
301.86,1.111e-8,,1.111e-8,
301.88,9.307e-8,,9.307e-8,
301.9,7.208e-7,,7.208e-7,
301.91,1.948e-6,,1.948e-6,
301.93,1.340e-5,,1.340e-5,
301.95,8.526e-5,,8.526e-5,
301.96,2.088e-4,,2.088e-4,
301.98,1.180e-3,,1.180e-3,
302,6.166e-3,,6.166e-3,
302.01,1.368e-2,,1.368e-2,
302.03,6.352e-2,,6.352e-2,
302.05,2.726e-1,,2.726e-1,
302.06,5.482e-1,,5.482e-1,
302.08,2.090e+0,,2.090e+0,
302.1,7.368e+0,,7.368e+0,
302.11,1.343e+1,,1.343e+1,
302.13,4.206e+1,,4.206e+1,
302.15,1.217e+2,,1.217e+2,
302.16,2.011e+2,,2.011e+2,
302.18,5.173e+2,,5.173e+2,
302.2,1.230e+3,,1.230e+3,
302.21,1.841e+3,,1.841e+3,
302.23,3.890e+3,,3.890e+3,
302.25,7.595e+3,,7.595e+3,
302.26,1.031e+4,,1.031e+4,
302.28,1.788e+4,,1.788e+4,
302.3,2.868e+4,,2.868e+4,
302.31,3.526e+4,,3.526e+4,
302.33,5.026e+4,,5.026e+4,
302.35,6.620e+4,,6.620e+4,
302.36,7.377e+4,,7.377e+4,
302.38,8.637e+4,,8.637e+4,
302.4,9.349e+4,,9.349e+4,
302.41,9.447e+4,,9.447e+4,
302.43,9.104e+4,,9.104e+4,
302.45,8.146e+4,,8.146e+4,
302.46,7.511e+4,,7.511e+4,
302.48,6.132e+4,,6.132e+4,
302.5,4.899e+4,,4.899e+4,
302.51,4.440e+4,,4.440e+4,
302.53,4.000e+4,,4.000e+4,
302.55,4.340e+4,,4.340e+4,
302.56,4.826e+4,,4.826e+4,
302.58,6.396e+4,,6.396e+4,
302.6,8.599e+4,,8.599e+4,
302.61,9.835e+4,,9.835e+4,
302.63,1.230e+5,,1.230e+5,
302.65,1.433e+5,,1.433e+5,
302.66,1.504e+5,,1.504e+5,
302.68,1.563e+5,,1.563e+5,
302.7,1.502e+5,,1.502e+5,
302.71,1.430e+5,,1.430e+5,
302.73,1.222e+5,,1.222e+5,
302.75,9.651e+4,,9.651e+4,
302.76,8.329e+4,,8.329e+4,
302.78,5.848e+4,,5.848e+4,
302.8,3.795e+4,,3.795e+4,
302.81,2.969e+4,,2.969e+4,
302.83,1.713e+4,,1.713e+4,
302.85,9.133e+3,,9.133e+3,
302.86,6.476e+3,,6.476e+3,
302.88,3.069e+3,,3.069e+3,
302.9,1.345e+3,,1.345e+3,
302.91,8.643e+2,,8.643e+2,
302.93,3.366e+2,,3.366e+2,
302.95,1.212e+2,,1.212e+2,
302.96,7.058e+1,,7.058e+1,
302.98,2.258e+1,,2.258e+1,
303,6.680e+0,,6.680e+0,
303.01,3.527e+0,,3.527e+0,
303.03,9.272e-1,,9.272e-1,
303.05,2.253e-1,,2.253e-1,
303.06,1.079e-1,,1.079e-1,
303.08,2.329e-2,,2.329e-2,
303.1,4.651e-3,,4.651e-3,
303.11,2.018e-3,,2.018e-3,
303.13,3.581e-4,,3.581e-4,
303.15,5.875e-5,,5.875e-5,
303.16,2.310e-5,,2.310e-5,
303.18,3.368e-6,,3.368e-6,
303.2,4.540e-7,,4.540e-7,
303.21,1.618e-7,,1.618e-7,
303.23,1.939e-8,,1.939e-8,
303.25,2.147e-9,,2.147e-9,
303.26,6.937e-10,,6.937e-10,
303.28,6.828e-11,,6.828e-11,
306.85,1.842e-11,,1.842e-11,
306.87,1.879e-10,,1.879e-10,
306.88,5.835e-10,,5.835e-10,
306.9,5.312e-9,,5.312e-9,
306.92,4.481e-8,,4.481e-8,
306.93,1.265e-7,,1.265e-7,
306.95,9.518e-7,,9.518e-7,
306.97,6.637e-6,,6.637e-6,
306.98,1.703e-5,,1.703e-5,
307,1.060e-4,,1.060e-4,
307.02,6.108e-4,,6.108e-4,
307.03,1.425e-3,,1.425e-3,
307.05,7.328e-3,,7.328e-3,
307.07,3.492e-2,,3.492e-2,
307.08,7.408e-2,,7.408e-2,
307.1,3.149e-1,,3.149e-1,
307.12,1.240e+0,,1.240e+0,
307.13,2.392e+0,,2.392e+0,
307.15,8.406e+0,,8.406e+0,
307.17,2.737e+1,,2.737e+1,
307.18,4.799e+1,,4.799e+1,
307.2,1.394e+2,,1.394e+2,
307.22,3.752e+2,,3.752e+2,
307.23,5.982e+2,,5.982e+2,
307.25,1.436e+3,,1.436e+3,
307.27,3.195e+3,,3.195e+3,
307.28,4.632e+3,,4.632e+3,
307.3,9.193e+3,,9.193e+3,
307.32,1.691e+4,,1.691e+4,
307.33,2.228e+4,,2.228e+4,
307.35,3.656e+4,,3.656e+4,
307.37,5.557e+4,,5.557e+4,
307.38,6.659e+4,,6.659e+4,
307.4,9.031e+4,,9.031e+4,
307.42,1.135e+5,,1.135e+5,
307.43,1.236e+5,,1.236e+5,
307.45,1.386e+5,,1.386e+5,
307.47,1.440e+5,,1.440e+5,
307.48,1.426e+5,,1.426e+5,
307.5,1.322e+5,,1.322e+5,
307.52,1.135e+5,,1.135e+5,
307.53,1.022e+5,,1.022e+5,
307.55,7.829e+4,,7.829e+4,
307.57,5.557e+4,,5.557e+4,
307.58,4.550e+4,,4.550e+4,
307.6,2.881e+4,4.580e-6,2.881e+4,
307.62,1.691e+4,4.621e-5,1.691e+4,
307.63,1.259e+4,1.427e-4,1.259e+4,
307.65,6.588e+3,1.285e-3,6.588e+3,
307.67,3.195e+3,1.073e-2,3.195e+3,
307.68,2.163e+3,3.014e-2,2.163e+3,
307.7,9.360e+2,2.246e-1,9.357e+2,
307.72,3.767e+2,1.551e+0,3.752e+2,
307.73,2.348e+2,3.964e+0,2.309e+2,
307.75,1.070e+2,2.444e+1,8.258e+1,
307.77,1.671e+2,1.397e+2,2.737e+1,
307.78,3.399e+2,3.246e+2,1.531e+1,
307.8,1.660e+3,1.656e+3,4.527e+0,
307.82,7.832e+3,7.831e+3,1.240e+0,
307.83,1.655e+4,1.655e+4,6.309e-1,
307.85,6.987e+4,6.987e+4,1.542e-1,
307.87,2.734e+5,2.734e+5,3.492e-2,
307.88,5.256e+5,5.256e+5,1.615e-2,
307.9,1.836e+6,1.836e+6,3.263e-3,
307.92,5.943e+6,5.943e+6,6.108e-4,
307.93,1.039e+7,1.039e+7,2.568e-4,
307.95,3.003e+7,3.003e+7,4.289e-5,
307.97,8.044e+7,8.044e+7,6.637e-6,
307.98,1.280e+8,1.280e+8,2.538e-6,
308,3.059e+8,3.059e+8,3.503e-7,
308.02,6.780e+8,6.780e+8,4.481e-8,
308.03,9.811e+8,9.811e+8,1.558e-8,
308.05,1.941e+9,1.941e+9,1.777e-9,
308.07,3.559e+9,3.559e+9,1.879e-10,
308.08,4.684e+9,4.684e+9,5.939e-11,
308.1,7.666e+9,7.666e+9,,
308.12,1.163e+10,1.163e+10,,
308.13,1.392e+10,1.392e+10,,
308.15,1.886e+10,1.886e+10,,
308.17,2.367e+10,2.367e+10,,
308.18,2.578e+10,2.578e+10,,
308.2,2.888e+10,2.888e+10,,
308.22,2.999e+10,2.999e+10,,
308.23,2.971e+10,2.971e+10,3.265e-11,
308.25,2.754e+10,2.754e+10,3.264e-10,
308.27,2.367e+10,2.367e+10,3.025e-9,
308.28,2.133e+10,2.133e+10,8.954e-9,
308.3,1.636e+10,1.636e+10,7.411e-8,
308.32,1.163e+10,1.163e+10,5.688e-7,
308.33,9.532e+9,9.532e+9,1.532e-6,
308.35,6.049e+9,6.049e+9,1.050e-5,
308.37,3.559e+9,3.559e+9,6.671e-5,
308.38,2.653e+9,2.653e+9,1.635e-4,
308.4,1.393e+9,1.393e+9,9.277e-4,
308.42,6.780e+8,6.780e+8,4.882e-3,
308.43,4.598e+8,4.598e+8,1.089e-2,
308.45,1.997e+8,1.997e+8,5.116e-2,
308.47,8.044e+7,8.044e+7,2.229e-1,
308.48,4.962e+7,4.962e+7,4.523e-1,
308.5,1.783e+7,1.783e+7,1.760e+0,
308.52,5.943e+6,5.943e+6,6.350e+0,
308.53,3.334e+6,3.334e+6,1.172e+1,
308.55,9.916e+5,9.916e+5,3.777e+1,
308.57,2.735e+5,2.734e+5,1.129e+2,
308.58,1.397e+5,1.395e+5,1.896e+2,
308.6,3.484e+4,3.433e+4,5.058e+2,
308.62,9.082e+3,7.831e+3,1.251e+3,
308.63,5.549e+3,3.635e+3,1.913e+3,
308.65,4.967e+3,7.401e+2,4.226e+3,
308.67,8.797e+3,1.397e+2,8.657e+3,
308.68,1.210e+4,5.898e+1,1.204e+4,
308.7,2.204e+4,9.939e+0,2.203e+4,
308.72,3.737e+4,1.577e+0,3.737e+4,
