Wavelength (nm),Sum,Al I (3.4e-01),Al II (6.6e-01),Al III (4.9e-05)
361.37,5.283e+0,,,5.283e+0
361.38,4.386e+0,,,4.386e+0
361.4,2.899e+0,,,2.899e+0
361.42,1.814e+0,,,1.814e+0
361.43,1.405e+0,,,1.405e+0
361.45,8.094e-1,,,8.094e-1
361.47,4.412e-1,,,4.412e-1
361.48,3.190e-1,,,3.190e-1
361.5,1.601e-1,,,1.601e-1
361.52,7.599e-2,,,7.599e-2
361.53,5.129e-2,,,5.129e-2
361.55,2.242e-2,,,2.242e-2
361.57,9.273e-3,,,9.273e-3
361.58,5.841e-3,,,5.841e-3
361.6,2.224e-3,,,2.224e-3
361.62,8.014e-4,,,8.014e-4
361.63,4.712e-4,,,4.712e-4
361.65,1.563e-4,,,1.563e-4
361.67,4.906e-5,,,4.906e-5
361.68,2.692e-5,,,2.692e-5
361.7,7.780e-6,,,7.780e-6
361.72,2.127e-6,,,2.127e-6
361.73,1.090e-6,,,1.090e-6
361.75,2.743e-7,,,2.743e-7
361.77,6.535e-8,,,6.535e-8
361.78,3.124e-8,,,3.124e-8
361.8,6.851e-9,,,6.851e-9
361.82,1.422e-9,,,1.422e-9
361.83,6.344e-10,,,6.344e-10
361.85,1.212e-10,,,1.212e-10
361.87,2.191e-11,,,2.191e-11
361.88,9.125e-12,,,9.125e-12
361.9,1.519e-12,,,1.519e-12
361.92,2.392e-13,,,2.392e-13
361.93,9.296e-14,,,9.296e-14
361.95,1.348e-14,,,1.348e-14
361.97,1.849e-15,,,1.849e-15
364.18,1.740e-11,,1.740e-11,
364.2,1.252e-10,,1.252e-10,
364.22,8.534e-10,,8.534e-10,
364.23,2.183e-9,,2.183e-9,
364.25,1.372e-8,,1.372e-8,
364.27,8.173e-8,,8.173e-8,
364.28,1.954e-7,,1.954e-7,
364.3,1.073e-6,,1.073e-6,
364.32,5.583e-6,,5.583e-6,
364.33,1.248e-5,,1.248e-5,
364.35,5.985e-5,,5.985e-5,
364.37,2.720e-4,,2.720e-4,
364.38,5.682e-4,,5.682e-4,
364.4,2.381e-3,,2.381e-3,
364.42,9.452e-3,,9.452e-3,
364.43,1.845e-2,,1.845e-2,
364.45,6.755e-2,,6.755e-2,
364.47,2.343e-1,,2.343e-1,
364.48,4.275e-1,,4.275e-1,
364.5,1.367e+0,,1.367e+0,
364.52,4.141e+0,,4.141e+0,
364.53,7.064e+0,,7.064e+0,
364.55,1.973e+1,,1.973e+1,
364.57,5.222e+1,,5.222e+1,
364.58,8.325e+1,,8.325e+1,
364.6,2.032e+2,,2.032e+2,
364.62,4.697e+2,,4.697e+2,
364.63,6.998e+2,,6.998e+2,
364.65,1.492e+3,,1.492e+3,
364.67,3.014e+3,,3.014e+3,
364.68,4.197e+3,,4.197e+3,
364.7,7.819e+3,,7.819e+3,
364.72,1.380e+4,,1.380e+4,
364.73,1.797e+4,,1.797e+4,
364.75,2.928e+4,,2.928e+4,
364.77,4.523e+4,,4.523e+4,
364.78,5.511e+4,,5.511e+4,
364.8,7.869e+4,,7.869e+4,
364.82,1.068e+5,,1.068e+5,
364.83,1.221e+5,,1.221e+5,
364.85,1.542e+5,,1.542e+5,
364.87,1.864e+5,,1.864e+5,
364.88,2.020e+5,,2.020e+5,
364.9,2.317e+5,,2.317e+5,
364.92,2.596e+5,,2.596e+5,
364.93,2.735e+5,,2.735e+5,
364.95,3.031e+5,,3.031e+5,
364.97,3.379e+5,,3.379e+5,
364.98,3.583e+5,,3.583e+5,
365,4.058e+5,,4.058e+5,
365.02,4.614e+5,,4.614e+5,
365.03,4.910e+5,,4.910e+5,
365.05,5.491e+5,,5.491e+5,
365.07,5.983e+5,,5.983e+5,
365.08,6.166e+5,,6.166e+5,
365.1,6.353e+5,,6.353e+5,
365.12,6.261e+5,,6.261e+5,
365.13,6.105e+5,,6.105e+5,
365.15,5.593e+5,,5.593e+5,
365.17,4.871e+5,,4.871e+5,
365.18,4.459e+5,,4.459e+5,
365.2,3.601e+5,,3.601e+5,
365.22,2.779e+5,,2.779e+5,
365.24,2.078e+5,,2.078e+5,
365.25,1.793e+5,,1.793e+5,
365.27,1.382e+5,,1.382e+5,
365.29,1.210e+5,,1.210e+5,
365.3,1.222e+5,,1.222e+5,
365.32,1.454e+5,,1.454e+5,
365.34,1.976e+5,,1.976e+5,
365.35,2.348e+5,,2.348e+5,
365.37,3.304e+5,,3.304e+5,
365.39,4.507e+5,,4.507e+5,
365.4,5.178e+5,,5.178e+5,
365.42,6.582e+5,,6.582e+5,
365.44,7.941e+5,,7.941e+5,
365.45,8.550e+5,,8.550e+5,
365.47,9.521e+5,,9.521e+5,
365.49,1.005e+6,,1.005e+6,
365.5,1.012e+6,,1.012e+6,
365.52,9.846e+5,,9.846e+5,
365.54,9.081e+5,,9.081e+5,
365.55,8.547e+5,,8.547e+5,
365.57,7.271e+5,,7.271e+5,
365.59,5.861e+5,,5.861e+5,
365.6,5.157e+5,,5.157e+5,
365.62,3.834e+5,,3.834e+5,
365.64,2.701e+5,,2.701e+5,
365.65,2.222e+5,,2.222e+5,
365.67,1.443e+5,,1.443e+5,
365.69,8.887e+4,,8.887e+4,
365.7,6.833e+4,,6.833e+4,
365.72,3.880e+4,,3.880e+4,
365.74,2.088e+4,,2.088e+4,
365.75,1.501e+4,,1.501e+4,
365.77,7.448e+3,,7.448e+3,
365.79,3.502e+3,,3.502e+3,
365.8,2.353e+3,,2.353e+3,
365.82,1.021e+3,,1.021e+3,
365.84,4.195e+2,,4.195e+2,
365.85,2.635e+2,,2.635e+2,
365.87,9.988e+1,,9.988e+1,
365.89,3.587e+1,,3.587e+1,
365.9,2.107e+1,,2.107e+1,
365.92,6.979e+0,,6.979e+0,
365.94,2.190e+0,,2.190e+0,
365.95,1.203e+0,,1.203e+0,
365.97,3.482e-1,,3.482e-1,
365.99,9.550e-2,,9.550e-2,
366,4.902e-2,,4.902e-2,
366.02,1.240e-2,,1.240e-2,
366.04,2.973e-3,,2.973e-3,
366.05,1.427e-3,,1.427e-3,
366.07,3.154e-4,,3.154e-4,
366.09,6.609e-5,,6.609e-5,
366.1,2.964e-5,,2.964e-5,
366.12,5.728e-6,,5.728e-6,
366.14,1.049e-6,,1.049e-6,
366.15,4.398e-7,,4.398e-7,
366.17,7.428e-8,,7.428e-8,
366.19,1.189e-8,,1.189e-8,
366.2,4.660e-9,,4.660e-9,
366.22,6.877e-10,,6.877e-10,
366.24,9.617e-11,,9.617e-11,
369.47,1.068e-16,,,1.068e-16
369.49,7.268e-16,,,7.268e-16
369.5,1.859e-15,,,1.859e-15
369.52,1.169e-14,,,1.169e-14
369.54,6.973e-14,,,6.973e-14
369.55,1.670e-13,,,1.670e-13
369.57,7.016e-11,,6.924e-11,9.209e-13
369.59,4.879e-10,,4.831e-10,4.818e-12
369.6,1.262e-9,,1.251e-9,1.081e-11
369.62,8.120e-9,,8.067e-9,5.226e-11
369.64,4.960e-8,,4.936e-8,2.398e-10
369.65,1.202e-7,,1.197e-7,5.035e-10
369.67,6.791e-7,,6.770e-7,2.135e-9
369.69,3.641e-6,,3.633e-6,8.591e-9
369.7,8.267e-6,,8.250e-6,1.690e-8
369.72,4.098e-5,,4.092e-5,6.283e-8
369.74,1.928e-4,,1.926e-4,2.217e-7
369.75,4.100e-4,,4.096e-4,4.083e-7
369.77,1.783e-3,,1.781e-3,1.331e-6
369.79,7.356e-3,,7.351e-3,4.119e-6
369.8,1.465e-2,,1.464e-2,7.104e-6
369.82,5.588e-2,,5.586e-2,2.031e-5
369.84,2.022e-1,,2.022e-1,5.512e-5
369.85,3.772e-1,,3.771e-1,8.901e-5
369.87,1.262e+0,,1.261e+0,2.232e-4
369.89,4.005e+0,,4.004e+0,5.311e-4
369.9,6.996e+0,,6.995e+0,8.032e-4
369.92,2.052e+1,,2.052e+1,1.766e-3
369.94,5.713e+1,,5.712e+1,3.685e-3
369.95,9.346e+1,,9.345e+1,5.219e-3
369.97,2.404e+2,,2.404e+2,1.006e-2
369.99,5.870e+2,,5.870e+2,1.842e-2
370,8.993e+2,,8.992e+2,2.442e-2
370.02,2.029e+3,,2.029e+3,4.130e-2
370.04,4.344e+3,,4.344e+3,6.627e-2
370.05,6.233e+3,,6.233e+3,8.230e-2
370.07,1.233e+4,,1.233e+4,1.220e-1
370.09,2.316e+4,,2.316e+4,1.717e-1
370.1,3.111e+4,,3.111e+4,1.997e-1
370.12,5.400e+4,,5.400e+4,2.597e-1
370.14,8.892e+4,,8.892e+4,3.204e-1
370.15,1.119e+5,,1.119e+5,3.490e-1
370.17,1.703e+5,,1.703e+5,3.980e-1
370.19,2.459e+5,,2.459e+5,4.306e-1
370.2,2.897e+5,,2.897e+5,4.392e-1
370.22,3.867e+5,,3.867e+5,4.392e-1
370.24,4.898e+5,,4.898e+5,4.167e-1
370.25,5.405e+5,,5.405e+5,3.980e-1
370.27,6.327e+5,,6.327e+5,3.490e-1
370.29,7.027e+5,,7.027e+5,2.904e-1
370.3,7.261e+5,,7.261e+5,2.597e-1
370.32,7.455e+5,,7.455e+5,1.997e-1
370.34,7.261e+5,,7.261e+5,1.457e-1
370.35,7.027e+5,,7.027e+5,1.220e-1
370.37,6.327e+5,,6.327e+5,8.230e-2
370.39,5.405e+5,,5.405e+5,5.266e-2
370.4,4.898e+5,,4.898e+5,4.130e-2
370.42,3.867e+5,,3.867e+5,2.442e-2
370.44,2.897e+5,,2.897e+5,1.370e-2
370.45,2.459e+5,,2.459e+5,1.006e-2
370.47,1.703e+5,,1.703e+5,5.219e-3
370.49,1.119e+5,,1.119e+5,2.568e-3
370.5,8.892e+4,,8.892e+4,1.766e-3
370.52,5.400e+4,,5.400e+4,8.032e-4
370.54,3.111e+4,,3.111e+4,3.466e-4
370.55,2.316e+4,,2.316e+4,2.232e-4
370.57,1.233e+4,,1.233e+4,8.901e-5
370.59,6.233e+3,,6.233e+3,3.368e-5
370.6,4.344e+3,,4.344e+3,2.031e-5
370.62,2.029e+3,,2.029e+3,7.104e-6
370.64,8.992e+2,,8.992e+2,2.357e-6
370.65,5.870e+2,,5.870e+2,1.331e-6
370.67,2.404e+2,,2.404e+2,4.083e-7
370.69,9.345e+1,,9.345e+1,1.188e-7
370.7,5.712e+1,,5.712e+1,6.285e-8
370.72,2.052e+1,,2.052e+1,1.702e-8
370.74,6.995e+0,,6.995e+0,4.854e-9
370.75,4.004e+0,,4.004e+0,3.271e-9
370.77,1.261e+0,,1.261e+0,5.280e-9
370.79,3.771e-1,,3.771e-1,1.917e-8
370.8,2.022e-1,,2.022e-1,3.739e-8
370.82,5.586e-2,,5.586e-2,1.378e-7
370.84,1.464e-2,,1.464e-2,4.824e-7
370.85,7.352e-3,,7.351e-3,8.852e-7
370.87,1.784e-3,,1.781e-3,2.866e-6
370.89,4.184e-4,,4.096e-4,8.810e-6
370.9,2.077e-4,,1.926e-4,1.514e-5
370.92,8.396e-5,,4.092e-5,4.304e-5
370.94,1.243e-4,,8.250e-6,1.161e-4
370.95,1.906e-4,,3.633e-6,1.869e-4
370.97,4.669e-4,,6.770e-7,4.663e-4
370.99,1.104e-3,,1.197e-7,1.104e-3
371,1.665e-3,,4.936e-8,1.665e-3
371.02,3.644e-3,,8.067e-9,3.644e-3
371.04,7.571e-3,,1.251e-9,7.571e-3
371.05,1.070e-2,,4.831e-10,1.070e-2
371.07,2.055e-2,,6.924e-11,2.055e-2
371.09,3.747e-2,,,3.747e-2
371.1,4.962e-2,,,4.962e-2
371.12,8.364e-2,,,8.364e-2
371.14,1.338e-1,,,1.338e-1
371.15,1.660e-1,,,1.660e-1
371.17,2.456e-1,,,2.456e-1
371.19,3.448e-1,,,3.448e-1
371.2,4.007e-1,,,4.007e-1
371.22,5.202e-1,,,5.202e-1
371.24,6.411e-1,,,6.411e-1
371.25,6.979e-1,,,6.979e-1
371.27,7.952e-1,,,7.952e-1
371.29,8.600e-1,,,8.600e-1
371.3,8.770e-1,,,8.770e-1
371.32,8.770e-1,,,8.770e-1
371.34,8.324e-1,,,8.324e-1
371.35,7.952e-1,,,7.952e-1
371.37,6.979e-1,,,6.979e-1
371.39,5.813e-1,,,5.813e-1
371.4,5.202e-1,,,5.202e-1
371.42,4.007e-1,,,4.007e-1
371.44,2.929e-1,,,2.929e-1
371.45,2.456e-1,,,2.456e-1
371.47,1.660e-1,,,1.660e-1
371.49,1.065e-1,,,1.065e-1
371.5,8.364e-2,,,8.364e-2
371.52,4.962e-2,,,4.962e-2
371.54,2.793e-2,,,2.793e-2
371.55,2.055e-2,,,2.055e-2
371.57,1.070e-2,,,1.070e-2
371.59,5.287e-3,,,5.287e-3
371.6,3.644e-3,,,3.644e-3
371.62,1.665e-3,,,1.665e-3
371.64,7.220e-4,,,7.220e-4
371.65,4.663e-4,,,4.663e-4
371.67,1.869e-4,,,1.869e-4
371.69,7.115e-5,,,7.115e-5
371.7,4.304e-5,,,4.304e-5
371.72,1.514e-5,,,1.514e-5
371.74,5.058e-6,,,5.058e-6
371.75,2.866e-6,,,2.866e-6
371.77,8.852e-7,,,8.852e-7
371.79,2.595e-7,,,2.595e-7
371.8,1.377e-7,,,1.377e-7
371.82,3.733e-8,,,3.733e-8
371.84,9.603e-9,,,9.603e-9
371.85,4.776e-9,,,4.776e-9
371.87,1.136e-9,,,1.136e-9
371.89,2.565e-10,,,2.565e-10
371.9,1.195e-10,,,1.195e-10
371.92,2.494e-11,,,2.494e-11
371.94,4.941e-12,,,4.941e-12
371.95,2.157e-12,,,2.157e-12
371.97,3.951e-13,,,3.951e-13
371.99,6.870e-14,,,6.870e-14
372,2.809e-14,,,2.809e-14
372.02,4.516e-15,,,4.516e-15
372.04,6.891e-16,,,6.891e-16
372.05,2.640e-16,,,2.640e-16
372.64,4.230e-11,,4.230e-11,
372.65,1.107e-10,,1.107e-10,
372.67,7.290e-10,,7.290e-10,
372.69,4.559e-9,,4.559e-9,
372.7,1.118e-8,,1.118e-8,
372.72,6.473e-8,,6.473e-8,
372.74,3.558e-7,,3.558e-7,
372.75,8.183e-7,,8.183e-7,
372.77,4.163e-6,,4.163e-6,
372.79,2.011e-5,,2.011e-5,
372.8,4.336e-5,,4.336e-5,
372.82,1.939e-4,,1.939e-4,
372.84,8.231e-4,,8.231e-4,
372.85,1.664e-3,,1.664e-3,
372.87,6.537e-3,,6.537e-3,
372.89,2.439e-2,,2.439e-2,
372.9,4.622e-2,,4.622e-2,
372.92,1.596e-1,,1.596e-1,
372.94,5.236e-1,,5.236e-1,
372.95,9.300e-1,,9.300e-1,
372.97,2.823e+0,,2.823e+0,
372.99,8.137e+0,,8.137e+0,
373,1.355e+1,,1.355e+1,
373.02,3.615e+1,,3.615e+1,
373.04,9.157e+1,,9.157e+1,
373.05,1.430e+2,,1.430e+2,
373.07,3.352e+2,,3.352e+2,
373.09,7.463e+2,,7.463e+2,
373.1,1.092e+3,,1.092e+3,
373.12,2.251e+3,,2.251e+3,
373.14,4.404e+3,,4.404e+3,
373.15,6.043e+3,,6.043e+3,
373.17,1.094e+4,,1.094e+4,
373.19,1.882e+4,,1.882e+4,
373.2,2.421e+4,,2.421e+4,
373.22,3.853e+4,,3.853e+4,
373.24,5.825e+4,,5.825e+4,
373.25,7.024e+4,,7.024e+4,
373.27,9.825e+4,,9.825e+4,
373.29,1.305e+5,,1.305e+5,
373.3,1.476e+5,,1.476e+5,
373.32,1.814e+5,,1.814e+5,
373.34,2.118e+5,,2.118e+5,
373.35,2.245e+5,,2.245e+5,
373.37,2.426e+5,,2.426e+5,
373.39,2.489e+5,,2.489e+5,
373.4,2.473e+5,,2.473e+5,
373.42,2.349e+5,,2.349e+5,
373.44,2.119e+5,,2.119e+5,
373.45,1.975e+5,,1.975e+5,
373.47,1.650e+5,,1.650e+5,
373.49,1.314e+5,,1.314e+5,
373.5,1.152e+5,,1.152e+5,
373.52,8.626e+4,,8.626e+4,
373.54,6.355e+4,,6.355e+4,
373.55,5.505e+4,,5.505e+4,
373.57,4.442e+4,,4.442e+4,
373.59,4.293e+4,,4.293e+4,
373.6,4.584e+4,,4.584e+4,
373.62,5.940e+4,,5.940e+4,
373.64,8.377e+4,,8.377e+4,
373.65,1.001e+5,,1.001e+5,
373.67,1.406e+5,,1.406e+5,
373.69,1.901e+5,,1.901e+5,
373.7,2.173e+5,,2.173e+5,
373.72,2.736e+5,,2.736e+5,
373.74,3.275e+5,,3.275e+5,
373.75,3.515e+5,,3.515e+5,
373.77,3.896e+5,,3.896e+5,
373.79,4.102e+5,,4.102e+5,
373.8,4.128e+5,,4.128e+5,
373.82,4.023e+5,,4.023e+5,
373.84,3.724e+5,,3.724e+5,
373.85,3.514e+5,,3.514e+5,
373.87,3.011e+5,,3.011e+5,
373.89,2.450e+5,,2.450e+5,
373.9,2.168e+5,,2.168e+5,
373.92,1.633e+5,,1.633e+5,
373.94,1.168e+5,,1.168e+5,
373.95,9.691e+4,,9.691e+4,
373.97,6.417e+4,,6.417e+4,
373.99,4.036e+4,,4.036e+4,
374,3.139e+4,,3.139e+4,
374.02,1.828e+4,,1.828e+4,
374.04,1.010e+4,,1.010e+4,
374.05,7.369e+3,,7.369e+3,
374.07,3.771e+3,,3.771e+3,
374.09,1.833e+3,,1.833e+3,
374.1,1.254e+3,,1.254e+3,
374.12,5.640e+2,,5.640e+2,
374.14,2.410e+2,,2.410e+2,
374.15,1.545e+2,,1.545e+2,
374.17,6.112e+1,,6.112e+1,
374.19,2.296e+1,,2.296e+1,
374.2,1.380e+1,,1.380e+1,
374.22,4.800e+0,,4.800e+0,
374.24,1.585e+0,,1.585e+0,
374.25,8.936e-1,,8.936e-1,
374.27,2.732e-1,,2.732e-1,
374.29,7.932e-2,,7.932e-2,
374.3,4.192e-2,,4.192e-2,
374.32,1.127e-2,,1.127e-2,
374.34,2.876e-3,,2.876e-3,
374.35,1.425e-3,,1.425e-3,
374.37,3.367e-4,,3.367e-4,
374.39,7.555e-5,,7.555e-5,
374.4,3.510e-5,,3.510e-5,
374.42,7.291e-6,,7.291e-6,
374.44,1.438e-6,,1.438e-6,
374.45,6.266e-7,,6.266e-7,
374.47,1.144e-7,,1.144e-7,
374.49,1.984e-8,,1.984e-8,
374.5,8.106e-9,,8.106e-9,
374.52,1.301e-9,,1.301e-9,
374.54,1.984e-10,,1.984e-10,
374.55,7.598e-11,,7.598e-11,
385.84,2.559e-11,,2.559e-11,
385.86,1.635e-10,,1.635e-10,
385.88,9.954e-10,,9.954e-10,
385.89,2.412e-9,,2.412e-9,
385.91,1.366e-8,,1.366e-8,
385.93,7.374e-8,,7.374e-8,
385.94,1.682e-7,,1.682e-7,
385.96,8.448e-7,,8.448e-7,
385.98,4.042e-6,,4.042e-6,
385.99,8.684e-6,,8.684e-6,
386.01,3.866e-5,,3.866e-5,
386.03,1.640e-4,,1.640e-4,
386.04,3.317e-4,,3.317e-4,
386.06,1.309e-3,,1.309e-3,
386.08,4.924e-3,,4.924e-3,
386.09,9.378e-3,,9.378e-3,
386.11,3.281e-2,,3.281e-2,
386.13,1.094e-1,,1.094e-1,
386.14,1.962e-1,,1.962e-1,
386.16,6.085e-1,,6.085e-1,
386.18,1.799e+0,,1.799e+0,
386.19,3.037e+0,,3.037e+0,
386.21,8.352e+0,,8.352e+0,
386.23,2.189e+1,,2.189e+1,
386.24,3.480e+1,,3.480e+1,
386.26,8.483e+1,,8.483e+1,
386.28,1.971e+2,,1.971e+2,
386.29,2.950e+2,,2.950e+2,
386.31,6.376e+2,,6.376e+2,
386.33,1.313e+3,,1.313e+3,
386.34,1.851e+3,,1.851e+3,
386.36,3.547e+3,,3.547e+3,
386.38,6.476e+3,,6.476e+3,
386.39,8.594e+3,,8.594e+3,
386.41,1.460e+4,,1.460e+4,
386.43,2.363e+4,,2.363e+4,
386.44,2.953e+4,,2.953e+4,
386.46,4.447e+4,,4.447e+4,
386.48,6.383e+4,,6.383e+4,
386.49,7.509e+4,,7.509e+4,
386.51,1.003e+5,,1.003e+5,
386.53,1.276e+5,,1.276e+5,
386.54,1.413e+5,,1.413e+5,
386.56,1.673e+5,,1.673e+5,
386.58,1.887e+5,,1.887e+5,
386.59,1.968e+5,,1.968e+5,
386.61,2.065e+5,,2.065e+5,
386.63,2.065e+5,,2.065e+5,
386.64,2.028e+5,,2.028e+5,
386.66,1.887e+5,,1.887e+5,
386.68,1.673e+5,,1.673e+5,
386.69,1.547e+5,,1.547e+5,
386.71,1.276e+5,,1.276e+5,
386.73,1.003e+5,,1.003e+5,
386.74,8.729e+4,,8.729e+4,
386.76,6.383e+4,,6.383e+4,
386.78,4.447e+4,,4.447e+4,
386.79,3.646e+4,,3.646e+4,
386.81,2.363e+4,,2.363e+4,
386.83,1.460e+4,,1.460e+4,
386.84,1.127e+4,,1.127e+4,
386.86,6.476e+3,,6.476e+3,
386.88,3.547e+3,,3.547e+3,
386.89,2.578e+3,,2.578e+3,
386.91,1.313e+3,,1.313e+3,
386.93,6.376e+2,,6.376e+2,
386.94,4.363e+2,,4.363e+2,
386.96,1.971e+2,,1.971e+2,
386.98,8.483e+1,,8.483e+1,
386.99,5.466e+1,,5.466e+1,
387.01,2.189e+1,,2.189e+1,
387.03,8.352e+0,,8.352e+0,
387.04,5.067e+0,,5.067e+0,
387.06,1.799e+0,,1.799e+0,
387.08,6.085e-1,,6.085e-1,
387.09,3.476e-1,,3.476e-1,
387.11,1.094e-1,,1.094e-1,
387.13,3.281e-2,,3.281e-2,
387.14,1.765e-2,,1.765e-2,
387.16,4.924e-3,,4.924e-3,
387.18,1.309e-3,,1.309e-3,
387.19,6.630e-4,,6.630e-4,
387.21,1.640e-4,,1.640e-4,
387.23,3.866e-5,,3.866e-5,
387.24,1.843e-5,,1.843e-5,
387.26,4.042e-6,,4.042e-6,
387.28,8.448e-7,,8.448e-7,
387.29,3.793e-7,,3.793e-7,
387.31,7.374e-8,,7.374e-8,
387.33,1.366e-8,,1.366e-8,
387.34,5.775e-9,,5.775e-9,
387.36,9.954e-10,,9.954e-10,
387.38,1.635e-10,,1.635e-10,
387.39,6.508e-11,,6.508e-11,
393.61,3.898e-6,3.898e-6,,
393.63,2.370e-5,2.370e-5,,
393.64,5.744e-5,5.744e-5,,
393.66,3.259e-4,3.259e-4,,
393.68,1.765e-3,1.765e-3,,
393.69,4.037e-3,4.037e-3,,
393.71,2.040e-2,2.040e-2,,
393.73,9.844e-2,9.844e-2,,
393.74,2.125e-1,2.125e-1,,
393.76,9.565e-1,9.565e-1,,
393.78,4.110e+0,4.110e+0,,
393.79,8.374e+0,8.374e+0,,
393.81,3.358e+1,3.358e+1,,
393.83,1.285e+2,1.285e+2,,
393.84,2.471e+2,2.471e+2,,
393.86,8.825e+2,8.825e+2,,
393.88,3.009e+3,3.009e+3,,
393.89,5.461e+3,5.461e+3,,
393.91,1.737e+4,1.737e+4,,
393.93,5.275e+4,5.275e+4,,
393.94,9.035e+4,9.035e+4,,
393.96,2.560e+5,2.560e+5,,
393.98,6.925e+5,6.925e+5,,
393.99,1.119e+6,1.119e+6,,
394.01,2.825e+6,2.825e+6,,
394.03,6.807e+6,6.807e+6,,
394.04,1.039e+7,1.039e+7,,
394.06,2.335e+7,2.335e+7,,
394.08,5.010e+7,5.010e+7,,
394.09,7.214e+7,7.214e+7,,
394.11,1.444e+8,1.444e+8,,
394.13,2.762e+8,2.762e+8,,
394.14,3.753e+8,3.753e+8,,
394.16,6.693e+8,6.693e+8,,
394.18,1.140e+9,1.140e+9,,
394.19,1.462e+9,1.462e+9,,
394.21,2.322e+9,2.322e+9,,
394.23,3.522e+9,3.522e+9,,
394.24,4.263e+9,4.263e+9,,
394.26,6.032e+9,6.032e+9,,
394.28,8.149e+9,8.149e+9,,
394.29,9.309e+9,9.309e+9,,
394.31,1.173e+10,1.173e+10,,
394.33,1.412e+10,1.412e+10,,
394.34,1.522e+10,1.522e+10,,
394.36,1.709e+10,1.709e+10,,
394.38,1.832e+10,1.832e+10,,
394.39,1.864e+10,1.864e+10,,
394.41,1.864e+10,1.864e+10,,
394.43,1.780e+10,1.780e+10,,
394.44,1.709e+10,1.709e+10,,
394.46,1.522e+10,1.522e+10,,
394.48,1.295e+10,1.295e+10,,
394.49,1.173e+10,1.173e+10,,
394.51,9.309e+9,9.309e+9,,
394.53,7.052e+9,7.052e+9,,
394.54,6.032e+9,6.032e+9,,
394.56,4.263e+9,4.263e+9,,
394.58,2.876e+9,2.876e+9,,
394.59,2.322e+9,2.322e+9,,
394.61,1.462e+9,1.462e+9,,
394.63,8.784e+8,8.784e+8,,
394.64,6.693e+8,6.693e+8,,
394.66,3.753e+8,3.753e+8,,
394.68,2.009e+8,2.009e+8,,
394.69,1.444e+8,1.444e+8,,
394.71,7.214e+7,7.214e+7,,
394.73,3.440e+7,3.440e+7,,
394.74,2.335e+7,2.335e+7,,
394.76,1.039e+7,1.039e+7,,
394.78,4.411e+6,4.411e+6,,
394.79,2.825e+6,2.825e+6,,
394.81,1.119e+6,1.119e+6,,
394.83,4.235e+5,4.235e+5,,
394.84,2.560e+5,2.560e+5,,
394.86,9.035e+4,9.035e+4,,
394.88,3.045e+4,3.045e+4,,
394.89,1.737e+4,1.737e+4,,
394.91,5.461e+3,5.461e+3,,
394.93,1.639e+3,1.639e+3,,
394.94,8.825e+2,8.825e+2,,
394.96,2.471e+2,2.471e+2,,
394.98,6.607e+1,6.607e+1,,
394.99,3.358e+1,3.358e+1,,
395.01,8.374e+0,8.374e+0,,
395.03,1.994e+0,1.994e+0,,
395.04,9.565e-1,9.565e-1,,
395.06,2.125e-1,2.125e-1,,
395.08,4.507e-2,4.507e-2,,
395.09,2.040e-2,2.040e-2,,
395.11,4.037e-3,4.037e-3,,
395.13,7.628e-4,7.628e-4,,
395.14,3.259e-4,3.259e-4,,
395.16,5.744e-5,5.744e-5,,
395.18,9.667e-6,9.667e-6,,
395.19,3.898e-6,3.898e-6,,
395.36,1.049e-5,1.049e-5,,
395.38,6.276e-5,6.276e-5,,
395.39,1.509e-4,1.509e-4,,
395.41,8.432e-4,8.432e-4,,
395.43,4.500e-3,4.500e-3,,
395.44,1.022e-2,1.022e-2,,
395.46,5.090e-2,5.090e-2,,
395.48,2.422e-1,2.422e-1,,
395.49,5.193e-1,5.193e-1,,
395.51,2.307e+0,2.307e+0,,
395.53,9.786e+0,9.786e+0,,
395.54,1.981e+1,1.981e+1,,
395.56,7.847e+1,7.847e+1,,
395.58,2.968e+2,2.968e+2,,
395.59,5.675e+2,5.675e+2,,
395.61,2.004e+3,2.004e+3,,
395.63,6.759e+3,6.759e+3,,
395.64,1.220e+4,1.220e+4,,
395.66,3.842e+4,3.842e+4,,
395.68,1.155e+5,1.155e+5,,
395.69,1.969e+5,1.969e+5,,
395.71,5.529e+5,5.529e+5,,
395.73,1.483e+6,1.483e+6,,
395.74,2.386e+6,2.386e+6,,
395.76,5.974e+6,5.974e+6,,
395.78,1.428e+7,1.428e+7,,
395.79,2.171e+7,2.171e+7,,
395.81,4.845e+7,4.845e+7,,
395.83,1.033e+8,1.033e+8,,
395.84,1.482e+8,1.482e+8,,
395.86,2.950e+8,2.950e+8,,
395.88,5.608e+8,5.608e+8,,
395.89,7.600e+8,7.600e+8,,
395.91,1.349e+9,1.349e+9,,
395.93,2.286e+9,2.286e+9,,
395.94,2.925e+9,2.925e+9,,
395.96,4.627e+9,4.627e+9,,
395.98,6.993e+9,6.993e+9,,
395.99,8.450e+9,8.450e+9,,
396.01,1.192e+10,1.192e+10,,
396.03,1.606e+10,1.606e+10,,
396.04,1.833e+10,1.833e+10,,
396.06,2.305e+10,2.305e+10,,
396.08,2.769e+10,2.769e+10,,
396.1,3.178e+10,3.178e+10,,
396.11,3.346e+10,3.346e+10,,
396.13,3.585e+10,3.585e+10,,
396.15,3.668e+10,3.668e+10,,
