Wavelength (nm),Sum(calc),Nd I (3.8e-3),Nd II (8.9e-1)
531.714,2.931e-2,,2.931e-2
531.722,1.297e-1,,1.297e-1
531.730,5.482e-1,,5.482e-1
531.738,2.215e+0,,2.215e+0
531.747,1.010e+1,,1.010e+1
531.755,3.706e+1,,3.706e+1
531.763,1.300e+2,,1.300e+2
531.771,4.360e+2,,4.360e+2
531.779,1.397e+3,,1.397e+3
531.787,4.280e+3,,4.280e+3
531.795,1.253e+4,,1.253e+4
531.803,3.506e+4,,3.506e+4
531.812,1.057e+5,,1.057e+5
531.820,2.686e+5,,2.686e+5
531.828,6.526e+5,,6.526e+5
531.836,1.515e+6,,1.515e+6
531.844,3.363e+6,,3.363e+6
531.852,7.133e+6,,7.133e+6
531.860,1.446e+7,,1.446e+7
531.869,3.034e+7,,3.034e+7
531.877,5.587e+7,,5.587e+7
531.885,9.833e+7,,9.833e+7
531.893,1.654e+8,,1.654e+8
531.901,2.660e+8,,2.660e+8
531.909,4.087e+8,,4.087e+8
531.917,6.004e+8,,6.004e+8
531.925,8.428e+8,,8.428e+8
531.934,1.169e+9,,1.169e+9
531.942,1.491e+9,,1.491e+9
531.950,1.818e+9,,1.818e+9
531.958,2.117e+9,,2.117e+9
531.966,2.357e+9,,2.357e+9
531.974,2.509e+9,,2.509e+9
531.982,2.552e+9,,2.552e+9
531.990,2.481e+9,,2.481e+9
531.999,2.276e+9,,2.276e+9
532.007,2.010e+9,,2.010e+9
532.015,1.697e+9,,1.697e+9
532.023,1.369e+9,,1.369e+9
532.031,1.055e+9,,1.055e+9
532.039,7.776e+8,,7.776e+8
532.047,5.477e+8,,5.477e+8
532.055,3.687e+8,,3.687e+8
532.064,2.238e+8,,2.238e+8
532.072,1.368e+8,,1.368e+8
532.080,7.997e+7,,7.997e+7
532.088,4.467e+7,,4.467e+7
532.096,2.385e+7,,2.385e+7
532.104,1.217e+7,,1.217e+7
532.112,5.936e+6,,5.936e+6
532.121,2.507e+6,,2.507e+6
532.129,1.111e+6,,1.111e+6
532.137,4.703e+5,,4.703e+5
532.145,1.904e+5,,1.904e+5
532.153,7.363e+4,,7.363e+4
532.161,2.722e+4,,2.722e+4
532.169,9.619e+3,,9.619e+3
532.177,3.249e+3,,3.249e+3
532.186,9.076e+2,,9.076e+2
532.194,2.784e+2,,2.784e+2
532.202,8.164e+1,,8.164e+1
532.210,2.288e+1,,2.288e+1
532.218,6.129e+0,,6.129e+0
532.226,1.569e+0,,1.569e+0
532.234,3.839e-1,,3.839e-1
532.242,8.979e-2,,8.979e-2
532.251,1.659e-2,,1.659e-2
532.259,3.524e-3,,3.524e-3
532.267,7.156e-4,,7.156e-4
532.275,1.389e-4,,1.389e-4
532.283,2.576e-5,,2.576e-5
532.291,4.567e-6,,4.567e-6
532.299,7.738e-7,,7.738e-7
535.372,9.049e-8,,9.049e-8
535.380,5.418e-7,,5.418e-7
535.388,3.103e-6,,3.103e-6
535.396,1.699e-5,,1.699e-5
535.405,1.091e-4,,1.091e-4
535.413,5.437e-4,,5.437e-4
535.421,2.590e-3,,2.590e-3
535.429,1.180e-2,,1.180e-2
