Wavelength (nm),Sum(calc),Nd I (3.8e-3),Nd II (8.9e-1)
383.044,1.978e+4,,1.978e+4
383.052,4.634e+3,,4.634e+3
383.060,9.948e+2,,9.948e+2
383.068,1.957e+2,,1.957e+2
383.076,3.528e+1,,3.528e+1
383.084,5.829e+0,,5.829e+0
383.093,6.928e-1,,6.928e-1
383.101,9.507e-2,,9.507e-2
383.109,1.196e-2,,1.196e-2
383.117,1.378e-3,,1.378e-3
383.125,1.455e-4,,1.455e-4
383.133,1.409e-5,,1.409e-5
383.141,1.250e-6,,1.250e-6
383.418,6.018e-8,,6.018e-8
383.426,7.575e-7,,7.575e-7
383.434,8.741e-6,,8.741e-6
383.442,9.247e-5,,9.247e-5
383.450,8.968e-4,,8.968e-4
383.458,7.972e-3,,7.972e-3
383.467,8.394e-2,,8.394e-2
383.475,6.203e-1,,6.203e-1
383.483,4.202e+0,,4.202e+0
383.491,2.610e+1,,2.610e+1
383.499,1.486e+2,,1.486e+2
383.507,7.753e+2,,7.753e+2
383.515,3.709e+3,,3.709e+3
383.523,1.627e+4,,1.627e+4
383.532,7.735e+4,,7.735e+4
383.540,2.820e+5,,2.820e+5
383.548,9.425e+5,,9.425e+5
383.556,2.888e+6,,2.888e+6
383.564,8.110e+6,,8.110e+6
383.572,2.088e+7,,2.088e+7
383.580,4.928e+7,,4.928e+7
383.588,1.066e+8,,1.066e+8
383.597,2.290e+8,,2.290e+8
383.605,4.119e+8,,4.119e+8
383.613,6.790e+8,,6.790e+8
383.621,1.026e+9,,1.026e+9
383.629,1.422e+9,,1.422e+9
383.637,1.806e+9,,1.806e+9
383.645,2.103e+9,,2.103e+9
383.654,2.249e+9,,2.249e+9
383.662,2.177e+9,,2.177e+9
383.670,1.932e+9,,1.932e+9
383.678,1.572e+9,,1.572e+9
383.686,1.172e+9,,1.172e+9
383.694,8.023e+8,,8.023e+8
383.702,5.056e+8,,5.056e+8
383.710,2.978e+8,,2.978e+8
383.719,1.642e+8,,1.642e+8
383.727,1.198e+8,,1.198e+8
383.735,1.336e+8,,1.336e+8
383.743,1.995e+8,,1.995e+8
383.751,3.139e+8,,3.139e+8
383.759,4.692e+8,,4.692e+8
383.767,6.485e+8,,6.485e+8
383.775,8.232e+8,,8.232e+8
383.784,9.713e+8,,9.713e+8
383.792,1.027e+9,,1.027e+9
383.800,9.996e+8,,9.996e+8
383.808,9.016e+8,,9.016e+8
383.816,7.705e+8,,7.705e+8
383.824,6.612e+8,,6.612e+8
383.832,6.370e+8,,6.370e+8
383.840,7.619e+8,,7.619e+8
383.849,1.147e+9,,1.147e+9
383.857,1.734e+9,,1.734e+9
383.865,2.526e+9,,2.526e+9
383.873,3.432e+9,,3.432e+9
383.881,4.300e+9,,4.300e+9
383.889,4.947e+9,,4.947e+9
383.897,5.222e+9,,5.222e+9
383.906,5.003e+9,,5.003e+9
383.914,4.392e+9,,4.392e+9
383.922,3.535e+9,,3.535e+9
383.930,2.608e+9,,2.608e+9
383.938,1.764e+9,,1.764e+9
383.946,1.094e+9,,1.094e+9
383.954,6.222e+8,,6.222e+8
383.962,3.244e+8,,3.244e+8
383.971,1.405e+8,,1.405e+8
383.979,6.091e+7,,6.091e+7
383.987,2.421e+7,,2.421e+7
383.995,8.819e+6,,8.819e+6
384.003,2.946e+6,,2.946e+6
384.011,9.022e+5,,9.022e+5
384.019,2.533e+5,,2.533e+5
384.027,6.521e+4,,6.521e+4
384.036,1.277e+4,,1.277e+4
384.044,2.733e+3,,2.733e+3
384.052,5.363e+2,,5.363e+2
384.060,9.649e+1,,9.649e+1
384.068,1.591e+1,,1.591e+1
384.076,2.407e+0,,2.407e+0
384.084,3.336e-1,,3.336e-1
384.092,4.241e-2,,4.241e-2
384.101,3.755e-3,,3.755e-3
384.109,3.968e-4,,3.968e-4
384.117,3.845e-5,,3.845e-5
384.125,3.415e-6,,3.415e-6
384.588,2.685e-7,,2.685e-7
384.596,3.410e-6,,3.410e-6
384.605,5.124e-5,,5.124e-5
384.613,5.199e-4,,5.199e-4
384.621,4.841e-3,,4.841e-3
384.629,4.137e-2,,4.137e-2
384.637,3.244e-1,,3.244e-1
384.645,2.335e+0,,2.335e+0
384.653,1.542e+1,,1.542e+1
384.662,1.164e+2,,1.164e+2
384.670,6.412e+2,,6.412e+2
384.678,3.241e+3,,3.241e+3
384.686,1.504e+4,,1.504e+4
384.694,6.409e+4,,6.409e+4
384.702,2.507e+5,,2.507e+5
384.710,9.007e+5,,9.007e+5
384.718,2.972e+6,,2.972e+6
384.727,1.028e+7,,1.028e+7
384.735,2.831e+7,,2.831e+7
384.743,7.162e+7,,7.162e+7
384.751,1.664e+8,,1.664e+8
384.759,3.554e+8,,3.554e+8
384.767,6.971e+8,,6.971e+8
384.775,1.257e+9,,1.257e+9
384.783,2.082e+9,,2.082e+9
384.792,3.322e+9,,3.322e+9
384.800,4.600e+9,,4.600e+9
384.808,5.855e+9,,5.855e+9
384.816,6.851e+9,,6.851e+9
384.824,7.370e+9,,7.370e+9
384.832,7.288e+9,,7.288e+9
384.840,6.626e+9,,6.626e+9
384.848,5.538e+9,,5.538e+9
384.857,4.093e+9,,4.093e+9
384.865,2.862e+9,,2.862e+9
384.873,1.839e+9,,1.839e+9
384.881,1.087e+9,,1.087e+9
384.889,5.902e+8,,5.902e+8
384.897,2.947e+8,,2.947e+8
384.905,1.352e+8,,1.352e+8
384.914,5.091e+7,,5.091e+7
384.922,1.953e+7,,1.953e+7
384.930,6.885e+6,,6.885e+6
384.938,2.230e+6,,2.230e+6
384.946,6.638e+5,,6.638e+5
384.954,1.815e+5,,1.815e+5
384.962,4.560e+4,,4.560e+4
384.970,1.052e+4,,1.052e+4
384.979,1.826e+3,,1.826e+3
384.987,3.527e+2,,3.527e+2
384.995,6.809e+1,,6.809e+1
385.003,4.569e+1,,4.569e+1
385.011,1.992e+2,,1.992e+2
385.019,1.008e+3,,1.008e+3
385.027,4.710e+3,,4.710e+3
385.035,2.020e+4,,2.020e+4
385.044,9.374e+4,,9.374e+4
385.052,3.347e+5,,3.347e+5
385.060,1.096e+6,,1.096e+6
385.068,3.293e+6,,3.293e+6
385.076,9.076e+6,,9.076e+6
385.084,2.295e+7,,2.295e+7
385.092,5.322e+7,,5.322e+7
385.100,1.132e+8,,1.132e+8
385.109,2.388e+8,,2.388e+8
385.117,4.229e+8,,4.229e+8
385.125,6.871e+8,,6.871e+8
385.133,1.024e+9,,1.024e+9
385.141,1.400e+9,,1.400e+9
385.149,1.756e+9,,1.756e+9
385.157,2.020e+9,,2.020e+9
385.166,2.134e+9,,2.134e+9
385.174,2.044e+9,,2.044e+9
385.182,1.796e+9,,1.796e+9
385.190,1.447e+9,,1.447e+9
385.198,1.070e+9,,1.070e+9
385.206,7.257e+8,,7.257e+8
385.214,4.515e+8,,4.515e+8
385.222,2.577e+8,,2.577e+8
385.231,1.237e+8,,1.237e+8
385.239,5.876e+7,,5.876e+7
385.247,2.561e+7,,2.561e+7
385.255,1.024e+7,,1.024e+7
385.263,3.756e+6,,3.756e+6
385.271,1.264e+6,,1.264e+6
385.279,3.900e+5,,3.900e+5
385.287,1.104e+5,,1.104e+5
385.296,2.409e+4,,2.409e+4
385.304,5.677e+3,,5.677e+3
385.312,1.227e+3,,1.227e+3
385.320,2.434e+2,,2.434e+2
385.328,4.429e+1,,4.429e+1
385.336,7.393e+0,,7.393e+0
385.344,1.132e+0,,1.132e+0
385.352,1.590e-1,,1.590e-1
385.361,1.576e-2,,1.576e-2
385.369,1.843e-3,,1.843e-3
385.377,1.976e-4,,1.976e-4
385.385,1.945e-5,,1.945e-5
385.393,1.755e-6,,1.755e-6
385.401,1.453e-7,,1.453e-7
385.621,9.370e-8,,9.370e-8
385.629,1.098e-6,,1.098e-6
385.637,1.180e-5,,1.180e-5
385.645,1.164e-4,,1.164e-4
385.653,1.054e-3,,1.054e-3
385.661,8.756e-3,,8.756e-3
385.669,6.675e-2,,6.675e-2
385.678,5.918e-1,,5.918e-1
385.686,3.758e+0,,3.758e+0
385.694,2.190e+1,,2.190e+1
385.702,1.171e+2,,1.171e+2
385.710,5.744e+2,,5.744e+2
385.718,2.586e+3,,2.586e+3
385.726,1.068e+4,,1.068e+4
385.735,4.755e+4,,4.755e+4
385.743,1.636e+5,,1.636e+5
385.751,5.167e+5,,5.167e+5
385.759,1.497e+6,,1.497e+6
385.767,3.981e+6,,3.981e+6
385.775,9.714e+6,,9.714e+6
385.783,2.175e+7,,2.175e+7
385.791,4.468e+7,,4.468e+7
385.800,9.064e+7,,9.064e+7
385.808,1.551e+8,,1.551e+8
385.816,2.436e+8,,2.436e+8
385.824,3.511e+8,,3.511e+8
385.832,4.642e+8,,4.642e+8
385.840,5.633e+8,,5.633e+8
385.848,6.272e+8,,6.272e+8
385.856,6.408e+8,,6.408e+8
385.865,5.924e+8,,5.924e+8
385.873,5.042e+8,,5.042e+8
385.881,3.938e+8,,3.938e+8
385.889,2.822e+8,,2.822e+8
385.897,1.856e+8,,1.856e+8
385.905,1.120e+8,,1.120e+8
385.913,6.202e+7,,6.202e+7
385.921,3.151e+7,,3.151e+7
385.930,1.328e+7,,1.328e+7
385.938,5.619e+6,,5.619e+6
385.946,2.183e+6,,2.183e+6
385.954,7.808e+5,,7.808e+5
385.962,2.668e+5,,2.668e+5
385.970,1.254e+5,,1.254e+5
385.978,1.990e+5,,1.990e+5
385.987,6.886e+5,,6.886e+5
385.995,2.068e+6,,2.068e+6
386.003,5.730e+6,,5.730e+6
386.011,1.458e+7,,1.458e+7
386.019,3.403e+7,,3.403e+7
386.027,7.292e+7,,7.292e+7
386.035,1.434e+8,,1.434e+8
386.043,2.588e+8,,2.588e+8
386.052,4.537e+8,,4.537e+8
386.060,6.822e+8,,6.822e+8
386.068,9.413e+8,,9.413e+8
386.076,1.192e+9,,1.192e+9
386.084,1.385e+9,,1.385e+9
386.092,1.477e+9,,1.477e+9
386.100,1.446e+9,,1.446e+9
386.108,1.299e+9,,1.299e+9
386.117,1.039e+9,,1.039e+9
386.125,7.775e+8,,7.775e+8
386.133,5.341e+8,,5.341e+8
386.141,3.368e+8,,3.368e+8
386.149,1.952e+8,,1.952e+8
386.157,1.050e+8,,1.050e+8
386.165,5.488e+7,,5.488e+7
386.173,3.415e+7,,3.415e+7
386.182,3.857e+7,,3.857e+7
386.190,6.806e+7,,6.806e+7
386.198,1.288e+8,,1.288e+8
386.206,2.308e+8,,2.308e+8
386.214,3.819e+8,,3.819e+8
386.222,5.809e+8,,5.809e+8
386.230,8.125e+8,,8.125e+8
386.239,1.075e+9,,1.075e+9
386.247,1.274e+9,,1.274e+9
386.255,1.420e+9,,1.420e+9
386.263,1.532e+9,,1.532e+9
386.271,1.679e+9,,1.679e+9
386.279,1.980e+9,,1.980e+9
386.287,2.572e+9,,2.572e+9
386.295,3.569e+9,,3.569e+9
386.304,5.201e+9,,5.201e+9
386.312,6.971e+9,,6.971e+9
386.320,8.761e+9,,8.761e+9
386.328,1.021e+10,,1.021e+10
386.336,1.098e+10,,1.098e+10
386.344,1.086e+10,,1.086e+10
386.352,9.891e+9,,9.891e+9
386.360,8.278e+9,,8.278e+9
386.369,6.126e+9,,6.126e+9
386.377,4.285e+9,,4.285e+9
386.385,2.754e+9,,2.754e+9
386.393,1.627e+9,,1.627e+9
386.401,8.825e+8,,8.825e+8
386.409,4.399e+8,,4.399e+8
386.417,2.014e+8,,2.014e+8
386.425,8.470e+7,,8.470e+7
386.434,2.888e+7,,2.888e+7
386.442,1.014e+7,,1.014e+7
386.450,3.268e+6,,3.268e+6
386.458,9.673e+5,,9.673e+5
386.466,2.630e+5,,2.630e+5
386.474,6.565e+4,,6.565e+4
386.482,1.505e+4,,1.505e+4
386.491,2.591e+3,,2.591e+3
386.499,4.956e+2,,4.956e+2
386.507,8.903e+1,,8.903e+1
386.515,2.665e+1,,2.665e+1
386.523,7.211e+1,,7.211e+1
386.531,3.565e+2,,3.565e+2
386.539,1.663e+3,,1.663e+3
386.547,7.128e+3,,7.128e+3
386.556,3.308e+4,,3.308e+4
386.564,1.182e+5,,1.182e+5
386.572,3.876e+5,,3.876e+5
386.580,1.167e+6,,1.167e+6
386.588,3.226e+6,,3.226e+6
386.596,8.183e+6,,8.183e+6
386.604,1.906e+7,,1.906e+7
386.612,4.074e+7,,4.074e+7
386.621,8.645e+7,,8.645e+7
386.629,1.541e+8,,1.541e+8
386.637,2.521e+8,,2.521e+8
386.645,3.785e+8,,3.785e+8
386.653,5.218e+8,,5.218e+8
386.661,6.603e+8,,6.603e+8
386.669,7.671e+8,,7.671e+8
386.677,8.179e+8,,8.179e+8
386.686,7.937e+8,,7.937e+8
386.694,7.055e+8,,7.055e+8
386.702,5.757e+8,,5.757e+8
386.710,4.313e+8,,4.313e+8
386.718,2.965e+8,,2.965e+8
386.726,1.872e+8,,1.872e+8
386.734,1.085e+8,,1.085e+8
386.743,5.299e+7,,5.299e+7
386.751,2.559e+7,,2.559e+7
386.759,1.135e+7,,1.135e+7
386.767,4.627e+6,,4.627e+6
386.775,1.760e+6,,1.760e+6
386.783,7.240e+5,,7.240e+5
386.791,6.526e+5,,6.526e+5
386.799,1.565e+6,,1.565e+6
386.808,5.132e+6,,5.132e+6
386.816,1.384e+7,,1.384e+7
386.824,3.432e+7,,3.432e+7
386.832,7.815e+7,,7.815e+7
386.840,1.634e+8,,1.634e+8
386.848,3.136e+8,,3.136e+8
386.856,5.526e+8,,5.526e+8
386.864,8.939e+8,,8.939e+8
386.873,1.386e+9,,1.386e+9
386.881,1.870e+9,,1.870e+9
386.889,2.316e+9,,2.316e+9
386.897,2.633e+9,,2.633e+9
386.905,2.748e+9,,2.748e+9
386.913,2.633e+9,,2.633e+9
386.921,2.316e+9,,2.316e+9
386.929,1.870e+9,,1.870e+9
386.938,1.328e+9,,1.328e+9
386.946,8.939e+8,,8.939e+8
386.954,5.526e+8,,5.526e+8
386.962,3.136e+8,,3.136e+8
386.970,1.634e+8,,1.634e+8
386.978,7.815e+7,,7.815e+7
386.986,3.432e+7,,3.432e+7
386.995,1.227e+7,,1.227e+7
387.003,4.494e+6,,4.494e+6
387.011,1.511e+6,,1.511e+6
387.019,4.662e+5,,4.662e+5
387.027,1.321e+5,,1.321e+5
387.035,3.435e+4,,3.435e+4
387.043,8.203e+3,,8.203e+3
387.051,1.798e+3,,1.798e+3
387.060,2.944e+2,,2.944e+2
387.068,5.380e+1,,5.380e+1
387.076,9.028e+0,,9.028e+0
387.084,1.391e+0,,1.391e+0
387.092,1.967e-1,,1.967e-1
387.100,2.554e-2,,2.554e-2
387.108,3.044e-3,,3.044e-3
387.116,3.331e-4,,3.331e-4
387.125,2.496e-5,,2.496e-5
387.133,2.277e-6,,2.277e-6
387.141,1.908e-7,,1.908e-7
387.336,7.851e-8,,7.851e-8
387.344,9.292e-7,,9.292e-7
387.352,1.045e-5,,1.045e-5
387.360,1.048e-4,,1.048e-4
387.368,9.670e-4,,9.670e-4
387.377,1.065e-2,,1.065e-2
387.385,8.210e-2,,8.210e-2
387.393,5.822e-1,,5.822e-1
387.401,3.796e+0,,3.796e+0
387.409,2.277e+1,,2.277e+1
387.417,1.256e+2,,1.256e+2
387.425,6.380e+2,,6.380e+2
387.433,2.982e+3,,2.982e+3
387.442,1.531e+4,,1.531e+4
387.450,6.007e+4,,6.007e+4
387.458,2.171e+5,,2.171e+5
387.466,7.230e+5,,7.230e+5
387.474,2.220e+6,,2.220e+6
387.482,6.285e+6,,6.285e+6
387.490,1.641e+7,,1.641e+7
387.499,4.390e+7,,4.390e+7
387.507,9.667e+7,,9.667e+7
387.515,1.965e+8,,1.965e+8
387.523,3.688e+8,,3.688e+8
387.531,6.391e+8,,6.391e+8
387.539,1.023e+9,,1.023e+9
387.547,1.511e+9,,1.511e+9
387.555,2.062e+9,,2.062e+9
387.564,2.659e+9,,2.659e+9
387.572,3.061e+9,,3.061e+9
387.580,3.251e+9,,3.251e+9
387.588,3.186e+9,,3.186e+9
387.596,2.880e+9,,2.880e+9
387.604,2.400e+9,,2.400e+9
387.612,1.844e+9,,1.844e+9
387.620,1.305e+9,,1.305e+9
387.629,8.018e+8,,8.018e+8
387.637,4.764e+8,,4.764e+8
387.645,2.606e+8,,2.606e+8
387.653,1.312e+8,,1.312e+8
387.661,6.076e+7,,6.076e+7
387.669,2.589e+7,,2.589e+7
387.677,1.015e+7,,1.015e+7
387.685,3.656e+6,,3.656e+6
387.694,1.049e+6,,1.049e+6
387.702,3.163e+5,,3.163e+5
387.710,8.886e+4,,8.886e+4
387.718,2.837e+4,,2.837e+4
387.726,3.105e+4,,3.105e+4
387.734,1.019e+5,,1.019e+5
387.742,3.614e+5,,3.614e+5
387.751,1.371e+6,,1.371e+6
387.759,4.101e+6,,4.101e+6
387.767,1.126e+7,,1.126e+7
387.775,2.842e+7,,2.842e+7
387.783,6.584e+7,,6.584e+7
387.791,1.401e+8,,1.401e+8
387.799,2.738e+8,,2.738e+8
387.807,4.915e+8,,4.915e+8
387.816,8.573e+8,,8.573e+8
387.824,1.284e+9,,1.284e+9
387.832,1.767e+9,,1.767e+9
387.840,2.234e+9,,2.234e+9
387.848,2.594e+9,,2.594e+9
387.856,2.769e+9,,2.769e+9
387.864,2.723e+9,,2.723e+9
387.872,2.477e+9,,2.477e+9
387.881,2.065e+9,,2.065e+9
387.889,1.706e+9,,1.706e+9
387.897,1.474e+9,,1.474e+9
387.905,1.456e+9,,1.456e+9
387.913,1.692e+9,,1.692e+9
387.921,2.156e+9,,2.156e+9
387.929,2.762e+9,,2.762e+9
387.937,3.377e+9,,3.377e+9
387.946,3.892e+9,,3.892e+9
387.954,4.062e+9,,4.062e+9
387.962,3.917e+9,,3.917e+9
387.970,3.505e+9,,3.505e+9
387.978,2.950e+9,,2.950e+9
387.986,2.405e+9,,2.405e+9
387.994,2.003e+9,,2.003e+9
388.003,1.825e+9,,1.825e+9
388.011,1.929e+9,,1.929e+9
388.019,2.245e+9,,2.245e+9
388.027,2.709e+9,,2.709e+9
388.035,3.255e+9,,3.255e+9
388.043,3.817e+9,,3.817e+9
388.051,4.329e+9,,4.329e+9
388.059,4.718e+9,,4.718e+9
388.068,4.915e+9,,4.915e+9
388.076,4.809e+9,,4.809e+9
388.084,4.422e+9,,4.422e+9
388.092,3.797e+9,,3.797e+9
388.100,3.029e+9,,3.029e+9
388.108,2.238e+9,,2.238e+9
388.116,1.527e+9,,1.527e+9
388.124,9.601e+8,,9.601e+8
388.133,5.162e+8,,5.162e+8
388.141,2.721e+8,,2.721e+8
388.149,1.319e+8,,1.319e+8
388.157,5.875e+7,,5.875e+7
388.165,2.405e+7,,2.405e+7
388.173,9.044e+6,,9.044e+6
388.181,3.125e+6,,3.125e+6
388.189,9.918e+5,,9.918e+5
388.198,2.464e+5,,2.464e+5
388.206,6.529e+4,,6.529e+4
388.214,1.589e+4,,1.589e+4
388.222,3.553e+3,,3.553e+3
388.230,7.297e+2,,7.297e+2
388.238,1.376e+2,,1.376e+2
388.246,2.385e+1,,2.385e+1
388.254,3.795e+0,,3.795e+0
388.263,4.336e-1,,4.336e-1
388.271,5.761e-2,,5.761e-2
388.279,7.030e-3,,7.030e-3
388.287,7.879e-4,,7.879e-4
388.295,8.112e-5,,8.112e-5
388.303,7.670e-6,,7.670e-6
388.311,6.662e-7,,6.662e-7
388.547,4.001e-8,,4.001e-8
388.555,4.865e-7,,4.865e-7
388.563,5.436e-6,,5.436e-6
388.572,7.421e-5,,7.421e-5
388.580,6.925e-4,,6.925e-4
388.588,5.938e-3,,5.938e-3
388.596,4.678e-2,,4.678e-2
388.604,3.386e-1,,3.386e-1
388.612,2.252e+0,,2.252e+0
388.620,1.376e+1,,1.376e+1
388.628,7.727e+1,,7.727e+1
388.637,4.864e+2,,4.864e+2
388.645,2.281e+3,,2.281e+3
388.653,9.831e+3,,9.831e+3
388.661,3.892e+4,,3.892e+4
388.669,1.416e+5,,1.416e+5
388.677,4.733e+5,,4.733e+5
388.685,1.454e+6,,1.454e+6
388.693,4.101e+6,,4.101e+6
388.702,1.191e+7,,1.191e+7
388.710,2.807e+7,,2.807e+7
388.718,6.078e+7,,6.078e+7
388.726,1.209e+8,,1.209e+8
388.734,2.211e+8,,2.211e+8
388.742,3.714e+8,,3.714e+8
388.750,5.732e+8,,5.732e+8
388.758,8.129e+8,,8.129e+8
388.767,1.088e+9,,1.088e+9
388.775,1.289e+9,,1.289e+9
388.783,1.403e+9,,1.403e+9
388.791,1.403e+9,,1.403e+9
388.799,1.289e+9,,1.289e+9
388.807,1.088e+9,,1.088e+9
388.815,8.441e+8,,8.441e+8
388.824,5.732e+8,,5.732e+8
388.832,3.714e+8,,3.714e+8
388.840,2.211e+8,,2.211e+8
388.848,1.210e+8,,1.210e+8
388.856,6.099e+7,,6.099e+7
388.864,2.872e+7,,2.872e+7
388.872,1.377e+7,,1.377e+7
388.880,9.626e+6,,9.626e+6
388.889,1.535e+7,,1.535e+7
388.897,3.277e+7,,3.277e+7
388.905,7.074e+7,,7.074e+7
388.913,1.454e+8,,1.454e+8
388.921,2.819e+8,,2.819e+8
388.929,5.146e+8,,5.146e+8
388.937,8.830e+8,,8.830e+8
388.945,1.420e+9,,1.420e+9
388.954,2.237e+9,,2.237e+9
388.962,3.110e+9,,3.110e+9
388.970,4.026e+9,,4.026e+9
388.978,4.858e+9,,4.858e+9
388.986,5.483e+9,,5.483e+9
388.994,5.838e+9,,5.838e+9
389.002,5.966e+9,,5.966e+9
389.010,6.007e+9,,6.007e+9
389.019,6.185e+9,,6.185e+9
389.027,6.628e+9,,6.628e+9
389.035,7.376e+9,,7.376e+9
389.043,8.325e+9,,8.325e+9
389.051,9.279e+9,,9.279e+9
389.059,1.002e+10,,1.002e+10
389.067,1.039e+10,,1.039e+10
389.076,1.028e+10,,1.028e+10
389.084,9.741e+9,,9.741e+9
389.092,8.900e+9,,8.900e+9
389.100,7.887e+9,,7.887e+9
389.108,6.850e+9,,6.850e+9
389.116,5.918e+9,,5.918e+9
389.124,5.174e+9,,5.174e+9
389.132,4.631e+9,,4.631e+9
389.141,4.189e+9,,4.189e+9
389.149,3.837e+9,,3.837e+9
389.157,3.429e+9,,3.429e+9
389.165,2.927e+9,,2.927e+9
389.173,2.350e+9,,2.350e+9
389.181,1.756e+9,,1.756e+9
389.189,1.215e+9,,1.215e+9
389.197,7.758e+8,,7.758e+8
389.206,4.244e+8,,4.244e+8
389.214,2.272e+8,,2.272e+8
389.222,1.119e+8,,1.119e+8
389.230,5.063e+7,,5.063e+7
389.238,2.106e+7,,2.106e+7
389.246,8.051e+6,,8.051e+6
389.254,2.828e+6,,2.828e+6
389.262,9.132e+5,,9.132e+5
389.271,2.314e+5,,2.314e+5
389.279,6.243e+4,,6.243e+4
389.287,1.548e+4,,1.548e+4
389.295,3.550e+3,,3.550e+3
389.303,8.726e+2,,8.726e+2
389.311,8.314e+2,,8.314e+2
389.319,3.275e+3,,3.275e+3
389.328,1.682e+4,,1.682e+4
389.336,6.625e+4,,6.625e+4
389.344,2.399e+5,,2.399e+5
389.352,7.986e+5,,7.986e+5
389.360,2.443e+6,,2.443e+6
389.368,6.869e+6,,6.869e+6
389.376,1.775e+7,,1.775e+7
389.384,4.216e+7,,4.216e+7
389.393,1.008e+8,,1.008e+8
389.401,2.002e+8,,2.002e+8
389.409,3.652e+8,,3.652e+8
389.417,6.124e+8,,6.124e+8
389.425,9.438e+8,,9.438e+8
389.433,1.337e+9,,1.337e+9
389.441,1.740e+9,,1.740e+9
389.449,2.082e+9,,2.082e+9
389.458,2.303e+9,,2.303e+9
389.466,2.303e+9,,2.303e+9
389.474,2.116e+9,,2.116e+9
389.482,1.788e+9,,1.788e+9
389.490,1.388e+9,,1.388e+9
389.498,9.904e+8,,9.904e+8
389.506,6.498e+8,,6.498e+8
389.514,3.926e+8,,3.926e+8
389.523,2.039e+8,,2.039e+8
389.531,1.102e+8,,1.102e+8
389.539,6.828e+7,,6.828e+7
389.547,6.549e+7,,6.549e+7
389.555,9.639e+7,,9.639e+7
389.563,1.610e+8,,1.610e+8
389.571,2.606e+8,,2.606e+8
389.580,4.102e+8,,4.102e+8
389.588,5.625e+8,,5.625e+8
389.596,7.092e+8,,7.092e+8
389.604,8.219e+8,,8.219e+8
389.612,8.756e+8,,8.756e+8
389.620,8.573e+8,,8.573e+8
389.628,7.716e+8,,7.716e+8
389.636,6.382e+8,,6.382e+8
389.645,4.661e+8,,4.661e+8
389.653,3.223e+8,,3.223e+8
389.661,2.049e+8,,2.049e+8
389.669,1.197e+8,,1.197e+8
389.677,6.426e+7,,6.426e+7
389.685,3.171e+7,,3.171e+7
389.693,1.438e+7,,1.438e+7
389.701,5.997e+6,,5.997e+6
389.710,2.027e+6,,2.027e+6
389.718,7.063e+5,,7.063e+5
389.726,2.263e+5,,2.263e+5
389.734,6.662e+4,,6.662e+4
389.742,1.803e+4,,1.803e+4
389.750,4.485e+3,,4.485e+3
389.758,1.025e+3,,1.025e+3
389.766,2.155e+2,,2.155e+2
389.775,3.369e+1,,3.369e+1
389.783,5.918e+0,,5.918e+0
389.791,9.556e-1,,9.556e-1
389.799,1.419e-1,,1.419e-1
389.807,1.979e-2,,1.979e-2
389.815,6.559e-3,,6.559e-3
389.823,3.524e-2,,3.524e-2
389.832,3.493e-1,,3.493e-1
389.840,2.471e+0,,2.471e+0
389.848,1.607e+1,,1.607e+1
389.856,9.604e+1,,9.604e+1
389.864,5.278e+2,,5.278e+2
389.872,2.667e+3,,2.667e+3
389.880,1.238e+4,,1.238e+4
389.888,5.288e+4,,5.288e+4
389.897,2.448e+5,,2.448e+5
389.905,8.740e+5,,8.740e+5
389.913,2.869e+6,,2.869e+6
389.921,8.656e+6,,8.656e+6
389.929,2.401e+7,,2.401e+7
389.937,6.123e+7,,6.123e+7
389.945,1.435e+8,,1.435e+8
389.953,3.093e+8,,3.093e+8
389.962,6.636e+8,,6.636e+8
389.970,1.196e+9,,1.196e+9
389.978,1.981e+9,,1.981e+9
389.986,3.018e+9,,3.018e+9
389.994,4.226e+9,,4.226e+9
390.002,5.439e+9,,5.439e+9
390.010,6.436e+9,,6.436e+9
390.018,7.001e+9,,7.001e+9
390.027,6.960e+9,,6.960e+9
390.035,6.331e+9,,6.331e+9
390.043,5.294e+9,,5.294e+9
390.051,4.070e+9,,4.070e+9
390.059,2.877e+9,,2.877e+9
390.067,1.869e+9,,1.869e+9
390.075,1.116e+9,,1.116e+9
390.084,5.653e+8,,5.653e+8
390.092,2.823e+8,,2.823e+8
390.100,1.296e+8,,1.296e+8
390.108,5.472e+7,,5.472e+7
390.116,2.123e+7,,2.123e+7
390.124,7.575e+6,,7.575e+6
390.132,2.484e+6,,2.484e+6
390.140,7.489e+5,,7.489e+5
390.149,1.757e+5,,1.757e+5
390.157,4.431e+4,,4.431e+4
390.165,1.027e+4,,1.027e+4
390.173,2.188e+3,,2.188e+3
390.181,4.285e+2,,4.285e+2
390.189,7.716e+1,,7.716e+1
390.197,1.277e+1,,1.277e+1
390.205,1.944e+0,,1.944e+0
390.214,2.114e-1,,2.114e-1
390.222,2.690e-2,,2.690e-2
390.230,3.147e-3,,3.147e-3
390.238,3.384e-4,,3.384e-4
390.246,3.345e-5,,3.345e-5
390.254,3.041e-6,,3.041e-6
390.344,5.912e-8,,5.912e-8
390.352,7.250e-7,,7.250e-7
390.360,8.176e-6,,8.176e-6
390.368,8.477e-5,,8.477e-5
390.376,8.082e-4,,8.082e-4
390.384,7.085e-3,,7.085e-3
390.392,5.712e-2,,5.712e-2
390.401,5.407e-1,,5.407e-1
390.409,3.647e+0,,3.647e+0
390.417,2.262e+1,,2.262e+1
390.425,1.290e+2,,1.290e+2
390.433,6.764e+2,,6.764e+2
