Wavelength (nm),Sum(calc),Si I (1.1e-1),Si II (8.9e-1),Si III (7.3e-4)
243.645,2.151e-3,2.151e-3,1.938e-12,1.763e-20
243.650,2.303e-4,2.303e-4,1.937e-12,1.760e-20
243.655,2.266e-5,2.266e-5,1.935e-12,1.756e-20
243.660,2.049e-6,2.049e-6,1.934e-12,1.753e-20
243.665,1.704e-7,1.704e-7,1.932e-12,1.749e-20
243.670,1.302e-8,1.302e-8,1.931e-12,1.745e-20
243.835,1.885e-12,1.280e-8,1.885e-12,1.627e-20
243.840,2.612e-11,1.279e-8,2.612e-11,1.623e-20
243.845,3.328e-10,1.278e-8,3.328e-10,1.619e-20
243.850,3.898e-9,1.278e-8,3.898e-9,1.616e-20
243.855,4.198e-8,1.277e-8,4.198e-8,1.612e-20
243.860,4.158e-7,1.276e-8,4.158e-7,1.609e-20
243.865,3.786e-6,1.276e-8,3.786e-6,1.605e-20
243.870,3.169e-5,1.275e-8,3.169e-5,1.601e-20
243.875,2.440e-4,1.274e-8,2.440e-4,1.598e-20
243.880,1.727e-3,1.274e-8,1.727e-3,1.594e-20
243.885,1.123e-2,1.273e-8,1.123e-2,1.591e-20
243.890,6.722e-2,1.272e-8,6.722e-2,1.587e-20
243.895,3.698e-1,1.272e-8,3.698e-1,1.583e-20
243.900,1.870e+0,1.271e-8,1.870e+0,1.580e-20
243.905,8.697e+0,1.270e-8,8.697e+0,1.576e-20
243.910,3.719e+1,1.270e-8,3.719e+1,1.573e-20
243.915,1.462e+2,1.269e-8,1.462e+2,1.569e-20
243.920,5.285e+2,1.268e-8,5.285e+2,1.565e-20
243.925,1.756e+3,1.268e-8,1.756e+3,1.562e-20
243.930,5.367e+3,1.267e-8,5.367e+3,1.558e-20
243.935,1.508e+4,1.266e-8,1.508e+4,1.555e-20
243.940,3.895e+4,1.266e-8,3.895e+4,1.551e-20
243.945,9.252e+4,1.265e-8,9.252e+4,1.547e-20
243.950,2.020e+5,1.264e-8,2.020e+5,1.544e-20
243.955,4.057e+5,1.264e-8,4.057e+5,1.540e-20
243.960,7.489e+5,1.263e-8,7.489e+5,1.537e-20
243.965,1.271e+6,1.262e-8,1.271e+6,1.533e-20
243.970,1.984e+6,1.262e-8,1.984e+6,1.529e-20
243.975,2.847e+6,1.261e-8,2.847e+6,1.526e-20
243.980,3.756e+6,1.260e-8,3.756e+6,1.522e-20
243.985,4.557e+6,1.260e-8,4.557e+6,1.519e-20
243.990,5.082e+6,1.259e-8,5.082e+6,1.515e-20
243.995,5.212e+6,1.258e-8,5.212e+6,1.511e-20
244.000,4.915e+6,1.258e-8,4.915e+6,1.508e-20
244.005,4.261e+6,1.257e-8,4.261e+6,1.504e-20
244.010,3.396e+6,1.256e-8,3.396e+6,1.501e-20
244.015,2.489e+6,1.256e-8,2.489e+6,1.497e-20
244.020,1.677e+6,1.255e-8,1.677e+6,1.493e-20
244.025,1.039e+6,1.254e-8,1.039e+6,1.490e-20
244.030,5.920e+5,1.254e-8,5.920e+5,1.486e-20
244.035,3.101e+5,1.253e-8,3.101e+5,1.483e-20
244.040,1.493e+5,1.252e-8,1.493e+5,1.479e-20
244.045,6.612e+4,1.252e-8,6.612e+4,1.475e-20
244.050,2.692e+4,1.251e-8,2.692e+4,1.472e-20
244.055,1.008e+4,1.250e-8,1.008e+4,1.468e-20
244.060,3.468e+3,1.250e-8,3.468e+3,1.465e-20
244.065,1.097e+3,1.249e-8,1.097e+3,1.461e-20
244.070,3.193e+2,1.248e-8,3.193e+2,1.457e-20
244.075,8.541e+1,1.248e-8,8.541e+1,1.454e-20
244.080,2.101e+1,1.247e-8,2.101e+1,1.450e-20
244.085,4.751e+0,1.246e-8,4.751e+0,1.447e-20
244.090,9.878e-1,1.246e-8,9.878e-1,1.443e-20
244.095,1.889e-1,1.245e-8,1.889e-1,1.439e-20
244.100,3.320e-2,1.244e-8,3.320e-2,1.436e-20
