Wavelength (nm),Sum(calc),Ni I (6.8e-2),Ni II (9.3e-1),Ni III (6.9e-4)
204.789,2.917e+5,2.917e+5,,
204.794,7.400e+4,7.400e+4,,
204.799,1.666e+4,1.666e+4,,
204.804,3.329e+3,3.329e+3,,
204.809,5.904e+2,5.904e+2,,
204.814,9.293e+1,9.293e+1,,
204.819,1.298e+1,1.298e+1,,
204.824,1.610e+0,1.610e+0,,
204.829,1.772e-1,1.772e-1,,
204.834,1.731e-2,1.731e-2,,
204.839,1.500e-3,1.500e-3,,
204.844,1.154e-4,1.154e-4,,
204.849,7.884e-6,7.884e-6,,
204.854,4.779e-7,4.779e-7,,
204.859,2.571e-8,2.571e-8,,
204.864,1.228e-9,1.228e-9,,
204.869,5.203e-11,5.203e-11,,
205.074,2.279e-10,2.279e-10,,
205.079,5.055e-9,5.055e-9,,
205.084,9.955e-8,9.955e-8,,
205.089,1.741e-6,1.741e-6,,
205.094,2.704e-5,2.704e-5,,
205.099,3.729e-4,3.729e-4,,
205.105,7.432e-3,7.432e-3,,
205.110,7.893e-2,7.893e-2,,
205.115,7.445e-1,7.445e-1,,
205.120,6.236e+0,6.236e+0,,
205.125,4.639e+1,4.639e+1,,
205.130,3.064e+2,3.064e+2,,
205.135,1.797e+3,1.797e+3,,
205.140,9.363e+3,9.363e+3,,
205.145,4.331e+4,4.331e+4,,
205.150,1.779e+5,1.779e+5,,
205.155,6.491e+5,6.491e+5,,
205.160,2.103e+6,2.103e+6,,
205.165,6.051e+6,6.051e+6,,
205.170,1.546e+7,1.546e+7,,
205.175,3.507e+7,3.507e+7,,
205.180,7.067e+7,7.067e+7,,
205.185,1.264e+8,1.264e+8,,
205.190,2.009e+8,2.009e+8,,
205.195,2.835e+8,2.835e+8,,
205.200,3.552e+8,3.552e+8,,
205.205,3.953e+8,3.953e+8,,
205.210,3.906e+8,3.906e+8,,
205.215,3.428e+8,3.428e+8,,
205.220,2.672e+8,2.672e+8,,
205.225,1.849e+8,1.849e+8,,
205.230,1.136e+8,1.136e+8,,
205.235,6.202e+7,6.202e+7,,
205.240,3.006e+7,3.006e+7,,
205.245,1.294e+7,1.294e+7,,
205.250,4.945e+6,4.945e+6,,
205.255,1.678e+6,1.678e+6,,
205.260,5.059e+5,5.059e+5,,
205.265,1.354e+5,1.354e+5,,
205.270,3.219e+4,3.219e+4,,
205.275,6.795e+3,6.795e+3,,
205.280,1.274e+3,1.274e+3,,
205.285,2.121e+2,2.121e+2,,
205.290,3.135e+1,3.135e+1,,
205.295,4.116e+0,4.116e+0,,
205.300,4.798e-1,4.798e-1,,
205.305,4.968e-2,4.968e-2,,
205.310,4.567e-3,4.567e-3,,
205.315,3.729e-4,3.729e-4,,
205.320,2.704e-5,2.704e-5,,
205.325,1.741e-6,1.741e-6,,
205.330,9.955e-8,9.955e-8,,
205.335,5.055e-9,5.055e-9,,
205.340,2.279e-10,2.279e-10,,
205.415,1.208e-10,1.208e-10,,
205.420,2.715e-9,2.715e-9,,
205.425,5.422e-8,5.422e-8,,
205.430,9.617e-7,9.617e-7,,
205.435,1.516e-5,1.516e-5,,
205.440,2.122e-4,2.122e-4,,
205.445,2.639e-3,2.639e-3,,
205.450,2.916e-2,2.916e-2,,
205.455,2.862e-1,2.862e-1,,
205.460,2.496e+0,2.496e+0,,
205.465,1.933e+1,1.933e+1,,
205.470,1.331e+2,1.331e+2,,
205.475,8.136e+2,8.136e+2,,
205.480,4.420e+3,4.420e+3,,
205.485,2.133e+4,2.133e+4,,
205.490,9.143e+4,9.143e+4,,
205.495,3.482e+5,3.482e+5,,
205.500,1.178e+6,1.178e+6,,
205.505,3.542e+6,3.542e+6,,
205.510,9.458e+6,9.458e+6,,
205.515,2.244e+7,2.244e+7,,
205.520,4.729e+7,4.729e+7,,
205.525,8.855e+7,8.855e+7,,
205.530,1.473e+8,1.473e+8,,
205.535,2.177e+8,2.177e+8,,
205.540,2.857e+8,2.857e+8,,
205.545,3.333e+8,3.333e+8,,
205.550,3.453e+8,3.453e+8,,
205.555,3.179e+8,3.179e+8,,
205.560,2.599e+8,2.599e+8,,
205.565,1.888e+8,1.888e+8,,
205.570,1.219e+8,1.219e+8,,
205.575,6.988e+7,6.988e+7,,
205.580,3.560e+7,3.560e+7,,
205.585,1.611e+7,1.611e+7,,
205.590,6.476e+6,6.476e+6,,
205.595,2.313e+6,2.313e+6,,
205.600,7.339e+5,7.339e+5,,
205.605,2.069e+5,2.069e+5,,
205.610,5.181e+4,5.181e+4,,
205.615,1.153e+4,1.153e+4,,
205.620,2.278e+3,2.278e+3,,
205.625,4.000e+2,4.000e+2,,
205.630,6.239e+1,6.239e+1,,
205.635,8.647e+0,8.647e+0,,
205.640,1.064e+0,1.064e+0,,
205.645,1.164e-1,1.164e-1,,
205.650,1.131e-2,1.131e-2,,
205.655,9.765e-4,9.765e-4,,
205.660,7.489e-5,7.489e-5,,
205.665,5.102e-6,5.102e-6,,
205.670,3.088e-7,3.088e-7,,
205.675,1.660e-8,1.660e-8,,
205.680,7.931e-10,7.931e-10,,
205.685,3.366e-11,3.366e-11,,
205.855,1.055e-10,1.055e-10,,
205.860,2.396e-9,2.396e-9,,
205.865,4.837e-8,4.837e-8,,
205.870,8.676e-7,8.676e-7,,
205.875,1.383e-5,1.383e-5,,
205.880,1.961e-4,1.961e-4,,
205.885,2.470e-3,2.470e-3,,
205.890,2.766e-2,2.766e-2,,
205.895,2.752e-1,2.752e-1,,
205.900,2.435e+0,2.435e+0,,
205.905,1.914e+1,1.914e+1,,
205.910,1.338e+2,1.338e+2,,
205.915,8.311e+2,8.311e+2,,
205.920,4.589e+3,4.589e+3,,
205.925,2.252e+4,2.252e+4,,
