Wavelength (nm),Sum(calc),Mn I (3.3e-2),Mn II (9.6e-1)
208.481,2.378e+9,,2.378e+9
208.486,2.048e+9,,2.048e+9
208.491,1.572e+9,,1.572e+9
208.496,1.075e+9,,1.075e+9
208.501,6.557e+8,,6.557e+8
208.506,3.564e+8,,3.564e+8
208.511,1.726e+8,,1.726e+8
208.516,7.455e+7,,7.455e+7
208.521,2.869e+7,,2.869e+7
208.526,9.842e+6,,9.842e+6
208.531,3.009e+6,,3.009e+6
208.536,8.202e+5,,8.202e+5
208.541,1.992e+5,,1.992e+5
208.546,4.314e+4,,4.314e+4
208.551,8.326e+3,,8.326e+3
208.556,1.432e+3,,1.432e+3
208.561,2.196e+2,,2.196e+2
208.566,3.001e+1,,3.001e+1
208.571,3.656e+0,,3.656e+0
208.576,3.969e-1,,3.969e-1
208.581,3.841e-2,,3.841e-2
208.586,3.314e-3,,3.314e-3
208.591,2.548e-4,,2.548e-4
208.596,1.746e-5,,1.746e-5
208.601,1.066e-6,,1.066e-6
208.606,5.806e-8,,5.806e-8
208.611,2.818e-9,,2.818e-9
208.616,1.219e-10,,1.219e-10
208.750,5.176e-12,,5.176e-12
208.755,1.266e-10,,1.266e-10
208.760,2.761e-9,,2.761e-9
208.765,5.369e-8,,5.369e-8
208.770,9.312e-7,,9.312e-7
208.775,1.440e-5,,1.440e-5
208.780,1.986e-4,,1.986e-4
208.785,2.442e-3,,2.442e-3
208.790,2.678e-2,,2.678e-2
208.795,2.619e-1,,2.619e-1
208.800,2.284e+0,,2.284e+0
208.805,1.776e+1,,1.776e+1
208.810,1.231e+2,,1.231e+2
208.815,7.614e+2,,7.614e+2
208.820,4.199e+3,,4.199e+3
208.825,2.065e+4,,2.065e+4
208.830,9.052e+4,,9.052e+4
208.835,3.540e+5,,3.540e+5
208.840,1.234e+6,,1.234e+6
208.845,3.837e+6,,3.837e+6
208.850,1.064e+7,,1.064e+7
208.855,2.631e+7,,2.631e+7
208.860,5.800e+7,,5.800e+7
208.865,1.140e+8,,1.140e+8
208.870,1.999e+8,,1.999e+8
208.875,3.126e+8,,3.126e+8
208.880,4.358e+8,,4.358e+8
208.885,5.417e+8,,5.417e+8
208.890,6.006e+8,,6.006e+8
208.895,5.938e+8,,5.938e+8
208.900,5.234e+8,,5.234e+8
208.905,4.115e+8,,4.115e+8
208.910,2.885e+8,,2.885e+8
208.915,1.803e+8,,1.803e+8
208.920,1.005e+8,,1.005e+8
208.925,4.997e+7,,4.997e+7
208.930,2.215e+7,,2.215e+7
208.935,8.756e+6,,8.756e+6
208.940,3.087e+6,,3.087e+6
208.945,9.702e+5,,9.702e+5
208.950,2.720e+5,,2.720e+5
208.955,6.798e+4,,6.798e+4
208.960,1.515e+4,,1.515e+4
208.965,3.012e+3,,3.012e+3
208.970,5.338e+2,,5.338e+2
208.975,8.437e+1,,8.437e+1
208.980,1.189e+1,,1.189e+1
208.985,1.495e+0,,1.495e+0
208.990,1.675e-1,,1.675e-1
208.995,1.674e-2,,1.674e-2
209.000,1.492e-3,,1.492e-3
209.005,1.186e-4,,1.186e-4
209.010,8.404e-6,,8.404e-6
209.015,5.311e-7,,5.311e-7
209.020,2.993e-8,,2.993e-8
209.025,1.504e-9,,1.504e-9
209.030,6.741e-11,,6.741e-11
209.035,2.694e-12,,2.694e-12
209.604,7.975e-12,,7.975e-12
209.609,1.989e-10,,1.989e-10
209.614,4.426e-9,,4.426e-9
209.619,8.793e-8,,8.793e-8
209.624,1.559e-6,,1.559e-6
209.629,2.468e-5,,2.468e-5
209.634,3.486e-4,,3.486e-4
209.639,4.396e-3,,4.396e-3
209.644,4.948e-2,,4.948e-2
209.649,4.970e-1,,4.970e-1
209.654,4.457e+0,,4.457e+0
209.659,3.567e+1,,3.567e+1
209.664,2.548e+2,,2.548e+2
209.669,1.624e+3,,1.624e+3
209.674,9.244e+3,,9.244e+3
209.679,4.696e+4,,4.696e+4
209.684,2.129e+5,,2.129e+5
209.689,8.615e+5,,8.615e+5
209.694,3.112e+6,,3.112e+6
209.699,1.003e+7,,1.003e+7
209.704,2.887e+7,,2.887e+7
209.709,7.415e+7,,7.415e+7
209.714,1.700e+8,,1.700e+8
209.719,3.479e+8,,3.479e+8
209.724,6.353e+8,,6.353e+8
209.729,1.036e+9,,1.036e+9
209.734,1.507e+9,,1.507e+9
209.739,1.957e+9,,1.957e+9
209.744,2.269e+9,,2.269e+9
209.749,2.348e+9,,2.348e+9
209.754,2.168e+9,,2.168e+9
209.759,1.787e+9,,1.787e+9
209.764,1.315e+9,,1.315e+9
209.769,8.635e+8,,8.635e+8
209.774,5.062e+8,,5.062e+8
209.779,2.648e+8,,2.648e+8
209.784,1.237e+8,,1.237e+8
