Wavelength (nm),Au I
480.50,3.083e-1
480.52,8.603e-1
480.54,2.327e+0
480.55,3.783e+0
480.57,9.768e+0
480.59,2.445e+1
480.61,5.932e+1
480.62,9.132e+1
480.64,2.115e+2
480.66,4.747e+2
480.68,1.033e+3
480.69,1.506e+3
480.71,3.127e+3
480.73,6.296e+3
480.75,1.229e+4
480.76,1.697e+4
480.78,3.160e+4
480.80,5.706e+4
480.82,9.986e+4
480.83,1.306e+5
480.85,2.181e+5
480.87,3.532e+5
480.89,5.545e+5
480.90,6.867e+5
480.92,1.029e+6
480.94,1.494e+6
480.96,2.104e+6
480.97,2.467e+6
480.99,3.315e+6
481.01,4.318e+6
481.03,5.453e+6
481.05,6.674e+6
481.06,7.298e+6
481.08,8.526e+6
481.10,9.656e+6
481.12,1.060e+7
481.13,1.098e+7
481.15,1.150e+7
481.17,1.168e+7
481.19,1.150e+7
481.20,1.128e+7
481.22,1.060e+7
481.24,9.656e+6
481.26,8.526e+6
481.27,7.919e+6
481.29,6.674e+6
481.31,5.453e+6
481.33,4.318e+6
481.34,3.798e+6
481.36,2.871e+6
481.38,2.104e+6
481.40,1.494e+6
481.41,1.245e+6
481.43,8.438e+5
481.45,5.545e+5
481.47,3.532e+5
481.48,2.787e+5
481.50,1.694e+5
481.52,9.986e+4
481.54,5.706e+4
481.55,4.263e+4
481.57,2.324e+4
481.59,1.229e+4
481.61,6.296e+3
481.62,4.455e+3
481.64,2.179e+3
481.66,1.033e+3
481.68,4.747e+2
481.70,2.115e+2
481.71,1.395e+2
481.73,5.932e+1
481.75,2.445e+1
481.77,9.768e+0
481.78,6.103e+0
481.80,2.327e+0
481.82,8.603e-1
481.84,3.083e-1
481.85,1.824e-1
481.87,6.239e-2
481.89,2.068e-2
481.91,6.648e-3
481.92,3.725e-3
481.94,1.143e-3
481.96,3.398e-4
481.98,9.793e-5
481.99,5.197e-5
482.01,1.430e-5
482.03,3.813e-6
482.05,9.857e-7
482.06,4.954e-7
482.08,1.222e-7
482.10,2.923e-8
482.12,6.778e-9
482.13,3.226e-9
482.15,7.139e-10
