Wavelength (nm),Au I
274.75,1.877e+9
274.77,2.620e+9
274.79,3.325e+9
274.81,3.836e+9
274.82,3.976e+9
274.84,3.976e+9
274.86,3.614e+9
274.88,2.987e+9
274.89,2.620e+9
274.91,1.877e+9
274.93,1.222e+9
274.95,7.235e+8
274.96,5.371e+8
274.98,2.756e+8
275.00,1.285e+8
275.02,5.450e+7
275.04,2.101e+7
275.05,1.259e+7
275.07,4.205e+6
275.09,1.277e+6
275.11,3.527e+5
275.12,1.788e+5
275.14,4.280e+4
275.16,9.311e+3
275.18,1.842e+3
275.19,7.903e+2
275.21,1.355e+2
275.23,2.111e+1
275.25,2.991e+0
275.26,1.086e+0
275.28,1.334e-1
275.30,1.489e-2
275.32,1.511e-3
275.33,4.645e-4
275.35,4.086e-5
275.37,3.267e-6
275.39,2.375e-7
275.40,6.179e-8
275.42,3.893e-9
275.44,2.230e-10
275.46,1.161e-11
275.47,2.557e-12
275.49,1.154e-13
275.51,4.734e-15
311.51,9.021e-15
311.53,1.492e-13
311.54,5.901e-13
311.56,8.736e-12
311.58,1.201e-10
311.60,1.534e-9
311.61,5.333e-9
311.63,6.097e-8
311.65,6.475e-7
311.67,6.386e-6
311.68,1.951e-5
311.70,1.722e-4
311.72,1.413e-3
311.74,1.076e-2
311.75,2.889e-2
311.77,1.970e-1
311.79,1.247e+0
311.81,7.338e+0
311.82,1.731e+1
311.84,9.116e+1
311.86,4.458e+2
311.88,2.025e+3
311.90,8.547e+3
311.91,1.708e+4
311.93,6.450e+4
311.95,2.263e+5
311.97,7.374e+5
311.98,1.295e+6
312.00,3.777e+6
312.02,1.023e+7
312.04,2.575e+7
312.05,3.974e+7
312.07,8.953e+7
312.09,1.873e+8
312.11,3.641e+8
312.12,4.937e+8
312.14,8.589e+8
312.16,1.388e+9
312.18,2.083e+9
312.19,2.482e+9
312.21,3.335e+9
312.23,4.162e+9
312.25,4.825e+9
312.26,5.053e+9
312.28,5.243e+9
312.30,5.053e+9
312.32,4.523e+9
312.33,4.162e+9
312.35,3.335e+9
312.37,2.482e+9
312.39,1.716e+9
312.40,1.388e+9
312.42,8.589e+8
312.44,4.937e+8
312.46,2.636e+8
312.48,1.307e+8
312.49,8.953e+7
312.51,3.974e+7
312.53,1.639e+7
312.55,6.275e+6
312.56,3.777e+6
312.58,1.295e+6
312.60,4.123e+5
312.62,1.219e+5
312.63,6.450e+4
312.65,1.708e+4
312.67,4.199e+3
312.69,9.591e+2
312.70,4.458e+2
312.72,9.116e+1
312.74,1.731e+1
312.76,3.053e+0
312.77,1.247e+0
312.79,1.970e-1
312.81,2.889e-2
312.83,3.935e-3
312.84,1.413e-3
312.86,1.722e-4
312.88,1.951e-5
312.90,2.052e-6
312.91,6.475e-7
312.93,6.097e-8
312.95,5.333e-9
312.97,4.333e-10
312.98,1.201e-10
313.00,8.736e-12
313.02,5.901e-13
313.04,3.703e-14
331.20,2.817e-16
331.21,1.066e-15
331.23,1.454e-14
331.25,1.857e-13
331.27,2.221e-12
331.28,7.498e-12
331.30,8.134e-11
331.32,8.266e-10
331.34,7.869e-9
331.35,2.369e-8
331.37,2.045e-7
331.39,1.653e-6
331.41,1.252e-5
