Wavelength (nm),Sum(calc),Cu I (3.0e-1),Cu II (7.0e-1)
204.23,5.902e+6,1.752e-7,5.902e+6
204.25,1.972e+7,1.750e-7,1.972e+7
204.27,5.548e+7,1.747e-7,5.548e+7
204.28,8.723e+7,1.745e-7,8.723e+7
204.30,1.895e+8,1.742e-7,1.895e+8
204.32,3.464e+8,1.740e-7,3.464e+8
204.33,4.390e+8,1.738e-7,4.390e+8
204.35,6.197e+8,1.735e-7,6.197e+8
204.37,7.363e+8,1.732e-7,7.363e+8
204.38,7.523e+8,1.731e-7,7.523e+8
204.40,6.902e+8,1.728e-7,6.902e+8
204.42,5.329e+8,1.725e-7,5.329e+8
204.43,4.390e+8,1.724e-7,4.390e+8
204.45,2.617e+8,1.721e-7,2.617e+8
204.47,1.314e+8,1.718e-7,1.314e+8
204.48,8.723e+7,1.716e-7,8.723e+7
204.50,3.380e+7,1.714e-7,3.380e+7
204.52,1.102e+7,1.711e-7,1.102e+7
204.53,5.902e+6,1.709e-7,5.902e+6
204.55,1.486e+6,1.706e-7,1.486e+6
204.57,3.151e+5,1.703e-7,3.151e+5
204.58,1.360e+5,1.702e-7,1.360e+5
204.60,2.234e+4,1.699e-7,2.234e+4
204.62,3.412e+3,1.696e-7,3.412e+3
204.63,1.711e+3,1.695e-7,1.711e+3
204.65,2.080e+3,1.692e-7,2.080e+3
204.66,3.256e+3,1.690e-7,3.256e+3
204.68,7.605e+3,1.688e-7,7.605e+3
204.70,1.511e+4,1.685e-7,1.511e+4
204.71,1.997e+4,1.683e-7,1.997e+4
204.73,3.068e+4,1.680e-7,3.068e+4
204.75,3.970e+4,1.677e-7,3.970e+4
204.76,4.234e+4,1.676e-7,4.234e+4
204.78,4.234e+4,1.673e-7,4.234e+4
204.80,3.566e+4,1.670e-7,3.566e+4
204.81,3.068e+4,1.669e-7,3.068e+4
204.83,1.997e+4,1.666e-7,1.997e+4
204.85,1.095e+4,1.663e-7,1.095e+4
204.86,7.603e+3,1.662e-7,7.603e+3
204.88,3.222e+3,1.659e-7,3.222e+3
204.90,1.150e+3,1.656e-7,1.150e+3
204.91,6.441e+2,1.654e-7,6.441e+2
204.93,1.777e+2,1.651e-7,1.777e+2
204.95,4.128e+1,1.649e-7,4.128e+1
204.96,1.866e+1,1.647e-7,1.866e+1
204.98,3.350e+0,1.644e-7,3.350e+0
205.00,5.067e-1,1.641e-7,5.067e-1
205.01,1.848e-1,1.640e-7,1.848e-1
205.03,2.160e-2,1.637e-7,2.160e-2
205.05,2.127e-3,1.634e-7,2.127e-3
205.06,6.257e-4,1.633e-7,6.257e-4
205.08,4.830e-5,1.630e-7,4.830e-5
205.10,1.612e-5,1.627e-7,1.612e-5
205.11,5.470e-5,1.626e-7,5.470e-5
205.13,8.281e-4,1.623e-7,8.281e-4
205.15,1.116e-2,1.620e-7,1.116e-2
205.16,3.925e-2,1.618e-7,3.925e-2
205.18,4.496e-1,1.615e-7,4.496e-1
205.20,4.695e+0,1.613e-7,4.695e+0
