Wavelength (nm),Sum(calc),Cu I (9.3e-3),Cu II (9.9e-1)
205.56,1.012e+10,4.074e-8,1.012e+10
205.58,5.573e+9,4.066e-8,5.573e+9
205.60,2.587e+9,4.059e-8,2.587e+9
205.61,1.654e+9,4.055e-8,1.654e+9
205.63,5.945e+8,4.047e-8,5.945e+8
205.65,1.802e+8,4.040e-8,1.802e+8
205.66,9.309e+7,4.036e-8,9.309e+7
205.68,2.185e+7,4.028e-8,2.185e+7
205.70,4.326e+6,4.021e-8,4.326e+6
205.71,1.805e+6,4.017e-8,1.805e+6
205.73,2.767e+5,4.009e-8,2.767e+5
205.75,3.577e+4,4.002e-8,3.577e+4
205.76,1.206e+4,3.998e-8,1.206e+4
205.78,1.207e+3,3.991e-8,1.207e+3
205.80,1.019e+2,3.983e-8,1.019e+2
205.81,2.777e+1,3.979e-8,2.777e+1
205.83,1.815e+0,3.972e-8,1.815e+0
205.85,1.000e-1,3.964e-8,1.000e-1
205.86,2.203e-2,3.960e-8,2.203e-2
205.88,1.045e-3,3.953e-8,1.045e-3
205.90,2.067e-3,3.945e-8,2.067e-3
205.91,8.399e-3,3.941e-8,8.399e-3
205.93,1.259e-1,3.934e-8,1.259e-1
205.95,1.595e+0,3.926e-8,1.595e+0
205.96,5.328e+0,3.922e-8,5.328e+0
205.98,5.236e+1,3.915e-8,5.236e+1
206.00,4.344e+2,3.907e-8,4.344e+2
206.01,1.174e+3,3.903e-8,1.174e+3
206.03,7.559e+3,3.896e-8,7.559e+3
206.05,4.107e+4,3.888e-8,4.107e+4
206.06,8.986e+4,3.885e-8,8.986e+4
206.08,3.788e+5,3.877e-8,3.788e+5
206.10,1.348e+6,3.869e-8,1.348e+6
206.11,2.387e+6,3.866e-8,2.387e+6
206.13,6.591e+6,3.858e-8,6.591e+6
206.15,1.536e+7,3.851e-8,1.536e+7
206.16,2.202e+7,3.847e-8,2.202e+7
206.18,3.981e+7,3.839e-8,3.981e+7
206.20,6.079e+7,3.832e-8,6.079e+7
206.21,7.049e+7,3.828e-8,7.049e+7
206.23,8.349e+7,3.820e-8,8.349e+7
206.25,8.349e+7,3.813e-8,8.349e+7
206.26,7.836e+7,3.809e-8,7.836e+7
206.28,6.079e+7,3.801e-8,6.079e+7
206.30,3.981e+7,3.794e-8,3.981e+7
206.31,3.024e+7,3.790e-8,3.024e+7
206.33,1.536e+7,3.782e-8,1.536e+7
206.35,6.591e+6,3.775e-8,6.591e+6
206.36,4.051e+6,3.771e-8,4.051e+6
206.38,1.348e+6,3.763e-8,1.348e+6
206.40,3.796e+5,3.756e-8,3.796e+5
206.41,1.904e+5,3.752e-8,1.904e+5
206.43,5.284e+4,3.745e-8,5.284e+4
206.45,6.595e+4,3.737e-8,6.595e+4
206.46,1.252e+5,3.733e-8,1.252e+5
206.48,4.710e+5,3.726e-8,4.710e+5
206.50,1.532e+6,3.718e-8,1.532e+6
206.51,2.595e+6,3.714e-8,2.595e+6
206.53,6.562e+6,3.707e-8,6.562e+6
206.55,1.402e+7,3.699e-8,1.402e+7
206.56,1.923e+7,3.695e-8,1.923e+7
206.58,3.189e+7,3.688e-8,3.189e+7
206.60,4.468e+7,3.680e-8,4.468e+7
206.61,4.965e+7,3.676e-8,4.965e+7
206.63,5.402e+7,3.669e-8,5.402e+7
206.65,4.965e+7,3.661e-8,4.965e+7
206.66,4.468e+7,3.657e-8,4.468e+7
206.68,3.189e+7,3.650e-8,3.189e+7
206.70,1.923e+7,3.642e-8,1.923e+7
206.71,1.402e+7,3.639e-8,1.402e+7
206.73,6.562e+6,3.631e-8,6.562e+6
206.75,2.596e+6,3.623e-8,2.596e+6
206.76,1.533e+6,3.620e-8,1.533e+6
206.78,4.720e+5,3.612e-8,4.720e+5
206.79,2.481e+5,3.608e-8,2.481e+5
206.81,7.476e+4,3.601e-8,7.476e+4
206.83,8.007e+4,3.593e-8,8.007e+4
206.84,1.360e+5,3.589e-8,1.360e+5
206.86,4.255e+5,3.582e-8,4.255e+5
206.88,1.164e+6,3.574e-8,1.164e+6
206.89,1.810e+6,3.570e-8,1.810e+6
206.91,3.855e+6,3.563e-8,3.855e+6
206.93,6.941e+6,3.555e-8,6.941e+6
206.94,8.745e+6,3.551e-8,8.745e+6
206.96,1.224e+7,3.544e-8,1.224e+7
206.98,1.448e+7,3.536e-8,1.448e+7
206.99,1.479e+7,3.533e-8,1.479e+7
207.01,1.359e+7,3.525e-8,1.359e+7
207.03,1.056e+7,3.517e-8,1.056e+7
207.04,8.745e+6,3.514e-8,8.745e+6
207.06,5.282e+6,3.506e-8,5.282e+6
207.08,2.697e+6,3.498e-8,2.697e+6
207.09,1.810e+6,3.495e-8,1.810e+6
207.11,7.181e+5,3.487e-8,7.181e+5
207.13,2.409e+5,3.480e-8,2.409e+5
207.14,1.310e+5,3.476e-8,1.310e+5
207.16,3.415e+4,3.468e-8,3.415e+4
207.18,7.527e+3,3.461e-8,7.527e+3
207.19,3.318e+3,3.457e-8,3.318e+3
207.21,5.683e+2,3.449e-8,5.683e+2
207.23,8.228e+1,3.442e-8,8.228e+1
207.24,2.939e+1,3.438e-8,2.939e+1
207.26,3.308e+0,3.430e-8,3.308e+0
207.28,3.146e-1,3.423e-8,3.146e-1
207.29,9.111e-2,3.419e-8,9.111e-2
207.31,6.736e-3,3.411e-8,6.736e-3
207.33,4.209e-4,3.404e-8,4.209e-4
207.34,9.880e-5,3.400e-8,9.880e-5
207.36,4.799e-6,3.392e-8,4.799e-6
207.38,1.970e-7,3.385e-8,1.970e-7
207.39,3.748e-8,3.381e-8,3.748e-8
207.41,1.196e-9,3.374e-8,1.196e-9
207.43,7.549e-10,3.366e-8,7.549e-10
207.44,4.425e-9,3.362e-8,4.425e-9
207.46,1.464e-7,3.355e-8,1.464e-7
207.48,4.103e-6,3.347e-8,4.103e-6
207.49,2.040e-5,3.343e-8,2.040e-5
207.51,4.451e-4,3.336e-8,4.451e-4
207.53,8.220e-3,3.328e-8,8.220e-3
207.54,3.319e-2,3.324e-8,3.319e-2
207.56,4.774e-1,3.317e-8,4.774e-1
207.58,5.813e+0,3.309e-8,5.813e+0
207.59,1.905e+1,3.305e-8,1.905e+1
207.61,1.807e+2,3.298e-8,1.807e+2
207.63,1.451e+3,3.290e-8,1.451e+3
207.64,3.861e+3,3.286e-8,3.861e+3
207.66,2.414e+4,3.279e-8,2.414e+4
207.68,1.278e+5,3.271e-8,1.278e+5
207.69,2.762e+5,3.268e-8,2.762e+5
207.71,1.138e+6,3.260e-8,1.138e+6
207.73,3.973e+6,3.252e-8,3.973e+6
207.74,6.971e+6,3.249e-8,6.971e+6
207.76,1.895e+7,3.241e-8,1.895e+7
207.78,4.359e+7,3.233e-8,4.359e+7
207.79,6.211e+7,3.230e-8,6.211e+7
207.81,1.113e+8,3.222e-8,1.113e+8
207.83,1.688e+8,3.215e-8,1.688e+8
207.84,1.953e+8,3.211e-8,1.953e+8
207.86,2.307e+8,3.203e-8,2.307e+8
207.88,2.307e+8,3.196e-8,2.307e+8
207.89,2.167e+8,3.192e-8,2.167e+8
207.91,1.688e+8,3.184e-8,1.688e+8
207.93,1.113e+8,3.177e-8,1.113e+8
207.94,8.489e+7,3.173e-8,8.489e+7
207.96,4.359e+7,3.165e-8,4.359e+7
207.98,1.895e+7,3.158e-8,1.895e+7
207.99,1.173e+7,3.154e-8,1.173e+7
208.01,3.973e+6,3.146e-8,3.973e+6
208.03,1.138e+6,3.139e-8,1.138e+6
208.04,5.725e+5,3.135e-8,5.725e+5
208.06,1.278e+5,3.128e-8,1.278e+5
208.08,2.414e+4,3.120e-8,2.414e+4
208.09,9.859e+3,3.116e-8,9.859e+3
208.11,1.451e+3,3.109e-8,1.451e+3
208.13,1.807e+2,3.101e-8,1.807e+2
208.14,5.991e+1,3.097e-8,5.991e+1
208.16,5.813e+0,3.090e-8,5.813e+0
208.18,4.777e-1,3.082e-8,4.777e-1
208.19,1.298e-1,3.078e-8,1.298e-1
208.21,2.875e-2,3.071e-8,2.875e-2
208.23,2.677e-1,3.063e-8,2.677e-1
208.24,9.065e-1,3.059e-8,9.065e-1
208.26,9.206e+0,3.052e-8,9.206e+0
208.28,7.923e+1,3.044e-8,7.923e+1
208.29,2.185e+2,3.040e-8,2.185e+2
208.31,1.467e+3,3.033e-8,1.467e+3
208.33,8.344e+3,3.025e-8,8.344e+3
208.34,1.870e+4,3.022e-8,1.870e+4
208.36,8.301e+4,3.014e-8,8.301e+4
208.38,3.122e+5,3.006e-8,3.122e+5
208.39,5.690e+5,3.003e-8,5.690e+5
208.41,1.669e+6,2.995e-8,1.669e+6
208.43,4.150e+6,2.987e-8,4.150e+6
208.44,6.149e+6,2.984e-8,6.149e+6
208.46,1.192e+7,2.976e-8,1.192e+7
208.48,1.960e+7,2.969e-8,1.960e+7
208.49,2.361e+7,2.965e-8,2.361e+7
208.51,3.026e+7,2.957e-8,3.026e+7
208.53,3.288e+7,2.950e-8,3.288e+7
208.54,3.220e+7,2.946e-8,3.220e+7
208.56,2.729e+7,2.938e-8,2.729e+7
208.58,1.963e+7,2.931e-8,1.963e+7
208.59,1.569e+7,2.927e-8,1.569e+7
208.61,9.149e+6,2.919e-8,9.149e+6
208.63,5.842e+6,2.912e-8,5.842e+6
208.64,5.933e+6,2.908e-8,5.933e+6
208.66,1.156e+7,2.900e-8,1.156e+7
